SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL,is_Provider,Provider,Languages
7882,NRK P2,,,DVB-S2,25000,3/4,10747 V,tp A3,0,,,NRK P2,https://www.lyngsat.com/radiochannels/no/NRK-P2.html,,,False,,Nor
7882,NRK P2,,,DVB-S2,25000,3/4,10747 V,tp A3,0,,,NRK P2,https://www.lyngsat.com/radiochannels/no/NRK-P2.html,,,False,,Nor
7883,NRK P3,,,DVB-S2,25000,3/4,10747 V,tp A3,0,,,NRK P3,https://www.lyngsat.com/radiochannels/no/NRK-P3.html,,,False,,Nor
7883,NRK P3,,,DVB-S2,25000,3/4,10747 V,tp A3,0,,,NRK P3,https://www.lyngsat.com/radiochannels/no/NRK-P3.html,,,False,,Nor
7884,NRK Klassisk,,,DVB-S2,25000,3/4,10747 V,tp A3,0,,,NRK Klassisk,https://www.lyngsat.com/radiochannels/no/NRK-Klassisk.html,,,False,,Nor
7884,NRK Klassisk,,,DVB-S2,25000,3/4,10747 V,tp A3,0,,,NRK Klassisk,https://www.lyngsat.com/radiochannels/no/NRK-Klassisk.html,,,False,,Nor
7885,NRK Sámi Rádio,,,DVB-S2,25000,3/4,10747 V,tp A3,0,,,NRK Sámi Rádio,https://www.lyngsat.com/radiochannels/no/NRK-Sami-Radio.html,,,False,,Nor
7885,NRK Sámi Rádio,,,DVB-S2,25000,3/4,10747 V,tp A3,0,,,NRK Sámi Rádio,https://www.lyngsat.com/radiochannels/no/NRK-Sami-Radio.html,,,False,,Nor
7886,NRK mP3,,,DVB-S2,25000,3/4,10747 V,tp A3,0,,,NRK mP3,https://www.lyngsat.com/radiochannels/no/NRK-mP3.html,,,False,,Nor
7886,NRK mP3,,,DVB-S2,25000,3/4,10747 V,tp A3,0,,,NRK mP3,https://www.lyngsat.com/radiochannels/no/NRK-mP3.html,,,False,,Nor
7887,NRK Nyheter,,,DVB-S2,25000,3/4,10747 V,tp A3,0,,,NRK Nyheter,https://www.lyngsat.com/radiochannels/no/NRK-Nyheter.html,,,False,,Nor
7887,NRK Nyheter,,,DVB-S2,25000,3/4,10747 V,tp A3,0,,,NRK Nyheter,https://www.lyngsat.com/radiochannels/no/NRK-Nyheter.html,,,False,,Nor
7888,NRK P13,,,DVB-S2,25000,3/4,10747 V,tp A3,0,,,NRK P13,https://www.lyngsat.com/radiochannels/no/NRK-P13.html,,,False,,Nor
7888,NRK P13,,,DVB-S2,25000,3/4,10747 V,tp A3,0,,,NRK P13,https://www.lyngsat.com/radiochannels/no/NRK-P13.html,,,False,,Nor
7889,NRK Været til sjøs,,,DVB-S2,25000,3/4,10747 V,tp A3,0,,,NRK Været til sjøs,https://www.lyngsat.com/radiochannels/no/NRK-Varet-til-sjos.html,,,False,,Nor
7890,NRK Radio Super,,,DVB-S2,25000,3/4,10747 V,tp A3,0,,,NRK Radio Super,https://www.lyngsat.com/radiochannels/no/NRK-Radio-Super.html,,,False,,Nor
7890,NRK Radio Super,,,DVB-S2,25000,3/4,10747 V,tp A3,0,,,NRK Radio Super,https://www.lyngsat.com/radiochannels/no/NRK-Radio-Super.html,,,False,,Nor
7891,NRK P1+,,,DVB-S2,25000,3/4,10747 V,tp A3,0,,,NRK P1+,https://www.lyngsat.com/radiochannels/no/NRK-P1-.html,,,False,,Nor
7891,NRK P1+,,,DVB-S2,25000,3/4,10747 V,tp A3,0,,,NRK P1+,https://www.lyngsat.com/radiochannels/no/NRK-P1-.html,,,False,,Nor
7892,NRK Jazz,,,DVB-S2,25000,3/4,10747 V,tp A3,0,,,NRK Jazz,https://www.lyngsat.com/radiochannels/no/NRK-Jazz.html,,,False,,Nor
7892,NRK Jazz,,,DVB-S2,25000,3/4,10747 V,tp A3,0,,,NRK Jazz,https://www.lyngsat.com/radiochannels/no/NRK-Jazz.html,,,False,,Nor
7893,NRK Sport,,,DVB-S2,25000,3/4,10747 V,tp A3,0,,,NRK Sport,https://www.lyngsat.com/radiochannels/no/NRK-Sport.html,,,False,,Nor
7894,NRK Folkemusikk,,,DVB-S2,25000,3/4,10747 V,tp A3,0,,,NRK Folkemusikk,https://www.lyngsat.com/radiochannels/no/NRK-Folkemusikk.html,,,False,,Nor
7894,NRK Folkemusikk,,,DVB-S2,25000,3/4,10747 V,tp A3,0,,,NRK Folkemusikk,https://www.lyngsat.com/radiochannels/no/NRK-Folkemusikk.html,,,False,,Nor
7187,SBN International,MPEG-2/SD,1187.0,DVB-S2,25000,3/4,10872 H,tp A12,0,,,SBN International,https://www.lyngsat.com/tvchannels/us/SBN-International.html,,,False,,Eng
7332,DR P3,,,DVB-S2,25000,3/4,10934 V,tp A15,0,,,DR P3,https://www.lyngsat.com/radiochannels/dk/DR-P3.html,,,False,,Dan
7332,DR P3,,,DVB-S2,25000,3/4,10934 V,tp A15,0,,,DR P3,https://www.lyngsat.com/radiochannels/dk/DR-P3.html,,,False,,Dan
1025,Music Channel Romania,MPEG-2/SD,4054.0,DVB-S,28000,5/6,11900 H,tp 10,0,,,Music Channel Romania,https://www.lyngsat.com/tvchannels/ro/Music-Channel-Romania.html,,,False,,Rum
670,Digi FM,,,DVB-S,28000,5/6,11900 H,tp 10,0,,,Digi FM,https://www.lyngsat.com/radiochannels/ro/Digi-FM.html,,,False,,Rum
