SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL,is_Provider,Provider,Languages
1123.0,AMI-audio,,,Digicipher 2,22000,5/6,11652 V,tp 7,0.0,Digicipher,,AMI-audio,https://www.lyngsat.com/radiochannels/ca/AMI-audio.html,,,False,,Eng
1123.0,AMI-audio,,,Digicipher 2,22000,5/6,11652 V,tp 7,0.0,Digicipher,,AMI-audio,https://www.lyngsat.com/radiochannels/ca/AMI-audio.html,,,False,,Eng
1126.0,CKUA,,,Digicipher 2,22000,5/6,11652 V,tp 7,0.0,Digicipher,,CKUA,https://www.lyngsat.com/radiochannels/ca/CKUA.html,,,False,,Eng
1126.0,CKUA,,,Digicipher 2,22000,5/6,11652 V,tp 7,0.0,Digicipher,,CKUA,https://www.lyngsat.com/radiochannels/ca/CKUA.html,,,False,,Eng
,,,,Digicipher 2,20500,2/3,12017 V,tp S8K,,,,,,,,False,,
