SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider,Languages
,(feeds),,,DVB-S,,,11711 H,tp 701,,,,False,,
,(feeds),,,DVB-S,,,11724 H,tp 701,,,,False,,
,(feeds),,,DVB-S,,,11732 H,tp 701,,,,False,,
,(feeds),,,DVB-S,,,11747 H,tp 703,,,,False,,
,(feeds),,,DVB-S,,,11756 H,tp 703,,,,False,,
,(feeds),,,DVB-S,,,11845 H,tp 707,,,,False,,
,,,,DVB-S,,,11960 H,tp 713,0.0,,,False,,
,,,,DVB-S,,,12000 H,tp 715,0.0,,,False,,
