SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,Languages
,(WWE feeds),,,DVB-S2,30000.0,5/6,4100 V,tp 20,,,,,,False,,
,(feeds),,,DVB-S2,7500.0,3/4,4105 H,tp 21,,,,,,False,,
,(feeds),,,DVB-S2,17000.0,3/4,4138 V,tp 22,,,,,,False,,
,(feeds),,,DVB-S2,11150.0,3/5,11940 V,tp 12,,,,,,False,,
,(feeds),,,DVB-S2,4800.0,2/3,12050 V,tp 18,,,,,,False,,
,(feeds),,,DVB-S,6510.0,5/6,12064 V,tp 18,,,,,,False,,
,(feeds),,,DVB-S2,15000.0,3/4,12152 H,tp 23,,,,,,False,,
,(feeds),,,DVB-S,6110.0,3/4,12165 H,tp 23,,,,,,False,,
2.0,Point of View,?-3,,DVB-S,2894.0,3/4,4177 H,tp 23,0.0,,,,,False,,Eng
,(Sinclair feeds),,,DVB-S2,4250.0,3/4,11744 H,tp 3,,,,,,False,,
,(Sinclair feeds),,,DVB-S2,4250.0,3/4,11749 H,tp 3,,,,,,False,,
,(Sinclair feeds),,,DVB-S2,4250.0,3/4,11754 H,tp 3,,,,,,False,,
,(CNN Newsource feeds),,,DVB-S,3978.0,3/4,11760 H,tp 3,,,,,,False,,
,(CNN Newsource feeds),,,DVB-S2,30000.0,3/4,11960 H,tp 13,,,,,,False,,
,,,,DVB-S,3978.0,3/4,11800 H,tp 5,0.0,,,,,False,,
,(LPB feeds),,,DVB-S2,1250.0,3/5,11804 H,tp 5,,,,,,False,,
,LPB,,,DVB-S2,11150.0,3/5,11811 H,tp 5,0.0,,https://www.lyngsat.com/providers/us/LPB.html,LPB,https://www.lyngsat.com/tvchannels/us/LPB.html,True,LPB,
6.0,LPB,MPEG-2/HD,97.0,DVB-S2,11150.0,3/5,11811 H,tp 5,0.0,,https://www.lyngsat.com/providers/us/LPB.html,LPB,https://www.lyngsat.com/tvchannels/us/LPB.html,True,LPB,Eng
4.0,LPB Kids,MPEG-2/SD,65.0,DVB-S2,11150.0,3/5,11811 H,tp 5,0.0,,,LPB Kids,https://www.lyngsat.com/tvchannels/us/LPB-Kids.html,False,LPB,Eng
5.0,LPB 3,MPEG-2/SD,81.0,DVB-S2,11150.0,3/5,11811 H,tp 5,0.0,,,LPB 3,https://www.lyngsat.com/tvchannels/us/LPB-3.html,False,LPB,Eng
3.0,The Florida Channel,1-4MPEG-2/SD,49.0,DVB-S2,3200.0,2/3,12044 V,tp 18,0.0,,,,,False,LPB,Eng
1.0,[NYS Media test card],1-1,69.0,DVB-S2,3978.0,3/4,12137 H,tp 21,0.0,,,,,False,LPB,
,(Unreliable Sources feeds),,,DVB-S,3500.0,3/4,12184 V,tp 24,,,,,,False,LPB,
,,,,,,,,,,,,DVB-S28943/4,,False,LPB,
,,,,,,,,,,,,DVB-S28943/4,,False,LPB,
,,,,,,,,,,,,DVB-S28PSK32002/3,,False,LPB,
,,,,,,,,,,,,DVB-S28PSK32002/3,,False,LPB,
