Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL
10729 Vtp 50Europe0,,,,,,,,,EnoSat240202,,,,10729 V,tp 50,0,,,,,,
10773 Htp 53Europe0,DVB-S28PSK220003/4,,SES,,1-1053,,7.9,,WellikanT Viererbe231201,DVB-S2,22000,3/4,10773 H,tp 53,0,,https://www.lyngsat.com/providers/lu/SES.html,,,,
10773 Htp 53Europe0,DVB-S28PSK220003/4,,SES,,1-1053,,7.9,,WellikanT Viererbe231201,DVB-S2,22000,3/4,10773 H,tp 53,0,,https://www.lyngsat.com/providers/lu/SES.html,,,,
10773 Htp 53Europe0,DVB-S28PSK220003/4,,SES,,1-1053,,7.9,,WellikanT Viererbe231201,DVB-S2,22000,3/4,10773 H,tp 53,0,,https://www.lyngsat.com/providers/lu/SES.html,,,,
10773 Htp 53Europe0,DVB-S28PSK220003/4,,SES,,1-1053,,7.9,,WellikanT Viererbe231201,DVB-S2,22000,3/4,10773 H,tp 53,0,,https://www.lyngsat.com/providers/lu/SES.html,,,,
10773 Htp 53Europe0,DVB-S28PSK220003/4,,SES,,1-1053,,7.9,,WellikanT Viererbe231201,DVB-S2,22000,3/4,10773 H,tp 53,0,,https://www.lyngsat.com/providers/lu/SES.html,,,,
10803 Htp 55Europe0,DVB-S28PSK220003/4,,SES,,1-1055,,7.9,,T Viererbe240108,DVB-S2,22000,3/4,10803 H,tp 55,0,,https://www.lyngsat.com/providers/lu/SES.html,,,,
10803 Htp 55Europe0,DVB-S28PSK220003/4,,SES,,1-1055,,7.9,,T Viererbe240108,DVB-S2,22000,3/4,10803 H,tp 55,0,,https://www.lyngsat.com/providers/lu/SES.html,,,,
10803 Htp 55Europe0,DVB-S28PSK220003/4,,SES,,1-1055,,7.9,,T Viererbe240108,DVB-S2,22000,3/4,10803 H,tp 55,0,,https://www.lyngsat.com/providers/lu/SES.html,,,,
10803 Htp 55Europe0,DVB-S28PSK220003/4,,SES,,1-1055,,7.9,,T Viererbe240108,DVB-S2,22000,3/4,10803 H,tp 55,0,,https://www.lyngsat.com/providers/lu/SES.html,,,,
10803 Htp 55Europe0,DVB-S28PSK220003/4,,SES,,1-1055,,7.9,,T Viererbe240108,DVB-S2,22000,3/4,10803 H,tp 55,0,,https://www.lyngsat.com/providers/lu/SES.html,,,,
10921 Htp 63Europe0,DVB-S220007/8,,SES,,133-15,,7.2,,T Viererbe240401,DVB-S,22000,7/8,10921 H,tp 63,0,,https://www.lyngsat.com/providers/lu/SES.html,,,,
10921 Htp 63Europe0,DVB-S220007/8,,SES,,133-15,,7.2,,T Viererbe240401,DVB-S,22000,7/8,10921 H,tp 63,0,,https://www.lyngsat.com/providers/lu/SES.html,,,,
10921 Htp 63Europe0,DVB-S220007/8,,SES,,133-15,,7.2,,T Viererbe240401,DVB-S,22000,7/8,10921 H,tp 63,0,,https://www.lyngsat.com/providers/lu/SES.html,,,,
10921 Htp 63Europe0,DVB-S220007/8,,SES,,133-15,,7.2,,T Viererbe240401,DVB-S,22000,7/8,10921 H,tp 63,0,,https://www.lyngsat.com/providers/lu/SES.html,,,,
10921 Htp 63Europe0,DVB-S220007/8,,SES,,133-15,,7.2,,T Viererbe240401,DVB-S,22000,7/8,10921 H,tp 63,0,,https://www.lyngsat.com/providers/lu/SES.html,,,,
