Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Pkg_Name,Pkg_URL
12224 Rtp 1USA,DSS200006/7,,DirecTV USA,,,,,Videoguard,A Flores200711,DSS,20000,6/7,12224 R,tp 1,,Videoguard,,DirecTV USA,https://www.lyngsat.com/packages/DirecTV-USA-101W.html
12224 Rtp 1USA,DSS200006/7,,DirecTV USA,,,,,Videoguard,A Flores200711,DSS,20000,6/7,12224 R,tp 1,,Videoguard,,DirecTV USA,https://www.lyngsat.com/packages/DirecTV-USA-101W.html
12224 Rtp 1USA,DSS200006/7,,DirecTV USA,,,,,Videoguard,A Flores200711,DSS,20000,6/7,12224 R,tp 1,,Videoguard,,DirecTV USA,https://www.lyngsat.com/packages/DirecTV-USA-101W.html
12224 Rtp 1USA,DSS200006/7,,DirecTV USA,,,,,Videoguard,A Flores200711,DSS,20000,6/7,12224 R,tp 1,,Videoguard,,DirecTV USA,https://www.lyngsat.com/packages/DirecTV-USA-101W.html
12224 Rtp 1USA,DSS200006/7,,DirecTV USA,,,,,Videoguard,A Flores200711,DSS,20000,6/7,12224 R,tp 1,,Videoguard,,DirecTV USA,https://www.lyngsat.com/packages/DirecTV-USA-101W.html
12224 Rtp 1USA,DSS200006/7,,DirecTV USA,,,,,Videoguard,A Flores200711,DSS,20000,6/7,12224 R,tp 1,,Videoguard,,DirecTV USA,https://www.lyngsat.com/packages/DirecTV-USA-101W.html
12224 Rtp 1USA,DSS200006/7,,DirecTV USA,,,,,Videoguard,A Flores200711,DSS,20000,6/7,12224 R,tp 1,,Videoguard,,DirecTV USA,https://www.lyngsat.com/packages/DirecTV-USA-101W.html
12224 Rtp 1USA,DSS200006/7,,DirecTV USA,,,,,Videoguard,A Flores200711,DSS,20000,6/7,12224 R,tp 1,,Videoguard,,DirecTV USA,https://www.lyngsat.com/packages/DirecTV-USA-101W.html
12224 Rtp 1USA,DSS200006/7,,DirecTV USA,,,,,Videoguard,A Flores200711,DSS,20000,6/7,12224 R,tp 1,,Videoguard,,DirecTV USA,https://www.lyngsat.com/packages/DirecTV-USA-101W.html
12224 Rtp 1USA,DSS200006/7,,DirecTV USA,,,,,Videoguard,A Flores200711,DSS,20000,6/7,12224 R,tp 1,,Videoguard,,DirecTV USA,https://www.lyngsat.com/packages/DirecTV-USA-101W.html
12224 Rtp 1USA,DSS200006/7,,DirecTV USA,,,,,Videoguard,A Flores200711,DSS,20000,6/7,12224 R,tp 1,,Videoguard,,DirecTV USA,https://www.lyngsat.com/packages/DirecTV-USA-101W.html
