Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Pkg_Name,Pkg_URL
12268 Ltp 4Spot,DSS200002/3,,DirecTV USA,,,,,Videoguard,P Smith120222,DSS,20000,2/3,12268 L,tp 4,,Videoguard,,DirecTV USA,https://www.lyngsat.com/packages/DirecTV-USA-101W.html
12268 Ltp 4Spot,DSS200002/3,,DirecTV USA,,,,,Videoguard,P Smith120222,DSS,20000,2/3,12268 L,tp 4,,Videoguard,,DirecTV USA,https://www.lyngsat.com/packages/DirecTV-USA-101W.html
12268 Ltp 4Spot,DSS200002/3,,DirecTV USA,,,,,Videoguard,P Smith120222,DSS,20000,2/3,12268 L,tp 4,,Videoguard,,DirecTV USA,https://www.lyngsat.com/packages/DirecTV-USA-101W.html
12268 Ltp 4Spot,DSS200002/3,,DirecTV USA,,,,,Videoguard,P Smith120222,DSS,20000,2/3,12268 L,tp 4,,Videoguard,,DirecTV USA,https://www.lyngsat.com/packages/DirecTV-USA-101W.html
12501 Ltp 20Spot,DSS200006/7,,DirecTV USA,,,,,Videoguard,R Hewitt020130,DSS,20000,6/7,12501 L,tp 20,,Videoguard,,DirecTV USA,https://www.lyngsat.com/packages/DirecTV-USA-101W.html
12501 Ltp 20Spot,DSS200006/7,,DirecTV USA,,,,,Videoguard,R Hewitt020130,DSS,20000,6/7,12501 L,tp 20,,Videoguard,,DirecTV USA,https://www.lyngsat.com/packages/DirecTV-USA-101W.html
12501 Ltp 20Spot,DSS200006/7,,DirecTV USA,,,,,Videoguard,R Hewitt020130,DSS,20000,6/7,12501 L,tp 20,,Videoguard,,DirecTV USA,https://www.lyngsat.com/packages/DirecTV-USA-101W.html
12501 Ltp 20Spot,DSS200006/7,,DirecTV USA,,,,,Videoguard,R Hewitt020130,DSS,20000,6/7,12501 L,tp 20,,Videoguard,,DirecTV USA,https://www.lyngsat.com/packages/DirecTV-USA-101W.html
12384 Ltp 12Spot,,,,,,,,,Alexrules11240214,DSS,20000,2/3,12384 L,tp 12,,,,,
12472 Ltp 18Spot,,,,,,,,,Alexrules11240214,DSS,20000,2/3,12472 L,tp 18,,,,,
12588 Ltp 26Spot,,,,,,,,,Alexrules11240214,DSS,20000,6/7,12588 L,tp 26,,,,,
12618 Ltp 28Spot,,,,,,,,,Alexrules11240214,DSS,20000,6/7,12618 L,tp 28,,,,,
