Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL
11866 VArgentina,DVB-S33003/4,,(feeds),,,,,,J Rector 2150813,DVB-S,3300,3/4,11866 V,,,,,,,,
11876 HArgentina,DVB-S6666,,(feeds),,,,,,J Rector 2150813,DVB-S,3300,3/4,11876 H,,,,,,,,
11877 VArgentina,DVB-S23553/4,,(feeds),,,,,,J Rector 2150813,DVB-S,2355,3/4,11877 V,,,,,,,,
11882 HArgentina,DVB-S233333/4,,(feeds),,,,,,J Rector 2150813,DVB-S2,3333,3/4,11882 H,,,,,,,,
11888 VArgentina,DVB-S33303/4,,(feeds),,,,,,J Rector 2150813,DVB-S,3330,3/4,11888 V,,,,,,,,
11892 HArgentina,DVB-S3333,,(feeds),,,,,,J Rector 2150813,DVB-S,3330,3/4,11892 H,,,,,,,,
11896 HArgentina,DVB-S33303/4,,(feeds),,,,,,J Rector 2150813,DVB-S,3330,3/4,11896 H,,,,,,,,
11908 VArgentina,DVB-S27200,,(feeds),,,,,,C de Berazategui230625,DVB-S2,3900,5/6,11908 V,,,,,,,,
11915 VArgentina,DVB-S26003/4,,(feeds),,,,,,J Rector 2150813,DVB-S,2600,3/4,11915 V,,,,,,,,
11986 VArgentina,DVB-S23500,,(feeds),,,,,,C de Berazategui230814,DVB-S2,2600,3/4,11986 V,,,,,,,,
11992 VArgentina,DVB-S23400,,(feeds),,,,,,C de Berazategui230814,DVB-S2,2600,3/4,11992 V,,,,,,,,
12001 VArgentina,DVB-S23333,,(feeds),,,,,,C de Berazategui230814,DVB-S2,2600,3/4,12001 V,,,,,,,,
12022 VArgentina,DVB-S23600,,(feeds),,,,,,C de Berazategui211115,DVB-S2,2600,3/4,12022 V,,,,,,,,
12031 VArgentina,DVB-S23600,,(feeds),,,,,,C de Berazategui211115,DVB-S2,2600,3/4,12031 V,,,,,,,,
12034 HArgentina,DVB-S22500,,(feeds),,,,,,C de Berazategui221017,DVB-S2,2600,3/4,12034 H,,,,,,,,
12055 VArgentina,DVB-S22500,,(feeds),,,,,,C de Berazategui211115,DVB-S2,4400,5/6,12055 V,,,,,,,,
12058 HArgentina0,DVB-S4170,,(feeds),,,511,512,,,DVB-S,4400,5/6,12058 H,,0,,,,,,
