Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL
12034 Vtp 7West46-50,DVB-S275005/6,1343,Ekin Türk,,MPEG-2/SD,143,243 Tur,,,DVB-S,27500,5/6,12034 V,tp 7,46-50,,,Ekin Türk,https://www.lyngsat.com/tvchannels/tr/Ekin-Turk.html,,
12034 Vtp 7West46-50,DVB-S275005/6,1343,Ekin Türk,,MPEG-2/SD,143,243 Tur,,,DVB-S,27500,5/6,12034 V,tp 7,46-50,,,Ekin Türk,https://www.lyngsat.com/tvchannels/tr/Ekin-Turk.html,,
12034 Vtp 7West46-50,DVB-S275005/6,1371,CNN Türk Radyo,,,,271 Tur,,,DVB-S,27500,5/6,12034 V,tp 7,46-50,,,CNN Türk Radyo,https://www.lyngsat.com/radiochannels/us/CNN-Turk-Radyo.html,,
12034 Vtp 7West46-50,DVB-S275005/6,1371,CNN Türk Radyo,,,,271 Tur,,,DVB-S,27500,5/6,12034 V,tp 7,46-50,,,CNN Türk Radyo,https://www.lyngsat.com/radiochannels/us/CNN-Turk-Radyo.html,,
12034 Vtp 7West46-50,DVB-S275005/6,1373,Radyo D,,,,273 Tur,,,DVB-S,27500,5/6,12034 V,tp 7,46-50,,,Radyo D,https://www.lyngsat.com/radiochannels/tr/Radyo-D.html,,
12034 Vtp 7West46-50,DVB-S275005/6,1373,Radyo D,,,,273 Tur,,,DVB-S,27500,5/6,12034 V,tp 7,46-50,,,Radyo D,https://www.lyngsat.com/radiochannels/tr/Radyo-D.html,,
12034 Vtp 7West46-50,DVB-S275005/6,1375,Slow Türk,,,,275 Tur,,,DVB-S,27500,5/6,12034 V,tp 7,46-50,,,Slow Türk,https://www.lyngsat.com/radiochannels/tr/Slow-Turk.html,,
12034 Vtp 7West46-50,DVB-S275005/6,1375,Slow Türk,,,,275 Tur,,,DVB-S,27500,5/6,12034 V,tp 7,46-50,,,Slow Türk,https://www.lyngsat.com/radiochannels/tr/Slow-Turk.html,,
12034 Vtp 7West46-50,DVB-S275005/6,1379,Radyo Seymen,,,,279 Tur,,,DVB-S,27500,5/6,12034 V,tp 7,46-50,,,Radyo Seymen,https://www.lyngsat.com/radiochannels/tr/Radyo-Seymen.html,,
12034 Vtp 7West46-50,DVB-S275005/6,1379,Radyo Seymen,,,,279 Tur,,,DVB-S,27500,5/6,12034 V,tp 7,46-50,,,Radyo Seymen,https://www.lyngsat.com/radiochannels/tr/Radyo-Seymen.html,,
12034 Vtp 7West46-50,DVB-S275005/6,1380,Radyo 45'lik,,,,280 Tur,,,DVB-S,27500,5/6,12034 V,tp 7,46-50,,,Radyo 45'lik,https://www.lyngsat.com/radiochannels/tr/Radyo-45lik.html,,
