Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,15,Star Tamil TV,,HEVC/SD,2015,3015 Tam,Unicas,,DVB-S2,40000,2/3,12224 H,tp SAHG21,0,Unicas,,Star Tamil TV,https://www.lyngsat.com/tvchannels/lk/Star-Tamil-TV.html
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,16,Hiru TV,,HEVC/SD,2016,3016 Sin,Unicas,,DVB-S2,40000,2/3,12224 H,tp SAHG21,0,Unicas,,Hiru TV,https://www.lyngsat.com/tvchannels/lk/Hiru-TV.html
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,16,Hiru TV,,HEVC/SD,2016,3016 Sin,Unicas,,DVB-S2,40000,2/3,12224 H,tp SAHG21,0,Unicas,,Hiru TV,https://www.lyngsat.com/tvchannels/lk/Hiru-TV.html
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,17,Supreme TV,,HEVC/HD,2017,3017 Sin,Unicas,,DVB-S2,40000,2/3,12224 H,tp SAHG21,0,Unicas,,Supreme TV,https://www.lyngsat.com/tvchannels/lk/Supreme-TV.html
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,18,The Buddhist TV,,HEVC/SD,2018,3018 Sin,,,DVB-S2,40000,2/3,12224 H,tp SAHG21,0,,,The Buddhist TV,https://www.lyngsat.com/tvchannels/lk/The-Buddhist-TV.html
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,18,The Buddhist TV,,HEVC/SD,2018,3018 Sin,,,DVB-S2,40000,2/3,12224 H,tp SAHG21,0,,,The Buddhist TV,https://www.lyngsat.com/tvchannels/lk/The-Buddhist-TV.html
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,19,[Freesat test card],,HEVC/SD,2019,3019,,,DVB-S2,40000,2/3,12224 H,tp SAHG21,0,,,,
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,23,[Freesat test card],,HEVC/SD,2023,3023,,,DVB-S2,40000,2/3,12224 H,tp SAHG21,0,,,,
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,24,[Freesat test card],,HEVC/SD,2108,3108,,,DVB-S2,40000,2/3,12224 H,tp SAHG21,0,,,,
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,97,[Freesat test card],,MPEG-4/SD,2097,3097,,,DVB-S2,40000,2/3,12224 H,tp SAHG21,0,,,,
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,20,Rangiri Sri Lanka TV,,HEVC/SD,2020,3020 Sin,,,DVB-S2,40000,2/3,12224 H,tp SAHG21,0,,,Rangiri Sri Lanka TV,https://www.lyngsat.com/tvchannels/lk/Rangiri-Sri-Lanka-TV.html
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,20,Rangiri Sri Lanka TV,,HEVC/SD,2020,3020 Sin,,,DVB-S2,40000,2/3,12224 H,tp SAHG21,0,,,Rangiri Sri Lanka TV,https://www.lyngsat.com/tvchannels/lk/Rangiri-Sri-Lanka-TV.html
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,21,Verbum TV,,HEVC/SD,2021,3021 Tam,,,DVB-S2,40000,2/3,12224 H,tp SAHG21,0,,,Verbum TV,https://www.lyngsat.com/tvchannels/lk/Verbum-TV.html
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,21,Verbum TV,,HEVC/SD,2021,3021 Tam,,,DVB-S2,40000,2/3,12224 H,tp SAHG21,0,,,Verbum TV,https://www.lyngsat.com/tvchannels/lk/Verbum-TV.html
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,22,Shraddha TV,,HEVC/SD,2022,3022 Sin,,,DVB-S2,40000,2/3,12224 H,tp SAHG21,0,,,Shraddha TV,https://www.lyngsat.com/tvchannels/lk/Shraddha-TV.html
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,22,Shraddha TV,,HEVC/SD,2022,3022 Sin,,,DVB-S2,40000,2/3,12224 H,tp SAHG21,0,,,Shraddha TV,https://www.lyngsat.com/tvchannels/lk/Shraddha-TV.html
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,25,Meth TV,,HEVC/SD,2025,3025,,,DVB-S2,40000,2/3,12224 H,tp SAHG21,0,,,Meth TV,https://www.lyngsat.com/tvchannels/lk/Meth-TV.html
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,26,Dharmavahini TV,,HEVC/SD,2026,3026,,,DVB-S2,40000,2/3,12224 H,tp SAHG21,0,,,Dharmavahini TV,https://www.lyngsat.com/tvchannels/lk/Dharmavahini-TV.html
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,27,Athavan TV,,HEVC/SD,2027,3027 Tam,,,DVB-S2,40000,2/3,12224 H,tp SAHG21,0,,,Athavan TV,https://www.lyngsat.com/tvchannels/uk/Athavan-TV.html
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,27,Athavan TV,,HEVC/SD,2027,3027 Tam,,,DVB-S2,40000,2/3,12224 H,tp SAHG21,0,,,Athavan TV,https://www.lyngsat.com/tvchannels/uk/Athavan-TV.html
