Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL
11564 Htp A9North Atlantic Ocean Region,DVB-S2QPSK33201/2,,Anuvu,,,,1.0,PowerVu,Gerard180121,DVB-S2,3320,1/2,11564 H,tp A9,,PowerVu,https://www.lyngsat.com/providers/us/Anuvu.html,,
11564 Htp A9North Atlantic Ocean Region,DVB-S2QPSK33201/2,501,BBC News,,MPEG-4/SD,4673,4.74 Eng,PowerVu,,DVB-S2,3320,1/2,11564 H,tp A9,,PowerVu,,BBC News,https://www.lyngsat.com/tvchannels/uk/BBC-News.html
11564 Htp A9North Atlantic Ocean Region,DVB-S2QPSK33201/2,502,TFC Middle East,,MPEG-4/SD,4929,4930 Eng,PowerVu,,DVB-S2,3320,1/2,11564 H,tp A9,,PowerVu,,TFC Middle East,https://www.lyngsat.com/tvchannels/ph/TFC-Middle-East.html
11564 Htp A9North Atlantic Ocean Region,DVB-S2QPSK33201/2,503,Prime World,,MPEG-4/SD,5185,5186,PowerVu,,DVB-S2,3320,1/2,11564 H,tp A9,,PowerVu,,Prime World,https://www.lyngsat.com/tvchannels/--/Prime-World.html
11564 Htp A9North Atlantic Ocean Region,DVB-S2QPSK33201/2,504,Sport 24,,MPEG-4/SD,5441,5442 Eng,PowerVu,,DVB-S2,3320,1/2,11564 H,tp A9,,PowerVu,,Sport 24,https://www.lyngsat.com/tvchannels/uk/Sport-24.html
11592 Vtp 40USouthern Cone,DVB-S28PSK5165,,Teletrak,,,,,,C de Berazategui230615,DVB-S2,5165,1/2,11592 V,tp 40U,,,https://www.lyngsat.com/providers/cl/Teletrak.html,,
11592 Vtp 40USouthern Cone,DVB-S28PSK5165,1,Teletrak 1,,MPEG-4/HD,102,103 Spa,,,DVB-S2,5165,1/2,11592 V,tp 40U,,,,Teletrak 1,https://www.lyngsat.com/tvchannels/cl/Teletrak-1.html
11592 Vtp 40USouthern Cone,DVB-S28PSK5165,1,Teletrak 1,,MPEG-4/HD,102,103 Spa,,,DVB-S2,5165,1/2,11592 V,tp 40U,,,,Teletrak 1,https://www.lyngsat.com/tvchannels/cl/Teletrak-1.html
11592 Vtp 40USouthern Cone,DVB-S28PSK5165,2,Teletrak 2,,MPEG-4/HD,202,203 Spa,,,DVB-S2,5165,1/2,11592 V,tp 40U,,,,Teletrak 2,https://www.lyngsat.com/tvchannels/cl/Teletrak-2.html
11870 HBrazil,DVB-S32002/3,4,RTP Internacional América,,?-?MPEG-2/SD,256,4.4 258 Por,,C de Berazategui221020,DVB-S,3200,2/3,11870 H,,,,,,
11870 HBrazil,DVB-S32002/3,5,RDP Internacional,,,,268 Por,,,DVB-S,3200,2/3,11870 H,,,,,RDP Internacional,https://www.lyngsat.com/radiochannels/pt/RDP-Internacional.html
11870 HBrazil,DVB-S32002/3,5,RDP Internacional,,,,268 Por,,,DVB-S,3200,2/3,11870 H,,,,,RDP Internacional,https://www.lyngsat.com/radiochannels/pt/RDP-Internacional.html
11875 HBrazil,DVB-S28PSK58323/4,,Unisa,,,,7.9,,Wilkherdasilva200411,DVB-S2,5832,3/4,11875 H,,,,https://www.lyngsat.com/providers/br/Unisa.html,,
11875 HBrazil,DVB-S28PSK58323/4,1,Unisa 1,,MPEG-4/SD,350,351 Por,,,DVB-S2,5832,3/4,11875 H,,,,,Unisa 1,https://www.lyngsat.com/tvchannels/br/Unisa-1.html
11875 HBrazil,DVB-S28PSK58323/4,2,Unisa 2,,MPEG-4/SD,450,451 Por,,,DVB-S2,5832,3/4,11875 H,,,,,Unisa 2,https://www.lyngsat.com/tvchannels/br/Unisa-2.html
11875 HBrazil,DVB-S28PSK58323/4,3,Unisa 3,,MPEG-4/SD,550,551 Por,,,DVB-S2,5832,3/4,11875 H,,,,,Unisa 3,https://www.lyngsat.com/tvchannels/br/Unisa-3.html
11875 HBrazil,DVB-S28PSK58323/4,4,Unisa 4,,MPEG-4/SD,650,651 Por,,,DVB-S2,5832,3/4,11875 H,,,,,Unisa 4,https://www.lyngsat.com/tvchannels/br/Unisa-4.html
11875 HBrazil,DVB-S28PSK58323/4,5,Unisa 5,,MPEG-4/SD,750,751 Por,,,DVB-S2,5832,3/4,11875 H,,,,,Unisa 5,https://www.lyngsat.com/tvchannels/br/Unisa-5.html
11875 HBrazil,DVB-S28PSK58323/4,6,Unisa 6,,MPEG-4/SD,850,851 Por,,,DVB-S2,5832,3/4,11875 H,,,,,Unisa 6,https://www.lyngsat.com/tvchannels/br/Unisa-6.html
11875 HBrazil,DVB-S28PSK58323/4,7,Unisa 7,,MPEG-4/SD,950,951 Por,,,DVB-S2,5832,3/4,11875 H,,,,,Unisa 7,https://www.lyngsat.com/tvchannels/br/Unisa-7.html
11958 Htp 7Brazil,DVB-S3255,,(feeds),,,,,,N Chaves080713,DVB-S,5832,3/4,11958 H,tp 7,,,,,
,,,,,,,,,,,,,,,,,,DVB-S32002/3,
