Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Pkg_Name,Pkg_URL
11720 Vtp B1Australia0,DVB-S28PSK300003/5,,VAST,,,,5.5,Irdeto,C Sutton221214,DVB-S2,30000,3/5,11720 V,tp B1,0,Irdeto,,VAST,https://www.lyngsat.com/packages/VAST.html
11720 Vtp B1Australia0,DVB-S28PSK300003/5,,VAST,,,,5.5,Irdeto,C Sutton221214,DVB-S2,30000,3/5,11720 V,tp B1,0,Irdeto,,VAST,https://www.lyngsat.com/packages/VAST.html
11720 Vtp B1Australia0,DVB-S28PSK300003/5,,VAST,,,,5.5,Irdeto,C Sutton221214,DVB-S2,30000,3/5,11720 V,tp B1,0,Irdeto,,VAST,https://www.lyngsat.com/packages/VAST.html
11720 Vtp B1Australia0,DVB-S28PSK300003/5,,VAST,,,,5.5,Irdeto,C Sutton221214,DVB-S2,30000,3/5,11720 V,tp B1,0,Irdeto,,VAST,https://www.lyngsat.com/packages/VAST.html
11720 Vtp B1Australia0,DVB-S28PSK300003/5,,VAST,,,,5.5,Irdeto,C Sutton221214,DVB-S2,30000,3/5,11720 V,tp B1,0,Irdeto,,VAST,https://www.lyngsat.com/packages/VAST.html
11720 Vtp B1Australia0,DVB-S28PSK300003/5,,VAST,,,,5.5,Irdeto,C Sutton221214,DVB-S2,30000,3/5,11720 V,tp B1,0,Irdeto,,VAST,https://www.lyngsat.com/packages/VAST.html
11720 Vtp B1Australia0,DVB-S28PSK300003/5,,VAST,,,,5.5,Irdeto,C Sutton221214,DVB-S2,30000,3/5,11720 V,tp B1,0,Irdeto,,VAST,https://www.lyngsat.com/packages/VAST.html
11720 Vtp B1Australia0,DVB-S28PSK300003/5,,VAST,,,,5.5,Irdeto,C Sutton221214,DVB-S2,30000,3/5,11720 V,tp B1,0,Irdeto,,VAST,https://www.lyngsat.com/packages/VAST.html
11804 Vtp B3Australia0,DVB-S28PSK300003/5,,VAST,,?-4,,5.5,Irdeto,C Sutton231226,DVB-S2,30000,3/5,11804 V,tp B3,0,Irdeto,,VAST,https://www.lyngsat.com/packages/VAST.html
11804 Vtp B3Australia0,DVB-S28PSK300003/5,,VAST,,?-4,,5.5,Irdeto,C Sutton231226,DVB-S2,30000,3/5,11804 V,tp B3,0,Irdeto,,VAST,https://www.lyngsat.com/packages/VAST.html
11804 Vtp B3Australia0,DVB-S28PSK300003/5,,VAST,,?-4,,5.5,Irdeto,C Sutton231226,DVB-S2,30000,3/5,11804 V,tp B3,0,Irdeto,,VAST,https://www.lyngsat.com/packages/VAST.html
11804 Vtp B3Australia0,DVB-S28PSK300003/5,,VAST,,?-4,,5.5,Irdeto,C Sutton231226,DVB-S2,30000,3/5,11804 V,tp B3,0,Irdeto,,VAST,https://www.lyngsat.com/packages/VAST.html
11804 Vtp B3Australia0,DVB-S28PSK300003/5,,VAST,,?-4,,5.5,Irdeto,C Sutton231226,DVB-S2,30000,3/5,11804 V,tp B3,0,Irdeto,,VAST,https://www.lyngsat.com/packages/VAST.html
11804 Vtp B3Australia0,DVB-S28PSK300003/5,,VAST,,?-4,,5.5,Irdeto,C Sutton231226,DVB-S2,30000,3/5,11804 V,tp B3,0,Irdeto,,VAST,https://www.lyngsat.com/packages/VAST.html
11804 Vtp B3Australia0,DVB-S28PSK300003/5,,VAST,,?-4,,5.5,Irdeto,C Sutton231226,DVB-S2,30000,3/5,11804 V,tp B3,0,Irdeto,,VAST,https://www.lyngsat.com/packages/VAST.html
11804 Vtp B3Australia0,DVB-S28PSK300003/5,,VAST,,?-4,,5.5,Irdeto,C Sutton231226,DVB-S2,30000,3/5,11804 V,tp B3,0,Irdeto,,VAST,https://www.lyngsat.com/packages/VAST.html
11886 Vtp B5Australia0,DVB-S28PSK300003/5,,VAST,,?-2,,5.5,Irdeto,C Sutton220523,DVB-S2,30000,3/5,11886 V,tp B5,0,Irdeto,,VAST,https://www.lyngsat.com/packages/VAST.html
11886 Vtp B5Australia0,DVB-S28PSK300003/5,,VAST,,?-2,,5.5,Irdeto,C Sutton220523,DVB-S2,30000,3/5,11886 V,tp B5,0,Irdeto,,VAST,https://www.lyngsat.com/packages/VAST.html
