Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Pkg_Name,Pkg_URL
12530 Ltp 22,DSS200006/7,,DirecTV USA,,?-22,,,Videoguard,R Hewitt020719,DSS,20000,6/7,12530 L,tp 22,,Videoguard,,DirecTV USA,https://www.lyngsat.com/packages/DirecTV-USA-119W.html
12530 Ltp 22,DSS200006/7,,DirecTV USA,,?-22,,,Videoguard,R Hewitt020719,DSS,20000,6/7,12530 L,tp 22,,Videoguard,,DirecTV USA,https://www.lyngsat.com/packages/DirecTV-USA-119W.html
12530 Ltp 22,DSS200006/7,,DirecTV USA,,?-22,,,Videoguard,R Hewitt020719,DSS,20000,6/7,12530 L,tp 22,,Videoguard,,DirecTV USA,https://www.lyngsat.com/packages/DirecTV-USA-119W.html
12530 Ltp 22,DSS200006/7,,DirecTV USA,,?-22,,,Videoguard,R Hewitt020719,DSS,20000,6/7,12530 L,tp 22,,Videoguard,,DirecTV USA,https://www.lyngsat.com/packages/DirecTV-USA-119W.html
12530 Ltp 22,DSS200006/7,,DirecTV USA,,?-22,,,Videoguard,R Hewitt020719,DSS,20000,6/7,12530 L,tp 22,,Videoguard,,DirecTV USA,https://www.lyngsat.com/packages/DirecTV-USA-119W.html
12530 Ltp 22,DSS200006/7,,DirecTV USA,,?-22,,,Videoguard,R Hewitt020719,DSS,20000,6/7,12530 L,tp 22,,Videoguard,,DirecTV USA,https://www.lyngsat.com/packages/DirecTV-USA-119W.html
12530 Ltp 22,DSS200006/7,,DirecTV USA,,?-22,,,Videoguard,R Hewitt020719,DSS,20000,6/7,12530 L,tp 22,,Videoguard,,DirecTV USA,https://www.lyngsat.com/packages/DirecTV-USA-119W.html
12530 Ltp 22,DSS200006/7,,DirecTV USA,,?-22,,,Videoguard,R Hewitt020719,DSS,20000,6/7,12530 L,tp 22,,Videoguard,,DirecTV USA,https://www.lyngsat.com/packages/DirecTV-USA-119W.html
12530 Ltp 22,DSS200006/7,,DirecTV USA,,?-22,,,Videoguard,R Hewitt020719,DSS,20000,6/7,12530 L,tp 22,,Videoguard,,DirecTV USA,https://www.lyngsat.com/packages/DirecTV-USA-119W.html
12530 Ltp 22,DSS200006/7,,DirecTV USA,,?-22,,,Videoguard,R Hewitt020719,DSS,20000,6/7,12530 L,tp 22,,Videoguard,,DirecTV USA,https://www.lyngsat.com/packages/DirecTV-USA-119W.html
12530 Ltp 22,DSS200006/7,,DirecTV USA,,?-22,,,Videoguard,R Hewitt020719,DSS,20000,6/7,12530 L,tp 22,,Videoguard,,DirecTV USA,https://www.lyngsat.com/packages/DirecTV-USA-119W.html
12530 Ltp 22,DSS200006/7,,DirecTV USA,,?-22,,,Videoguard,R Hewitt020719,DSS,20000,6/7,12530 L,tp 22,,Videoguard,,DirecTV USA,https://www.lyngsat.com/packages/DirecTV-USA-119W.html
12530 Ltp 22,DSS200006/7,,DirecTV USA,,?-22,,,Videoguard,R Hewitt020719,DSS,20000,6/7,12530 L,tp 22,,Videoguard,,DirecTV USA,https://www.lyngsat.com/packages/DirecTV-USA-119W.html
12530 Ltp 22,DSS200006/7,,DirecTV USA,,?-22,,,Videoguard,R Hewitt020719,DSS,20000,6/7,12530 L,tp 22,,Videoguard,,DirecTV USA,https://www.lyngsat.com/packages/DirecTV-USA-119W.html
12530 Ltp 22,DSS200006/7,,DirecTV USA,,?-22,,,Videoguard,R Hewitt020719,DSS,20000,6/7,12530 L,tp 22,,Videoguard,,DirecTV USA,https://www.lyngsat.com/packages/DirecTV-USA-119W.html
12530 Ltp 22,DSS200006/7,,DirecTV USA,,?-22,,,Videoguard,R Hewitt020719,DSS,20000,6/7,12530 L,tp 22,,Videoguard,,DirecTV USA,https://www.lyngsat.com/packages/DirecTV-USA-119W.html
12530 Ltp 22,DSS200006/7,,DirecTV USA,,?-22,,,Videoguard,R Hewitt020719,DSS,20000,6/7,12530 L,tp 22,,Videoguard,,DirecTV USA,https://www.lyngsat.com/packages/DirecTV-USA-119W.html
12530 Ltp 22,DSS200006/7,,DirecTV USA,,?-22,,,Videoguard,R Hewitt020719,DSS,20000,6/7,12530 L,tp 22,,Videoguard,,DirecTV USA,https://www.lyngsat.com/packages/DirecTV-USA-119W.html
12530 Ltp 22,DSS200006/7,,DirecTV USA,,?-22,,,Videoguard,R Hewitt020719,DSS,20000,6/7,12530 L,tp 22,,Videoguard,,DirecTV USA,https://www.lyngsat.com/packages/DirecTV-USA-119W.html
12530 Ltp 22,DSS200006/7,,DirecTV USA,,?-22,,,Videoguard,R Hewitt020719,DSS,20000,6/7,12530 L,tp 22,,Videoguard,,DirecTV USA,https://www.lyngsat.com/packages/DirecTV-USA-119W.html
12530 Ltp 22,DSS200006/7,,DirecTV USA,,?-22,,,Videoguard,R Hewitt020719,DSS,20000,6/7,12530 L,tp 22,,Videoguard,,DirecTV USA,https://www.lyngsat.com/packages/DirecTV-USA-119W.html
12530 Ltp 22,DSS200006/7,,DirecTV USA,,?-22,,,Videoguard,R Hewitt020719,DSS,20000,6/7,12530 L,tp 22,,Videoguard,,DirecTV USA,https://www.lyngsat.com/packages/DirecTV-USA-119W.html
12545 Rtp 23,DSS200006/7,,DirecTV USA,,?-23,,,Videoguard,P Smith110215,DSS,20000,6/7,12545 R,tp 23,,Videoguard,,DirecTV USA,https://www.lyngsat.com/packages/DirecTV-USA-119W.html
12545 Rtp 23,DSS200006/7,,DirecTV USA,,?-23,,,Videoguard,P Smith110215,DSS,20000,6/7,12545 R,tp 23,,Videoguard,,DirecTV USA,https://www.lyngsat.com/packages/DirecTV-USA-119W.html
12545 Rtp 23,DSS200006/7,,DirecTV USA,,?-23,,,Videoguard,P Smith110215,DSS,20000,6/7,12545 R,tp 23,,Videoguard,,DirecTV USA,https://www.lyngsat.com/packages/DirecTV-USA-119W.html
12545 Rtp 23,DSS200006/7,,DirecTV USA,,?-23,,,Videoguard,P Smith110215,DSS,20000,6/7,12545 R,tp 23,,Videoguard,,DirecTV USA,https://www.lyngsat.com/packages/DirecTV-USA-119W.html
