Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL
4049 LMyanmar,DVB-S28PSK150003/4,51,MRTV,,MPEG-4/HD,100,200 Bur,,,DVB-S2,15000,3/4,4049 L,,,,,MRTV,https://www.lyngsat.com/tvchannels/mm/MRTV.html
11140 VMyanmar,DVB-S2QPSK300003/4,51,MRTV,,MPEG-4/HD,100,200 Bur,,,DVB-S2,30000,3/4,11140 V,,,,,MRTV,https://www.lyngsat.com/tvchannels/mm/MRTV.html
11140 VMyanmar,DVB-S2QPSK300003/4,51,MRTV,,MPEG-4/HD,100,200 Bur,,,DVB-S2,30000,3/4,11140 V,,,,,MRTV,https://www.lyngsat.com/tvchannels/mm/MRTV.html
11140 VMyanmar,DVB-S2QPSK300003/4,51,MRTV,,MPEG-4/HD,100,200 Bur,,,DVB-S2,30000,3/4,11140 V,,,,,MRTV,https://www.lyngsat.com/tvchannels/mm/MRTV.html
11140 VMyanmar,DVB-S2QPSK300003/4,51,MRTV,,MPEG-4/HD,100,200 Bur,,,DVB-S2,30000,3/4,11140 V,,,,,MRTV,https://www.lyngsat.com/tvchannels/mm/MRTV.html
4049 LMyanmar,DVB-S28PSK150003/4,52,MRTV News,,MPEG-4/HD,101,201 Bur,,,DVB-S2,15000,3/4,4049 L,,,,,MRTV News,https://www.lyngsat.com/tvchannels/mm/MRTV-News.html
4049 LMyanmar,DVB-S28PSK150003/4,52,MRTV News,,MPEG-4/HD,101,201 Bur,,,DVB-S2,15000,3/4,4049 L,,,,,MRTV News,https://www.lyngsat.com/tvchannels/mm/MRTV-News.html
4049 LMyanmar,DVB-S28PSK150003/4,52,MRTV News,,MPEG-4/HD,101,201 Bur,,,DVB-S2,15000,3/4,4049 L,,,,,MRTV News,https://www.lyngsat.com/tvchannels/mm/MRTV-News.html
4049 LMyanmar,DVB-S28PSK150003/4,52,MRTV News,,MPEG-4/HD,101,201 Bur,,,DVB-S2,15000,3/4,4049 L,,,,,MRTV News,https://www.lyngsat.com/tvchannels/mm/MRTV-News.html
11140 VMyanmar,DVB-S2QPSK300003/4,52,MRTV News,,MPEG-4/HD,101,201 Bur,,,DVB-S2,30000,3/4,11140 V,,,,,MRTV News,https://www.lyngsat.com/tvchannels/mm/MRTV-News.html
11140 VMyanmar,DVB-S2QPSK300003/4,52,MRTV News,,MPEG-4/HD,101,201 Bur,,,DVB-S2,30000,3/4,11140 V,,,,,MRTV News,https://www.lyngsat.com/tvchannels/mm/MRTV-News.html
11140 VMyanmar,DVB-S2QPSK300003/4,52,MRTV News,,MPEG-4/HD,101,201 Bur,,,DVB-S2,30000,3/4,11140 V,,,,,MRTV News,https://www.lyngsat.com/tvchannels/mm/MRTV-News.html
11140 VMyanmar,DVB-S2QPSK300003/4,52,MRTV News,,MPEG-4/HD,101,201 Bur,,,DVB-S2,30000,3/4,11140 V,,,,,MRTV News,https://www.lyngsat.com/tvchannels/mm/MRTV-News.html
4049 LMyanmar,DVB-S28PSK150003/4,53,MRTV Parliament,,MPEG-4/SD,102,202 Bur,,,DVB-S2,15000,3/4,4049 L,,,,,MRTV Parliament,https://www.lyngsat.com/tvchannels/mm/MRTV-Parliament.html
4049 LMyanmar,DVB-S28PSK150003/4,53,MRTV Parliament,,MPEG-4/SD,102,202 Bur,,,DVB-S2,15000,3/4,4049 L,,,,,MRTV Parliament,https://www.lyngsat.com/tvchannels/mm/MRTV-Parliament.html
11140 VMyanmar,DVB-S2QPSK300003/4,53,MRTV Parliament,,MPEG-4/SD,102,202 Bur,,,DVB-S2,30000,3/4,11140 V,,,,,MRTV Parliament,https://www.lyngsat.com/tvchannels/mm/MRTV-Parliament.html
