Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL
3728 Htp 1AC,DVB-S28PSK24003/4,,(feeds),,,,,,Albert I201126,DVB-S2,2400,3/4,3728 H,tp 1A,,,,,
3730 Vtp 1BC,DVB-S28PSK16505/6,,(feeds),,,,,,Bulek Sps180509,DVB-S2,1650,5/6,3730 V,tp 1B,,,,,
3763 Htp 2AC,DVB-S28PSK12003/4,,(feeds),,,,,,Albert I170502,DVB-S2,1200,3/4,3763 H,tp 2A,,,,,
3770 Htp 2AC,DVB-S2QPSK16003/4,,(feeds),,,,,,Anonymous191219,DVB-S2,1600,3/4,3770 H,tp 2A,,,,,
3811 Vtp 3BC,DVB-S28PSK46003/4,,(feeds),,,,,,DX Bozóth200229,DVB-S2,4600,3/4,3811 V,tp 3B,,,,,
3817 Vtp 3BC,DVB-S28PSK46003/4,,(feeds),,,,,,N Stanislav220729,DVB-S2,4600,3/4,3817 V,tp 3B,,,,,
3828 Vtp 3BC,DVB-S28PSK75005/6,,(feeds),,,,,,Anonymous200218,DVB-S2,7500,5/6,3828 V,tp 3B,,,,,
3858 HC,DVB-S28PSK69203/4,,(feeds),,,,,,Bulek Sps181130,DVB-S2,6920,3/4,3858 H,,,,,,
3983 VC,DVB-S36003/4,,(feeds),,,,,,Anonymous191008,DVB-S,3600,3/4,3983 V,,,,,,
3995 VC,DVB-S7200,,(feeds),,,,,,A Zapara210219,DVB-S,3600,3/4,3995 V,,,,,,
4005 HC,DVB-S2QPSK37509/10,,(feeds),,,,,,DX Bozóth210207,DVB-S2,3750,9/10,4005 H,,,,,,
4025 Htp 8AC,DVB-S12003/4,,(feeds),,,,,,T Kameda170407,DVB-S,1200,3/4,4025 H,tp 8A,,,,,
4028 Htp 8AC,DVB-S12003/4,,(feeds),,,,,,DX Bozóth171123,DVB-S,1200,3/4,4028 H,tp 8A,,,,,
4040 Htp 8AC,DVB-S28PSK20803/4,,(feeds),,,,,,DX Bozóth200515,DVB-S2,2080,3/4,4040 H,tp 8A,,,,,
4043 Htp 8AC,DVB-S15005/6,,(feeds),,,,,,DX Bozóth171123,DVB-S,1500,5/6,4043 H,tp 8A,,,,,
4067 Htp 8AC,DVB-S2QPSK15005/6,,(feeds),,,,,,DX Bozóth150811,DVB-S2,1500,5/6,4067 H,tp 8A,,,,,
4094 Htp 8AC,DVB-S28PSK10803/4,,(feeds),,,,,,DX Bozóth200120,DVB-S2,1080,3/4,4094 H,tp 8A,,,,,
4096 Htp 8AC,DVB-S28PSK16003/4,,(feeds),,,,,,Anonymous191008,DVB-S2,1600,3/4,4096 H,tp 8A,,,,,
4098 Htp 8AC,DVB-S28PSK16005/6,,(feeds),,,,,,DX Bozóth171123,DVB-S2,1600,5/6,4098 H,tp 8A,,,,,
3774 Htp 2AC,DVB-S2QPSK18003/4,1,Yunnan Lancang-Mekong International Channel,,1-1MPEG-4/SD,256,4.0 258,,T Kameda200918,DVB-S2,1800,3/4,3774 H,tp 2A,,,,,
3836 Vtp 3BC,DVB-S28PSK23005/6,,(BBTV Channel 7 feeds),,,,,,Anonymous200209,DVB-S2,2300,5/6,3836 V,tp 3B,,,,,
4020 Vtp 7BC,DVB-S28PSK72003/4,,,,,,7.9,,N Stanislav231024,DVB-S2,7200,3/4,4020 V,tp 7B,,,,,
4020 Vtp 7BC,DVB-S28PSK72003/4,1,Polimer,,MPEG-4/SD,1001,2001 Tam,,,DVB-S2,7200,3/4,4020 V,tp 7B,,,,Polimer,https://www.lyngsat.com/tvchannels/in/Polimer.html
4020 Vtp 7BC,DVB-S28PSK72003/4,2,Polimer News,,MPEG-4/SD,1002,2002 Tam,,,DVB-S2,7200,3/4,4020 V,tp 7B,,,,Polimer News,https://www.lyngsat.com/tvchannels/in/Polimer-News.html
4020 Vtp 7BC,DVB-S28PSK72003/4,3,Jothi TV,,MPEG-4/SD,1003,2003 Tam,,,DVB-S2,7200,3/4,4020 V,tp 7B,,,,Jothi TV,https://www.lyngsat.com/tvchannels/in/Jothi-TV.html
4020 Vtp 7BC,DVB-S28PSK72003/4,4,Polimer Samachar,,MPEG-4/SD,1004,2004 Hin,,,DVB-S2,7200,3/4,4020 V,tp 7B,,,,Polimer Samachar,https://www.lyngsat.com/tvchannels/in/Polimer-Samachar.html
4027 Vtp 7BC,DVB-S2QPSK37503/4,,(NBT TV feeds),,,,,,Albert I200213,DVB-S2,3750,3/4,4027 V,tp 7B,,,,,
4032 Vtp 7BC,DVB-S37503/4,,(NBT TV feeds),,,,,,Anonymous200305,DVB-S,3750,3/4,4032 V,tp 7B,,,,,
4035 Htp 8AC,DVB-S2QPSK10733/4,,Voice of Strait,,65535-1,,4.0,,Onacila210319,DVB-S2,1073,3/4,4035 H,tp 8A,,,https://www.lyngsat.com/providers/cn/Voice-of-Strait.html,,
4035 Htp 8AC,DVB-S2QPSK10733/4,1,VOS Auto and Life FM 90.6,,,,.01 Chi,,,DVB-S2,1073,3/4,4035 H,tp 8A,,,,VOS Auto and Life FM 90.6,https://www.lyngsat.com/radiochannels/cn/VOS-Auto-and-Life-FM-906.html
4035 Htp 8AC,DVB-S2QPSK10733/4,1,CHBC 107.1 FM,,,,302 Chi,,,DVB-S2,1073,3/4,4035 H,tp 8A,,,,CHBC 107.1 FM,https://www.lyngsat.com/radiochannels/cn/CHBC-1071-FM.html
4035 Htp 8AC,DVB-S2QPSK10733/4,1,VOS News AM 666,,,,303 Chi,,,DVB-S2,1073,3/4,4035 H,tp 8A,,,,VOS News AM 666,https://www.lyngsat.com/radiochannels/cn/VOS-News-AM-666.html
4035 Htp 8AC,DVB-S2QPSK10733/4,1,VOS Minnan Dialect AM 783,,,,304 Chi,,,DVB-S2,1073,3/4,4035 H,tp 8A,,,,VOS Minnan Dialect AM 783,https://www.lyngsat.com/radiochannels/cn/VOS-Minnan-Dialect-AM-783.html
4035 Htp 8AC,DVB-S2QPSK10733/4,1,VOS Sunshine FM 99.6,,,,305 Chi,,,DVB-S2,1073,3/4,4035 H,tp 8A,,,,VOS Sunshine FM 99.6,https://www.lyngsat.com/radiochannels/cn/VOS-Sunshine-FM-996.html
4140 VC,DVB-S28PSK288003/4,,Raj TV Network,,1-1,,7.9,,C Sutton240130,DVB-S2,28800,3/4,4140 V,,,,https://www.lyngsat.com/providers/in/Raj-TV-Network.html,,
4140 VC,DVB-S28PSK288003/4,1,Raj TV,,MPEG-4/SD,601,701 Tam,Irdeto,,DVB-S2,28800,3/4,4140 V,,,Irdeto,,Raj TV,https://www.lyngsat.com/tvchannels/in/Raj-TV.html
4140 VC,DVB-S28PSK288003/4,2,Raj Digital Plus,,MPEG-4/SD,602,702 Tam,Irdeto,,DVB-S2,28800,3/4,4140 V,,,Irdeto,,Raj Digital Plus,https://www.lyngsat.com/tvchannels/in/Raj-Digital-Plus.html
4140 VC,DVB-S28PSK288003/4,3,Raj News,,MPEG-4/SD,603,703 Tam,Irdeto,,DVB-S2,28800,3/4,4140 V,,,Irdeto,,Raj News,https://www.lyngsat.com/tvchannels/in/Raj-News.html
4140 VC,DVB-S28PSK288003/4,4,Raj Musix Tamil,,MPEG-4/SD,604,704 Tam,Irdeto,,DVB-S2,28800,3/4,4140 V,,,Irdeto,,Raj Musix Tamil,https://www.lyngsat.com/tvchannels/in/Raj-Musix-Tamil.html
4140 VC,DVB-S28PSK288003/4,5,Vissa,,MPEG-4/SD,605,705 Tel,,,DVB-S2,28800,3/4,4140 V,,,,,Vissa,https://www.lyngsat.com/tvchannels/in/Vissa.html
4140 VC,DVB-S28PSK288003/4,6,Raj Musix Kannada,,MPEG-4/SD,606,706 Kan,,,DVB-S2,28800,3/4,4140 V,,,,,Raj Musix Kannada,https://www.lyngsat.com/tvchannels/in/Raj-Musix-Kannada.html
4140 VC,DVB-S28PSK288003/4,7,Raj News Kannada,,MPEG-4/SD,607,707 Kan,,,DVB-S2,28800,3/4,4140 V,,,,,Raj News Kannada,https://www.lyngsat.com/tvchannels/in/Raj-News-Kannada.html
4140 VC,DVB-S28PSK288003/4,8,Raj Musix Telugu,,MPEG-4/SD,608,708 Tel,,,DVB-S2,28800,3/4,4140 V,,,,,Raj Musix Telugu,https://www.lyngsat.com/tvchannels/in/Raj-Musix-Telugu.html
4140 VC,DVB-S28PSK288003/4,9,Raj News Telugu,,MPEG-4/SD,609,709 Tel,,,DVB-S2,28800,3/4,4140 V,,,,,Raj News Telugu,https://www.lyngsat.com/tvchannels/in/Raj-News-Telugu.html
4140 VC,DVB-S28PSK288003/4,10,Raj News Malayalam,,MPEG-4/SD,610,710 Mal,,,DVB-S2,28800,3/4,4140 V,,,,,Raj News Malayalam,https://www.lyngsat.com/tvchannels/in/Raj-News-Malayalam.html
4140 VC,DVB-S28PSK288003/4,11,Raj Musix Malayalam,,MPEG-4/SD,611,711 Mal,,,DVB-S2,28800,3/4,4140 V,,,,,Raj Musix Malayalam,https://www.lyngsat.com/tvchannels/in/Raj-Musix-Malayalam.html
4140 VC,DVB-S28PSK288003/4,12,Raj Pariwar,,MPEG-4/SD,612,712 Hin,,,DVB-S2,28800,3/4,4140 V,,,,,Raj Pariwar,https://www.lyngsat.com/tvchannels/in/Raj-Pariwar.html
