Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL
3718 VC37-39,DVB-S28PSK120003/5,,Dunya Media Group,,,,5.5,,N Stanislav230416,DVB-S2,12000,3/5,3718 V,,37-39,,https://www.lyngsat.com/providers/pk/Dunya-Media-Group.html,,
3718 VC37-39,DVB-S28PSK120003/5,1,Dunya News,,MPEG-4/HD,101,102 Urd,,,DVB-S2,12000,3/5,3718 V,,37-39,,,Dunya News,https://www.lyngsat.com/tvchannels/pk/Dunya-News.html
3718 VC37-39,DVB-S28PSK120003/5,1,Dunya News,,MPEG-4/HD,101,102 Urd,,,DVB-S2,12000,3/5,3718 V,,37-39,,,Dunya News,https://www.lyngsat.com/tvchannels/pk/Dunya-News.html
3718 VC37-39,DVB-S28PSK120003/5,2,Lahore News,,MPEG-4/HD,201,202,,,DVB-S2,12000,3/5,3718 V,,37-39,,,Lahore News,https://www.lyngsat.com/tvchannels/pk/Lahore-News.html
3718 VC37-39,DVB-S28PSK120003/5,2,Lahore News,,MPEG-4/HD,201,202,,,DVB-S2,12000,3/5,3718 V,,37-39,,,Lahore News,https://www.lyngsat.com/tvchannels/pk/Lahore-News.html
3718 VC37-39,DVB-S28PSK120003/5,4,Dunya Entertainment,,MPEG-4/SD,401,402,,,DVB-S2,12000,3/5,3718 V,,37-39,,,Dunya Entertainment,https://www.lyngsat.com/tvchannels/pk/Dunya-Entertainment.html
3730 VC37-39,,,,,,,,,DX Bozóth240222,DVB-S2,12000,3/5,3730 V,,37-39,,,,
3740 VC37-39,DVB-S28PSK72003/5,,,,,,5.5,,DX Bozóth240218,DVB-S2,7200,3/5,3740 V,,37-39,,,,
3770 VC37-39,DVB-S28PSK77003/4,,,,1-1,,7.9,,DX Bozóth240130,DVB-S2,7700,3/4,3770 V,,37-39,,,,
3792 VC37-39,DVB-S28PSK40003/4,,,,,,7.9,BISS 1,DX Bozóth240130,DVB-S2,4000,3/4,3792 V,,37-39,BISS 1,,,
3834 HC37-39,DVB-S28PSK65003/4,,,,,,7.9,,DX Bozóth230318,DVB-S2,6500,3/4,3834 H,,37-39,,,,
4024 HC37-39,,,,,,,,,N Stanislav240302,DVB-S2,4800,3/4,4024 H,,37-39,,,,
4047 VC37-39,,,,,,,,,T.F.K240208,DVB-S2,3232,3/4,4047 V,,37-39,,,,
4064 VC37-39,DVB-S28PSK32005/6,,,,,,9.4,,DX Bozóth230318,DVB-S2,3200,5/6,4064 V,,37-39,,,,
4074 VC37-39,DVB-S28PSK61503/4,,,,0-0,,7.9,,DX Bozóth221021,DVB-S2,6150,3/4,4074 V,,37-39,,,,
4101 VC37-39,DVB-S28PSK28003/4,,,,.-.,,7.9,,DX Bozóth230526,DVB-S2,2800,3/4,4101 V,,37-39,,,,
4115 VC37-39,DVB-S28PSK48005/6,,,,1-1,,9.4,,DX Bozóth200618,DVB-S2,4800,5/6,4115 V,,37-39,,,,
4120 VC37-39,DVB-S28PSK24903/5,,,,65535-0,,5.5,,N Stanislav220409,DVB-S2,2490,3/5,4120 V,,37-39,,,,
4181 VC37-39,DVB-S28PSK50003/4,,,,65535-1,,7.9,,DX Bozóth230810,DVB-S2,5000,3/4,4181 V,,37-39,,,,
4186 VC37-39,,,,,,,,,N Stanislav240202,DVB-S2,5000,3/4,4186 V,,37-39,,,,
3740 VC37-39,DVB-S28PSK72003/5,1,92 News,,MPEG-4/HD,92,192,,,DVB-S2,7200,3/5,3740 V,,37-39,,,92 News,https://www.lyngsat.com/tvchannels/pk/92-News.html
3740 VC37-39,DVB-S28PSK72003/5,1,92 News,,MPEG-4/HD,92,192,,,DVB-S2,7200,3/5,3740 V,,37-39,,,92 News,https://www.lyngsat.com/tvchannels/pk/92-News.html
3740 VC37-39,DVB-S28PSK72003/5,2,11 News,,MPEG-4/SD,93,193,,,DVB-S2,7200,3/5,3740 V,,37-39,,,11 News,https://www.lyngsat.com/tvchannels/pk/11-News.html
3740 VC37-39,DVB-S28PSK72003/5,3,92 Entertainment,,MPEG-2/SD,94,194,,,DVB-S2,7200,3/5,3740 V,,37-39,,,92 Entertainment,https://www.lyngsat.com/tvchannels/pk/92-Entertainment.html
3745 VC37-39,DVB-S28PSK15005/6,1,9 News HD,,?-?MPEG-4/HD,33,9.4  34,,N Stanislav240306,DVB-S2,1500,5/6,3745 V,,37-39,,,,
