Sattelite,Provider,Country
NSS-9,American Forces Network,United States
Intelsat-18,American Forces Network,United States
Intelsat-18,Anuvu,United States
Intelsat-18,France TV,France
Eutelsat-172B,Walesi,Fiji
Eutelsat-172B,ABC NT,Australia
Eutelsat-172B,ABC WA,Australia
Eutelsat-172B,ABC Queensland,Australia
Eutelsat-172B,SBS WA,Australia
Eutelsat-172B,SBS Queensland,Australia
Horizons-3e,MySat,Australia
Intelsat-19,Warner Bros. Discovery,United States
Intelsat-19,Paramount International Networks,United States
Intelsat-19,ABS-CBN,Philippines
Intelsat-19,China Radio International,China
Intelsat-19,Intelsat,Luxembourg
Intelsat-19,NHK World Network,Japan
Intelsat-19,Pasifika TV,New Zealand
Intelsat-19,BBC World Service,United Kingdom
Intelsat-19,Nine Entertainment,Australia
Intelsat-19,EXRN Radio Network,United States
Intelsat-19,Telstra Broadcast Services,Australia
Optus-D2,ABC Sydney,Australia
Optus-D2,ABC Melbourne,Australia
Optus-D2,Freeview,New Zealand
Optus-D2,ABC NSW,Australia
Optus-D2,ABC SA,Australia
Optus-D2,ABC NT,Australia
Optus-D2,ABC WA,Australia
Optus-D2,ABC Victoria,Australia
Optus-D2,ABC Queensland,Australia
Optus-D2,SBS Victoria,Australia
Optus-D2,SBS WA,Australia
Optus-D2,SBS Tasmania,Australia
Optus-D2,SBS NSW,Australia
Optus-D2,SBS Queensland,Australia
Optus-D2,SBS SA,Australia
BRIsat,Bricast,
Nusantara-Satu,PSN,Indonesia
Express-AMU7,RTRS 1,Russia
Express-AMU7,RTRS,Russia
Express-AMU7,RTRS 2,Russia
Express-AM5,Arktik Telekom,Russia
Telstar-18-Vantage,GMA Network,Philippines
Telstar-18-Vantage,Solar Entertainment,Philippines
Telstar-18-Vantage,Zoe Broadcasting Network,Philippines
Telstar-18-Vantage,Viva Entertainment,Philippines
Telstar-18-Vantage,People's TV,Philippines
Telstar-18-Vantage,SpeedCast,Hong Kong
Telstar-18-Vantage,TV 5 Network,Philippines
Telstar-18-Vantage,Great Wall,China
Telstar-18-Vantage,APT,Hong Kong
Apstar-6C,VTV,Vietnam
Apstar-6C,CCTV,China
Apstar-6C,China National Radio,China
Apstar-6C,CEN TV,China
Vinasat-2,HTVC,Vietnam
LaoSat-1,MWD Digital TV,Myanmar
LaoSat-1,LaoSat,Laos
ChinaSat-6D,CCTV,China
ChinaSat-6D,Shanghai Media Group,China
ChinaSat-6D,Xizang TV,China
ChinaSat-6D,Xinjiang TV,China
JCSAT-4B,Sky PerfecTV!,Japan
AsiaSat-9,Chunghwa Telecom,Taiwan
AsiaSat-9,AsiaSat,Hong Kong
AsiaSat-9,Sydney Teleport Services,Australia
AsiaSat-9,MySat,Australia
Thaicom-4,Aora TV Satelit,Indonesia
Bangabandhu-1,Bangladesh Betar,Bangladesh
Bangabandhu-1,Bangladesh TV,Bangladesh
Bangabandhu-1,Sony Pictures Networks India,United StatesIndia
Bangabandhu-1,Zee Network,India
Telkom-3S,Metra TV,Indonesia
Koreasat-6,KBS,South Korea
ChinaSat-6E,CGTN,China
ChinaSat-6E,Shanghai Media Group,China
ChinaSat-6E,CCTV,China
ChinaSat-6E,Sichuan TV,China
ChinaSat-6E,JSBC,China
ChinaSat-6E,CETV,China
ChinaSat-6E,Nei Monggol TV,China
ChinaSat-6E,China National Radio,
Koreasat-5,CGN TV,South Korea
Koreasat-5A,American Forces Network,United States
Koreasat-5A,MediaCan,South Korea
SES-9,Club TV,Philippines
SES-9,InTech,Indonesia
Telkom-4,Telkomsat,Indonesia
Telkom-4,KG Media,Indonesia
Telkom-4,InTech,Indonesia
Telkom-4,Rodja TV,Indonesia
Telkom-4,Viva,Indonesia
Telkom-4,Surau TV,Indonesia
Telkom-4,TransMedia,Indonesia
Telkom-4,TVRI,Indonesia
Telkom-4,RRI,Indonesia
Telkom-4,RTTL,Timor Leste
Telkom-4,Emtek,Indonesia
Telkom-4,MNC Media,Indonesia
Telkom-4,Indosat Ooredoo Hutchison,Indonesia
Telkom-4,GMN,Timor Leste
Telkom-4,Media Group,Indonesia
AsiaSat-7,Sahara Samay,India
AsiaSat-7,Shanghai Media Group,China
AsiaSat-7,ABP,India
AsiaSat-7,Nepal TV,Nepal
AsiaSat-7,SS Creative Solutions,United Arab Emirates
AsiaSat-7,Turner International Asia,United States
AsiaSat-7,ARY Digital Network,Pakistan
AsiaSat-7,AsiaSat,Hong Kong
AsiaSat-7,Phoenix New Media,Hong Kong
AsiaSat-7,Sony Pictures Networks India,United StatesIndia
Express-AMU3,RTRS Yakutia,Russia
Express-AMU3,RTRS 1,Russia
Express-AMU3,RTRS,Russia
Express-AMU3,RTRS Vladivostok,Russia
Express-AMU3,RTRS Khabarovsk,Russia
Express-AMU3,RTRS 2,Russia
Express-AMU3,RTRS Blagoveshchensk,Russia
Express-AMU3,RTRS Chita,Russia
Express-AMU3,RSCC,Russia
ChinaSat-9B,CCTV,
AsiaSat-5,Macau Satellite TV,Macau
AsiaSat-5,EBU,Switzerland
AsiaSat-5,AsiaSat,Hong Kong
AsiaSat-5,STAR TV,Hong Kong
AsiaSat-5,Globecast,France
AsiaSat-5,BBC World Service,United Kingdom
AsiaSat-5,SETN,Taiwan
AsiaSat-5,TVBS News,Taiwan
G-Sat-9,BBS,Bhutan
Express-103,RSCC,Russia
Express-103,Russkiy Mir,Russia
SES-12,Freesat,Sri Lanka
G-Sat-15,E-Vidya,India
G-Sat-15,DD Free Dish,India
G-Sat-15,VANDE Gujarat,India
G-Sat-15,Swayam Prabha,India
G-Sat-15,Digi Shala,India
G-Sat-17,DD Meghalaya,India
G-Sat-17,DD Mizoram,India
G-Sat-17,DD Assam,India
G-Sat-17,DD Assamese,India
G-Sat-17,Doordarshan,India
G-Sat-17,DD Bangla,India
G-Sat-17,DD Tamil,India
G-Sat-17,DD Malayalam,India
G-Sat-17,DD Punjabi,India
G-Sat-17,DD Girnar,India
G-Sat-17,DD Odia,India
G-Sat-17,DD Himachal Pradesh,India
G-Sat-17,ITV Network,India
G-Sat-17,DD Rajasthan,India
G-Sat-17,DD Madhya Pradesh,India
G-Sat-17,DD Uttar Pradesh,India
ChinaSat-9,CCTV,China
Measat-3d,RTM Sabah,Malaysia
Measat-3d,RTM Sarawak,Malaysia
Measat-3d,RTM,Malaysia
Measat-3d,Manila Broadcasting Company,Philippines
Measat-3d,Globecast,France
Measat-3d,KC Global Media Entertainment,United States
Measat-3a,Encompass,United States
Measat-3a,Planetcast,India
Measat-3a,IKO MG,Italy
Measat-3a,Astro,Malaysia
Yamal-401,RTRS 1,Russia
Yamal-401,RTRS,Russia
Yamal-401,Gazprom Space Systems,Russia
Yamal-401,RTRS Krasnoyarsk,Russia
Yamal-401,RTRS Tomsk,Russia
Yamal-401,RTRS 2,Russia
Yamal-401,RTRS Novosibirsk,Russia
Yamal-401,RTRS Hakasiya,Russia
Yamal-401,RTRS Altai,Russia
Yamal-401,RTRS Omsk,Russia
Yamal-401,RTRS Gornij Altai,Russia
Yamal-401,RTRS Tyva,Russia
Yamal-401,RTRS Irkutsk,Russia
Yamal-401,RTRS Kuzbass,Russia
Yamal-401,RTRS Ulan-Ude,Russia
Yamal-401,RuSat,Russia
Yamal-401,Kuzbass 1,Russia
ST-2,Chunghwa Telecom,Taiwan
ST-2,TAS,Taiwan
ST-2,NER Taipei,Taiwan
ChinaSat-12,Voice of Strait,China
ChinaSat-12,Raj TV Network,India
G-Sat-10,Gyandarshan 1,India
G-Sat-10,Kanak Teleport,India
G-Sat-10,Doordarshan,India
G-Sat-10,AIR,India
G-Sat-10,AIR Vijayawada,India
G-Sat-30,ETV Network,India
G-Sat-30,Indiasign,India
G-Sat-30,SVBC,India
G-Sat-30,Planetcast,India
G-Sat-30,Kasthuri TV,India
G-Sat-30,Mega TV Network,India
G-Sat-30,Vanitha TV,India
G-Sat-30,Brahmaputra Tele Productions,India
G-Sat-30,Mh One TV Network,India
G-Sat-30,Zee Network,India
G-Sat-30,Lamhas,India
G-Sat-30,Sun 18 Media Services,India
G-Sat-30,BBS,Bhutan
G-Sat-30,Manorama News,India
Thaicom-6,MRTV,Myanmar
Thaicom-6,Thaicom,Thailand
Thaicom-6,PSI,Thailand
Thaicom-6,CAT Telecom,Thailand
Thaicom-6,NBT TV,Thailand
Thaicom-6,Radio Thailand,Thailand
Thaicom-6,DLTV,Thailand
Apstar-7,Kantipur Media Group,Nepal
Apstar-7,TeleNest,Pakistan
Apstar-7,APT,Hong Kong
Apstar-7,SES,Luxembourg
Apstar-7,Trinity Broadcasting,United States
Apstar-7,GMA Network,Philippines
Apstar-7,Bol,Pakistan
Apstar-7,HBO Asia,United States
Apstar-7,A1 Telekom Austria,Austria
Apstar-7,PSM,Maldives
Apstar-7,STAR TV,Hong Kong
Apstar-7,TAS,Taiwan
ABS-2,MYTV Broadcasting,Malaysia
ABS-2,TAP DMV,Philippines
ABS-2,BFBS,United Kingdom
ABS-2A,STV,Russia
ABS-2A,GeoTelecommunications,Russia
ABS-2A,RSCC,Russia
G-Sat-18,Doordarshan,India
G-Sat-18,AIR,India
G-Sat-18,Utkarsh Channel,India
G-Sat-18,KITE VICTERS,India
Intelsat-22,KTN,Kenya
Intelsat-22,IPP Media,Tanzania
Intelsat-22,TBC,Tanzania
Eutelsat-70B,TRBNA,Armenia
Eutelsat-70B,Voice of America,United States
Eutelsat-70B,M-Three satcom,Italy
Intelsat-20,Warner Bros. Discovery,United States
Intelsat-20,Aastha TV,India
Intelsat-20,Indo Teleports,India
Intelsat-20,Viacom 18,India
Intelsat-20,Sports Inspires Life,India
Intelsat-20,ABS-CBN,Philippines
Intelsat-20,Indiasign,India
Intelsat-20,Sony Pictures Networks India,United StatesIndia
Intelsat-20,India TV (India),India
Intelsat-20,The Times Group,India
Intelsat-20,Zee Network,India
Intelsat-20,Sun 18 Media Services,India
Intelsat-20,Lamhas,India
Intelsat-20,Zee Zest,India
Intelsat-20,Network 18,India
Intelsat-20,Intelsat,Luxembourg
Intelsat-20,Sanskar TV,India
Intelsat-20,China Radio International,China
Intelsat-20,NHK World Network,Japan
Intelsat-20,Jaya Network,India
Intelsat-20,Du,United Arab Emirates
Intelsat-20,India Today Group,India
Intelsat-20,Planetcast,India
Intelsat-20,Sentech,South Africa
Intelsat-20,Satelio,Germany
Intelsat-20,ViewMedia,United Kingdom
Intelsat-20,IRIB,Iran
Intelsat-17,TV5Monde,France
Intelsat-17,Tata Communications,India
Intelsat-17,Indiasign,India
Intelsat-17,Sun TV Network,India
Intelsat-17,New Delhi TV,India
Intelsat-17,Indo Teleports,India
Intelsat-17,Encompass,United States
Intelsat-17,Planetcast,India
Intelsat-17,Connecto TV,Russia
Intelsat-39,RMS Radio,Kenya
Intelsat-39,Taban TV,Iran
Intelsat-39,Semnan TV,Iran
Intelsat-39,Zanjan TV,Iran
Intelsat-39,Jahanbin TV,Iran
Intelsat-39,Isfahan TV,Iran
Intelsat-39,Azarbayjan-e Gharbi TV,Iran
Intelsat-39,IRIB,Iran
Intelsat-33e,ZNBC,Zambia
Intelsat-33e,Alghad FM,Iraq
NSS-12,BFBS,United Kingdom
NSS-12,Alhurra TV,United States
NSS-12,VoA,United States
NSS-12,American Forces Network,United States
NSS-12,Anuvu,United States
NSS-12,Mediavision,United Arab Emirates
NSS-12,EthioSat,Ethiopia
