Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL
4080 Vtp 19North America C0,DVB-S292707/8,108,Vivid TV,,MPEG-2/SD,3080,3081 Eng,PowerVu,,
4080 Vtp 19North America C0,DVB-S292707/8,112,Real Extreme,,MPEG-2/SD,3120,3121 Eng,PowerVu,,
4100 Htp 20North America C0,DVB-S28PSK300005/6,1,Universal Living Faith Network,,MPEG-4/HD,256,25. Eng,,,
4100 Htp 20North America C0,DVB-S28PSK300005/6,2,Canal 13i,,MPEG-4/HD,200,210 Spa,PowerVu,,
4100 Htp 20North America C0,DVB-S28PSK300005/6,24,TyC Sports Estados Unidos,,MPEG-4/HD,4004,4005 Spa,PowerVu,,
4100 Htp 20North America C0,DVB-S28PSK300005/6,37,TN,,MPEG-4/HD,300,310 Spa,PowerVu,,
4100 Htp 20North America C0,DVB-S28PSK300005/6,201,BBC News Americas,,MPEG-4/HD,2160,2120 Eng,PowerVu,,
4100 Htp 20North America C0,DVB-S28PSK300005/6,208,Caracol TV Internacional,,MPEG-2/SD,2860,2822 Spa,PowerVu,,
4100 Htp 20North America C0,DVB-S28PSK300005/6,211,Mega TV (USA),,MPEG-2/SD,2760,2720 Spa2724 Spa,PowerVu,,
4100 Htp 20North America C0,DVB-S28PSK300005/6,250,TV Japan,,MPEG-4/HD,2560,2520 Jpn,PowerVu,,
4100 Htp 20North America C0,DVB-S28PSK300005/6,1001,[Intelsat test card],,MPEG-4/HD,1000,1001,,,
4140 Htp 22North America C0,DVB-S28PSK300003/4,101,Cowboy Channel,,MPEG-4/HD,100,101 Eng,PowerVu,,
4140 Htp 22North America C0,DVB-S28PSK300003/4,102,Cowboy Channel,,MPEG-2/SD,200,201 Eng,PowerVu,,
4140 Htp 22North America C0,DVB-S28PSK300003/4,103,RFD-TV,,MPEG-4/HD,300,301 Eng,PowerVu,,
4140 Htp 22North America C0,DVB-S28PSK300003/4,104,MavTV,,MPEG-4/HD,400,401 Eng,PowerVu,,
4140 Htp 22North America C0,DVB-S28PSK300003/4,105,America's Value Channel,,MPEG-4/SD,500,501 Eng,,,
4140 Htp 22North America C0,DVB-S28PSK300003/4,106,YTA,,MPEG-4/HD,600,601 Eng,,,
4140 Htp 22North America C0,DVB-S28PSK300003/4,107,Newsmax TV,,MPEG-4/HD,700,701 Eng,PowerVu,,
4140 Htp 22North America C0,DVB-S28PSK300003/4,108,Cowgirl Channel,,MPEG-4/HD,800,802 Eng,,,
4160 Vtp 23North America C0,DVB-S28PSK300005/6,,Encompass,,,,9.4,Digicipher,Hyper231221,https://www.lyngsat.com/providers/us/Encompass.html
4160 Vtp 23North America C0,DVB-S28PSK300005/6,1,Justice Central TV,,MPEG-4/HD,28,29 Eng,Digicipher,,
4160 Vtp 23North America C0,DVB-S28PSK300005/6,2,Comedy TV (USA),,MPEG-4/HD,33,34 Eng,Digicipher,,
4160 Vtp 23North America C0,DVB-S28PSK300005/6,3,Recipe TV,,MPEG-4/HD,49,50 Eng,Digicipher,,
4160 Vtp 23North America C0,DVB-S28PSK300005/6,4,Cars TV,,MPEG-4/HD,65,66 Eng,Digicipher,,
4160 Vtp 23North America C0,DVB-S28PSK300005/6,6,My Destination TV,,MPEG-4/HD,97,98 Eng,Digicipher,,
4160 Vtp 23North America C0,DVB-S28PSK300005/6,7,Es TV,,MPEG-4/HD,113,114 Eng,Digicipher,,
4160 Vtp 23North America C0,DVB-S28PSK300005/6,8,Fido TV,,MPEG-4/HD,1200,1201 Eng,Digicipher,,
4160 Vtp 23North America C0,DVB-S28PSK300005/6,9,FM,,MPEG-4/HD,20,21 Eng,Digicipher,,
4160 Vtp 23North America C0,DVB-S28PSK300005/6,11,Motortrend,,MPEG-4/HD,177,17. Eng,Digicipher,,
4180 Htp 24North America C0,DVB-S28PSK300003/4,8,Motortrend,,MPEG-4/HD,129,130 Eng,Digicipher,,
4180 Htp 24North America C0,DVB-S28PSK300003/4,,Warner Bros. Discovery,,,,7.9,Digicipher,Renuart201103,https://www.lyngsat.com/providers/us/Warner-Bros-Discovery.html
4180 Htp 24North America C0,DVB-S28PSK300003/4,1,Hogar HGTV,,MPEG-4/HD,17,18 Eng,Digicipher,,
4180 Htp 24North America C0,DVB-S28PSK300003/4,3,Discovery Family,,MPEG-4/HD,49,50 Eng,Digicipher,,
4180 Htp 24North America C0,DVB-S28PSK300003/4,4,Oprah Winfrey Network East,,MPEG-4/HD,65,66 Eng,Digicipher,,
4180 Htp 24North America C0,DVB-S28PSK300003/4,5,Discovery Life Channel,,MPEG-4/HD,81,82 Eng,Digicipher,,
4180 Htp 24North America C0,DVB-S28PSK300003/4,7,TLC West,,MPEG-4/HD,113,114 Eng 115 Spa,Digicipher,,
4180 Htp 24North America C0,DVB-S28PSK300003/4,9,Animal Planet West,,MPEG-4/HD,145,146 Eng,Digicipher,,
4180 Htp 24North America C0,DVB-S28PSK300003/4,10,Oprah Winfrey Network West,,MPEG-4/HD,161,162 Eng,Digicipher,,
