Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL
11996 Vtp EA15Sub-Sahara Africa0,DVB-S28PSK275002/3,,DSTV Africa,,878-65410,,6.6,Irdeto,Anonymous230430,
12015 Htp EA16Sub-Sahara Africa0,DVB-S275003/4,,DSTV Africa,,878-65403,,5.5,Irdeto,Anonymous240114,
12034 Vtp EA17Sub-Sahara Africa0,DVB-S275003/4,,DSTV Africa,,878-65413,,5.5,Irdeto,Anonymous231115,
12054 Htp EA18Sub-Sahara Africa0,DVB-S275003/4,,DSTV Africa,,878-65402,,5.5,Irdeto,Anonymous240114,
12073 Vtp EA19Sub-Sahara Africa0,DVB-S275003/4,,DSTV Africa,,878-65411,,5.5,Irdeto,Anonymous231115,
12245 Htp EA28Sub-Sahara Africa0,DVB-S275003/4,,DSTV Africa,,878-65401,,5.5,Irdeto,Anonymous240211,
11495 Vtp D2Eurasia46-47,,,,,,,,,N Stanislav240127,
12564 Htp H1Eurasia46-47,DVB-S28PSK258333/5,,,,1-55,,5.5,Irdeto,N Stanislav221006,
11542 Vtp D4Eurasia46-47,DVB-S28PSK57502/3,,Iraqi mux,,65535-1,,6.6,,Janlakomcik231229,
11542 Vtp D4Eurasia46-47,DVB-S28PSK57502/3,1,Karbala TV,,MPEG-4/HD,308,2.6 Ara,,,
11542 Vtp D4Eurasia46-47,DVB-S28PSK57502/3,2,Alquran,,MPEG-4/HD,307,257 Ara,,,
11542 Vtp D4Eurasia46-47,DVB-S28PSK57502/3,3,Al-Rawdah Al-Hussainiya Holy Radio,,,,258 Ara,,,
11586 Htp D3Eurasia46-47,DVB-S21703/4,1,Anbar TV Channel,,1-1MPEG-2/SD,512,5.54112 Ara,,Marcel 2190902,
11593 Vtp D4Eurasia46-47,DVB-S28PSK25003/4,1,Iraq 24,,65535-1MPEG-4/HD,33,7.9  34 Ara,,N Stanislav230415,
11593 Vtp G4SAUSouth Africa0,DVB-S300005/6,90,[Ods VOD test card],,MPEG-2/SD,1999,1998,,,
11804 Vtp EA5Sub-Sahara Africa0,DVB-S28PSK275002/3,1724,[Ods VOD test card],,MPEG-4/HD,906,905 Eng,,,
11597 Htp D3Eurasia46-47,DVB-S28PSK17505/6,1,Alyaum Channel,,1-1MPEG-4/HD,512,9.44112 Ara,,Z Viglidán181103,
11650 Vtp G6Eurasia46-47,DVB-S2QPSK100003/4,,Global Link,,4-11,,4.0,,M Al-TaieJanlakomcik231224,https://www.lyngsat.com/providers/ge/Global-Link.html
11650 Vtp G6Eurasia46-47,DVB-S2QPSK100003/4,5,Global Link promo,,MPEG-2/HD,91,92 Geo,,,
11650 Vtp G6Eurasia46-47,DVB-S2QPSK100003/4,10,GMS TV,,HEVC/HD,101,102 Geo,,,
11662 Vtp G6Eurasia46-47,DVB-S28PSK23003/4,1,Al Mayadeen TV,,65535-1MPEG-2/SD,308,7.9 256 Ara,,Marcel 2240123,
11678 Vtp G6Eurasia46-47,DVB-S28PSK32005/6,1000,Rûdaw,,1-1MPEG-4/HD,1100,9.41201 Kur,,N Stanislav220508,
11678 Vtp G6Eurasia46-47,DVB-S28PSK32005/6,1000,Rûdaw Radio,,,,1202 Kur,,,
11694 Htp D5Eurasia,DVB-S28PSK32002/3,,(Telemedia feeds),,,,,,Z Viglidán200210,
11727 Ltp ER1Russia0,DVB-S28PSK275003/4,,Trikolor,,253-1,,7.9,ExsetDRECryptDREGuard,S Günes231121,
11766 Ltp ER3Russia0,DVB-S28PSK275003/4,,Trikolor,,253-3,,7.9,ExsetDRECryptDREGuard,S Günes231121,
11804 Ltp ER5Russia0,DVB-S28PSK275003/4,,Trikolor,,253-5,,7.9,ExsetDRECryptDREGuard,N Stanislav231011,
11843 Ltp ER7Russia0,DVB-S28PSK275003/4,,Trikolor,,253-7,,7.9,ExsetDRECryptDREGuard,N Stanislav231011,
11881 Ltp ER9Russia0,DVB-S28PSK275003/4,,Trikolor,,253-9,,7.9,ExsetDRECryptDREGuard,N Stanislav231011,
11919 Ltp ER11Russia0,DVB-S28PSK275003/4,,Trikolor,,253-11,,7.9,ExsetDRECryptDREGuard,N Stanislav230930,
11958 Ltp ER13Russia0,DVB-S28PSK275003/4,,Trikolor,,253-13,,7.9,ExsetDRECryptDREGuard,S Günes231121,
