Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL
11043 VNorth Sea,DVB-S2QPSK441009/10,0,CBBC (07-19),,MPEG-4/HD,7001,7002 Eng,BISS,,11043 V,,,BISS,,CBBC (07-19),https://www.lyngsat.com/tvchannels/uk/CBBC.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,CBBC (07-19),,MPEG-4/HD,7001,7002 Eng,BISS,,11043 V,,,BISS,,CBBC (07-19),https://www.lyngsat.com/tvchannels/uk/CBBC.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,BBC Three (19-04),,MPEG-2/SD,301,302 Eng,BISS,,11043 V,,,BISS,,BBC Three (19-04),https://www.lyngsat.com/tvchannels/uk/BBC-Three.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,BBC Three (19-04),,MPEG-2/SD,301,302 Eng,BISS,,11043 V,,,BISS,,BBC Three (19-04),https://www.lyngsat.com/tvchannels/uk/BBC-Three.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,BBC Three (19-04),,MPEG-4/HD,7001,70.2 Eng,BISS,,11043 V,,,BISS,,BBC Three (19-04),https://www.lyngsat.com/tvchannels/uk/BBC-Three.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,BBC Three (19-04),,MPEG-4/HD,7001,70.2 Eng,BISS,,11043 V,,,BISS,,BBC Three (19-04),https://www.lyngsat.com/tvchannels/uk/BBC-Three.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,CBeebies UK (06-19),,MPEG-2/SD,401,402 Eng,BISS,,11043 V,,,BISS,,CBeebies UK (06-19),https://www.lyngsat.com/tvchannels/uk/CBeebies-UK.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,CBeebies UK (06-19),,MPEG-2/SD,401,402 Eng,BISS,,11043 V,,,BISS,,CBeebies UK (06-19),https://www.lyngsat.com/tvchannels/uk/CBeebies-UK.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,CBeebies UK (06-19),,MPEG-4/HD,6701,6702 Eng,BISS,,11043 V,,,BISS,,CBeebies UK (06-19),https://www.lyngsat.com/tvchannels/uk/CBeebies-UK.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,CBeebies UK (06-19),,MPEG-4/HD,6701,6702 Eng,BISS,,11043 V,,,BISS,,CBeebies UK (06-19),https://www.lyngsat.com/tvchannels/uk/CBeebies-UK.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,BBC Four (19-04),,MPEG-2/SD,401,402 Eng,BISS,,11043 V,,,BISS,,BBC Four (19-04),https://www.lyngsat.com/tvchannels/uk/BBC-Four.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,BBC News UK,,MPEG-2/SD,501,502 Eng,BISS,,11043 V,,,BISS,,BBC News UK,https://www.lyngsat.com/tvchannels/uk/BBC-News-UK.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,BBC Parliament,,MPEG-2/SD,601,602 Eng,BISS,,11043 V,,,BISS,,BBC Parliament,https://www.lyngsat.com/tvchannels/uk/BBC-Parliament.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,BBC Red Button 1,,MPEG-2/SD,901,951 Eng,BISS,,11043 V,,,BISS,,BBC Red Button 1,https://www.lyngsat.com/tvchannels/uk/BBC-Red-Button-1.html
