Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL
10713 Htp 1East MENA,DVB-S231245/6,,(feeds),,,,,,Stanley_cassidy200806,10713 H,tp 1,,,,,
10718 Htp 1East MENA,DVB-S231245/6,,(feeds),,,,,,Stanley_cassidy200806,10718 H,tp 1,,,,,
10725 Htp 1East MENA,DVB-S260005/6,,(feeds),,,,,,Stanley_cassidy200806,10725 H,tp 1,,,,,
10735 Htp 1East MENA,DVB-S260005/6,,(feeds),,,,,,Stanley_cassidy200806,10735 H,tp 1,,,,,
10742 Htp 1East MENA,DVB-S28PSK31245/6,,(feeds),,,,,,DX Bozóth221127,10742 H,tp 1,,,,,
10770 Htp 1East MENA,DVB-S28PSK16502/3,,(feeds),,,,,,DX Bozóth120503,10770 H,tp 1,,,,,
10805 Htp 3East MENA,DVB-S28PSK30005/6,,(feeds),,,,,,N Stanislav221126,10805 H,tp 3,,,,,
10808 Htp 3East MENA,DVB-S28PSK30005/6,,(feeds),,,,,,N Stanislav221126,10808 H,tp 3,,,,,
10813 Htp 3East MENA,DVB-S28PSK30005/6,,(feeds),,,,,,DX Bozóth210821,10813 H,tp 3,,,,,
10816 Htp 3East MENA,DVB-S28PSK30005/6,,(feeds),,,,,,N Stanislav221126,10816 H,tp 3,,,,,
10819 Htp 3East MENA,DVB-S28PSK30005/6,,(feeds),,,,,,N Stanislav221126,10819 H,tp 3,,,,,
10882 Htp 5East MENA,DVB-S28PSK31255/6,,(feeds),,,,,,N Stanislav231217,10882 H,tp 5,,,,,
10886 Htp 5East MENA,DVB-S28PSK31255/6,,(feeds),,,,,,N Stanislav231217,10886 H,tp 5,,,,,
10894 Htp 5East MENA,DVB-S28PSK31255/6,,(feeds),,,,,,N Stanislav231217,10894 H,tp 5,,,,,
10898 Htp 5East MENA,DVB-S28PSK31255/6,,(feeds),,,,,,N Stanislav231217,10898 H,tp 5,,,,,
10902 Htp 5East MENA,DVB-S28PSK31255/6,,(feeds),,,,,,N Stanislav231217,10902 H,tp 5,,,,,
10906 Htp 5East MENA,DVB-S28PSK31255/6,,(feeds),,,,,,N Stanislav231217,10906 H,tp 5,,,,,
10938 Htp 7East MENA,DVB-S28PSK31255/6,,(feeds),,,,,,N Stanislav230826,10938 H,tp 7,,,,,
10942 Htp 7East MENA,DVB-S28PSK31255/6,,(feeds),,,,,,DX Bozóth210506,10942 H,tp 7,,,,,
12510 Vtp 10MENA,DVB-S28PSK22208/9,,(feeds),,,,,,DX Bozóth230215,12510 V,tp 10,,,,,
