Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL
3706 Htp 2CWest hemi,DVB-S275003/4,,(feeds),,,,,,Stanley_cassidy200823,3706 H,tp 2C,,,,,
3736 Htp 2CWest hemi,DVB-S272003/4,,(feeds),,,,,,Stanley_cassidy200905,3736 H,tp 2C,,,,,
3808 Htp 6CWest hemi,DVB-S260003/4,,(feeds),,,,,,Stanley_cassidy200830,3808 H,tp 6C,,,,,
3812 Htp 6CWest hemi,DVB-S28PSK20003/4,,(feeds),,,,,,Jonali201104,3812 H,tp 6C,,,,,
3817 Htp 6CWest hemi,DVB-S28PSK20003/4,,(feeds),,,,,,Jonali201103,3817 H,tp 6C,,,,,
4000 Vtp 15CWest hemi0,DVB-S28PSK300005/6,,(feeds),,,225,226,Digicipher,,4000 V,tp 15C,0,Digicipher,,,
4000 Vtp 15CWest hemi0,DVB-S28PSK300005/6,,(feeds),,,241,24.,Digicipher,,4000 V,tp 15C,0,Digicipher,,,
4080 Vtp 19CWest hemi0,DVB-S28PSK300005/6,1001,(feeds),,,1000,1001,Irdeto,,4080 V,tp 19C,0,Irdeto,,,
3720 Vtp 1CWest hemi0,DVB-S28PSK300008/9,,,,1-301,,10.7,PowerVu,ML231103,3720 V,tp 1C,0,PowerVu,,,
3760 Htp 4CWest hemi0,DVB-S28PSK300005/6,,,,,,9.4,Digicipher,Mike 4221129,3760 H,tp 4C,0,Digicipher,,,
3791 Htp 6CWest hemi0,,,,,,,,,N Stanislav240317,3791 H,tp 6C,0,,,,
3798 Htp 6CWest hemi0,,,,,,,,,N Stanislav240317,3798 H,tp 6C,0,,,,
4000 Vtp 15CWest hemi0,DVB-S28PSK300005/6,,,,?-4,,9.4,Digicipher,Mike 4210608,4000 V,tp 15C,0,Digicipher,,,
4040 Htp 18CWest hemi0,DVB-S28PSK300005/6,,,,1-101,,9.4,PowerVu,N Stanislav231017,4040 H,tp 18C,0,PowerVu,,,
4080 Vtp 19CWest hemi0,DVB-S28PSK300005/6,,,,5003-102,,9.4,,ML231114,4080 V,tp 19C,0,,,,
3720 Vtp 1CWest hemi0,DVB-S28PSK300008/9,121,Cinecanal Oeste,,MPEG-4/HD,1120,1122 Spa,PowerVu,,3720 V,tp 1C,0,PowerVu,,Cinecanal Oeste,https://www.lyngsat.com/tvchannels/us/Cinecanal-Oeste.html
3720 Vtp 1CWest hemi0,DVB-S28PSK300008/9,122,Star Channel Brasil,,MPEG-4/HD,1110,1112 Por,PowerVu,,3720 V,tp 1C,0,PowerVu,,Star Channel Brasil,https://www.lyngsat.com/tvchannels/us/Star-Channel-Brasil.html
3720 Vtp 1CWest hemi0,DVB-S28PSK300008/9,123,Cinecanal Brasil,,MPEG-4/HD,4130,4132 Por,PowerVu,,3720 V,tp 1C,0,PowerVu,,Cinecanal Brasil,https://www.lyngsat.com/tvchannels/us/Cinecanal-Brasil.html
3720 Vtp 1CWest hemi0,DVB-S28PSK300008/9,124,FX Brasil,,MPEG-4/HD,1230,1232 Por,PowerVu,,3720 V,tp 1C,0,PowerVu,,FX Brasil,https://www.lyngsat.com/tvchannels/us/FX-Brasil.html
3720 Vtp 1CWest hemi0,DVB-S28PSK300008/9,125,National Geographic Brasil,,MPEG-4/HD,4930,4932 Por,PowerVu,,3720 V,tp 1C,0,PowerVu,,National Geographic Brasil,https://www.lyngsat.com/tvchannels/us/National-Geographic-Brasil.html
3720 Vtp 1CWest hemi0,DVB-S28PSK300008/9,300,Baby TV Latin America,,MPEG-4/SD,3260,3220 Spa3222 Por3224 Spa3226 Por,PowerVu,,3720 V,tp 1C,0,PowerVu,,Baby TV Latin America,https://www.lyngsat.com/tvchannels/uk/Baby-TV-Latin-America.html
3720 Vtp 1CWest hemi0,DVB-S28PSK300008/9,370,Disney Channel México,,MPEG-4/HD,1240,1241 Spa1242 Eng,PowerVu,,3720 V,tp 1C,0,PowerVu,,Disney Channel México,https://www.lyngsat.com/tvchannels/us/Disney-Channel-Mexico.html
