Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL
4140 Vtp 22North America C0,DVB-S28PSK342863/4,55,Bally Sports West,,HEVC/HD,510,500 Eng,PowerVu,,4140 V,tp 22,0,PowerVu,,Bally Sports West,https://www.lyngsat.com/tvchannels/us/Bally-Sports-West.html
4140 Vtp 22North America C0,DVB-S28PSK342863/4,56,Bally Sports San Diego,,HEVC/HD,610,600 Eng,PowerVu,,4140 V,tp 22,0,PowerVu,,Bally Sports San Diego,https://www.lyngsat.com/tvchannels/us/Bally-Sports-San-Diego.html
4140 Vtp 22North America C0,DVB-S28PSK342863/4,57,Bally Sports Alternate,,HEVC/HD,610,600 Eng,PowerVu,,4140 V,tp 22,0,PowerVu,,Bally Sports Alternate,https://www.lyngsat.com/tvchannels/us/Bally-Sports-Alternate.html
4140 Vtp 22North America C0,DVB-S28PSK342863/4,58,Fox College Sports Central,,HEVC/HD,810,800 Eng,PowerVu,,4140 V,tp 22,0,PowerVu,,Fox College Sports Central,https://www.lyngsat.com/tvchannels/us/Fox-College-Sports-Central.html
4140 Vtp 22North America C0,DVB-S28PSK342863/4,59,Bally Sports Southwest,,HEVC/HD,910,970 Eng,PowerVu,,4140 V,tp 22,0,PowerVu,,Bally Sports Southwest,https://www.lyngsat.com/tvchannels/us/Bally-Sports-Southwest.html
4140 Vtp 22North America C0,DVB-S28PSK342863/4,60,Bally Sports Arizona,,HEVC/HD,1010,1000 Eng,PowerVu,,4140 V,tp 22,0,PowerVu,,Bally Sports Arizona,https://www.lyngsat.com/tvchannels/us/Bally-Sports-Arizona.html
4140 Vtp 22North America C0,DVB-S28PSK342863/4,61,Tennis Channel (USA),,HEVC/HD,1110,1100 Eng,PowerVu,,4140 V,tp 22,0,PowerVu,,Tennis Channel (USA),https://www.lyngsat.com/tvchannels/us/Tennis-Channel.html
4140 Vtp 22North America C0,DVB-S28PSK342863/4,62,Fox College Sports Pacific,,HEVC/HD,1210,1200 Eng,PowerVu,,4140 V,tp 22,0,PowerVu,,Fox College Sports Pacific,https://www.lyngsat.com/tvchannels/us/Fox-College-Sports-Pacific.html
4150 Htp 23North America C0,DVB-S119363/4,,EWTN,,,,5.5,,Montana Satelite221107,4150 H,tp 23,0,,https://www.lyngsat.com/providers/us/EWTN.html,,
4150 Htp 23North America C0,DVB-S119363/4,,EWTN,,,,5.5,,Montana Satelite221107,4150 H,tp 23,0,,https://www.lyngsat.com/providers/us/EWTN.html,,
4168 Htp 23North America C0,DVB-S28PSK163031/2,,EWTN,,,,,,Montana Satelite221107,4168 H,tp 23,0,,https://www.lyngsat.com/providers/us/EWTN.html,,
4168 Htp 23North America C0,DVB-S28PSK163031/2,,EWTN,,,,,,Montana Satelite221107,4168 H,tp 23,0,,https://www.lyngsat.com/providers/us/EWTN.html,,
4150 Htp 23North America C0,DVB-S119363/4,11,EWTN US,,MPEG-2/SD,1100,1001 Eng,,,4150 H,tp 23,0,,,EWTN US,https://www.lyngsat.com/tvchannels/us/EWTN-US.html
4150 Htp 23North America C0,DVB-S119363/4,11,EWTN US,,MPEG-2/SD,1100,1001 Eng,,,4150 H,tp 23,0,,,EWTN US,https://www.lyngsat.com/tvchannels/us/EWTN-US.html
4168 Htp 23North America C0,DVB-S28PSK163031/2,91,EWTN US,,MPEG-4/HD,8100,8101 Eng8102 Eng,,,4168 H,tp 23,0,,,EWTN US,https://www.lyngsat.com/tvchannels/us/EWTN-US.html
4168 Htp 23North America C0,DVB-S28PSK163031/2,91,EWTN US,,MPEG-4/HD,8100,8101 Eng8102 Eng,,,4168 H,tp 23,0,,,EWTN US,https://www.lyngsat.com/tvchannels/us/EWTN-US.html
