Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL
10975 Htp 2KAfrica Ku,DVB-S2QPSK300009/10,22,Luanda Antena Comercial,,,,212 Por,,,10975 H,tp 2K,,,,Luanda Antena Comercial,https://www.lyngsat.com/radiochannels/ao/Luanda-Antena-Comercial.html
10975 Htp 2KAfrica Ku,DVB-S2QPSK300009/10,23,FM Estéreo,,,,213 Por,,,10975 H,tp 2K,,,,FM Estéreo,https://www.lyngsat.com/radiochannels/ao/FM-Estereo.html
10975 Htp 2KAfrica Ku,DVB-S2QPSK300009/10,24,Rádio Ecclesia,,,,214 Por,,,10975 H,tp 2K,,,,Rádio Ecclesia,https://www.lyngsat.com/radiochannels/ao/Radio-Ecclesia.html
10975 Htp 2KAfrica Ku,DVB-S2QPSK300009/10,24,Rádio Ecclesia,,,,214 Por,,,10975 H,tp 2K,,,,Rádio Ecclesia,https://www.lyngsat.com/radiochannels/ao/Radio-Ecclesia.html
10975 Htp 2KAfrica Ku,DVB-S2QPSK300009/10,25,Rádio Mais,,,,215 Por,,,10975 H,tp 2K,,,,Rádio Mais,https://www.lyngsat.com/radiochannels/ao/Radio-Mais.html
10975 Htp 2KAfrica Ku,DVB-S2QPSK300009/10,25,Rádio Mais,,,,215 Por,,,10975 H,tp 2K,,,,Rádio Mais,https://www.lyngsat.com/radiochannels/ao/Radio-Mais.html
10975 Htp 2KAfrica Ku,DVB-S2QPSK300009/10,26,Rádio Luanda,,,,216 Por,,,10975 H,tp 2K,,,,Rádio Luanda,https://www.lyngsat.com/radiochannels/ao/Radio-Luanda.html
10975 Htp 2KAfrica Ku,DVB-S2QPSK300009/10,26,Rádio Luanda,,,,216 Por,,,10975 H,tp 2K,,,,Rádio Luanda,https://www.lyngsat.com/radiochannels/ao/Radio-Luanda.html
10975 Htp 2KAfrica Ku,DVB-S2QPSK300009/10,27,Ngola Yetu,,,,217 Por,,,10975 H,tp 2K,,,,Ngola Yetu,https://www.lyngsat.com/radiochannels/ao/Ngola-Yetu.html
10975 Htp 2KAfrica Ku,DVB-S2QPSK300009/10,27,Ngola Yetu,,,,217 Por,,,10975 H,tp 2K,,,,Ngola Yetu,https://www.lyngsat.com/radiochannels/ao/Ngola-Yetu.html
10975 Htp 2KAfrica Ku,DVB-S2QPSK300009/10,28,Rádio Viana,,,,218 Por,,,10975 H,tp 2K,,,,Rádio Viana,https://www.lyngsat.com/radiochannels/ao/Radio-Viana.html
10975 Htp 2KAfrica Ku,DVB-S2QPSK300009/10,28,Rádio Viana,,,,218 Por,,,10975 H,tp 2K,,,,Rádio Viana,https://www.lyngsat.com/radiochannels/ao/Radio-Viana.html
10975 Htp 2KAfrica Ku,DVB-S2QPSK300009/10,29,Rádio Cazenga,,,,219 Por,,,10975 H,tp 2K,,,,Rádio Cazenga,https://www.lyngsat.com/radiochannels/ao/Radio-Cazenga.html
10975 Htp 2KAfrica Ku,DVB-S2QPSK300009/10,29,Rádio Cazenga,,,,219 Por,,,10975 H,tp 2K,,,,Rádio Cazenga,https://www.lyngsat.com/radiochannels/ao/Radio-Cazenga.html
