Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL
3662 RC,DVB-S28PSK83333/4,8,RT Español,,?-?MPEG-4/HD,536,7.9 537 Spa,,Edinho fta220312,3662 R,,,,,RT Español,https://www.lyngsat.com/tvchannels/ru/RT-Espanol.html
11866 VKu FSS,DVB-S28PSK75003/4,100,RT Español,,MPEG-4/HD,536,537 Spa,,,11866 V,,,,,RT Español,https://www.lyngsat.com/tvchannels/ru/RT-Espanol.html
3680 RC,DVB-S33003/4,,Bolivia TV 7.1,,MPEG-2/SD,308,5.5 256 Spa,,Edinho fta220130,3680 R,,,,,Bolivia TV 7.1,https://www.lyngsat.com/tvchannels/bo/Bolivia-TV-71.html
3684 RC,DVB-S33003/4,,Bolivia TV 7.1,,MPEG-2/SD,33,5.5  36 Spa,,Edinho fta220130,3684 R,,,,,Bolivia TV 7.1,https://www.lyngsat.com/tvchannels/bo/Bolivia-TV-71.html
11560 VKu FSS,DVB-S28PSK300003/4,7,Bolivia TV 7.1,,MPEG-4/SD,523,524 Spa,,,11560 V,,,,,Bolivia TV 7.1,https://www.lyngsat.com/tvchannels/bo/Bolivia-TV-71.html
11503 HKu FSS,DVB-S2000,,(feeds),,,,,,OpcionFTA170627,11503 H,,,,,,
11884 VKu FSS,DVB-S21700,,(feeds),,,,,,C de Berazategui230425,11884 V,,,,,,
11520 VKu FSS,DVB-S28PSK300003/4,,Entel,,,,7.9,Verimatrix (B),C de Berazategui231128,11520 V,,,Verimatrix (B),,,
11560 VKu FSS,DVB-S28PSK300003/4,,Entel,,,,7.9,Verimatrix (B),Edinho fta240119,11560 V,,,Verimatrix (B),,,
11600 VKu FSS,DVB-S28PSK300003/4,,Entel,,,,7.9,Verimatrix (B),C de Berazategui231015,11600 V,,,Verimatrix (B),,,
11640 VKu FSS,DVB-S28PSK300003/4,,Entel,,,,7.9,Verimatrix (B),O Ponce240104,11640 V,,,Verimatrix (B),,,
11520 VKu FSS,DVB-S28PSK300003/4,4,RTP,,MPEG-4/SD,76,77 Spa,,,11520 V,,,,,RTP,https://www.lyngsat.com/tvchannels/bo/RTP.html
11520 VKu FSS,DVB-S28PSK300003/4,4,RTP,,MPEG-4/SD,76,77 Spa,,,11520 V,,,,,RTP,https://www.lyngsat.com/tvchannels/bo/RTP.html
12544 RKu BSS,DVB-S28PSK300005/6,450,RTP,,MPEG-4/HD,1106,1107 Spa,,,12544 R,,,,,RTP,https://www.lyngsat.com/tvchannels/bo/RTP.html
12544 RKu BSS,DVB-S28PSK300005/6,450,RTP,,MPEG-4/HD,1106,1107 Spa,,,12544 R,,,,,RTP,https://www.lyngsat.com/tvchannels/bo/RTP.html
