Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL
3635 Htp C1HC,DVB-S28PSK5000,,(feeds),,,,,,Christakis210525,3635 H,tp C1H,,,,,
3645 Htp C1HC,DVB-S28PSK72003/4,,(feeds),,,,,,Bulek Sps180525,3645 H,tp C1H,,,,,
3654 Htp C1HC,DVB-S28PSK72003/4,,(feeds),,,,,,Bulek Sps180415,3654 H,tp C1H,,,,,
3666 Htp C2HC,DVB-S28PSK72003/4,,(feeds),,,,,,N Stanislav210523,3666 H,tp C2H,,,,,
3690 Vtp C2VC,DVB-S28PSK98743/4,,(feeds),,,,,,Anonymous200204,3690 V,tp C2V,,,,,
3693 Htp C2HC,DVB-S28PSK72003/4,,(feeds),,,,,,Bulek Sps180805,3693 H,tp C2H,,,,,
3702 Vtp C2VC,DVB-S32553/4,,(feeds),,,,,,N Stanislav220515,3702 V,tp C2V,,,,,
3707 Htp C3HC,DVB-S28PSK72003/4,,(feeds),,,,,,C Sutton191130,3707 H,tp C3H,,,,,
3712 Vtp C2VC,DVB-S28PSK98743/4,,(feeds),,,,,,Anonymous200305,3712 V,tp C2V,,,,,
3735 Vtp C3VC,DVB-S28PSK72003/4,,(feeds),,,,,,Anonymous170911,3735 V,tp C3V,,,,,
3747 Vtp C3VC,DVB-S28PSK72003/4,,(feeds),,,,,,Anonymous170423,3747 V,tp C3V,,,,,
3765 Htp C4HC,DVB-S28PSK72003/4,,(feeds),,,,,,C Sutton191130,3765 H,tp C4H,,,,,
3795 Htp C5HC,DVB-S28PSK71203/4,,(feeds),,,,,,Bulek Sps180421,3795 H,tp C5H,,,,,
3805 Htp C5HC,DVB-S28PSK70003/4,,(feeds),,,,,,Bulek Sps180509,3805 H,tp C5H,,,,,
3814 Htp C5HC,DVB-S28PSK72003/4,,(feeds),,,,,,Anonymous200204,3814 H,tp C5H,,,,,
3840 Htp C6HC,DVB-S28PSK297205/6,,(feeds),,,,,,N Stanislav240323,3840 H,tp C6H,,,,,
3867 Htp C7HC,DVB-S28PSK4443,,(feeds),,,,,,Christakis210607,3867 H,tp C7H,,,,,
3876 Htp C7HC,DVB-S28PSK71203/4,,(feeds),,,,,,Christakis210611,3876 H,tp C7H,,,,,
3909 Htp C8HC,DVB-S28PSK71203/4,,(feeds),,,,,,Bulek Sps180805,3909 H,tp C8H,,,,,
3914 Vtp C7VC,DVB-S28PSK72003/4,,(feeds),,,,,,Bulek Sps180415,3914 V,tp C7V,,,,,
3918 Htp C8HC,DVB-S28PSK71202/3,,(feeds),,,,,,Bulek Sps181109,3918 H,tp C8H,,,,,
3925 Htp C8HC,DVB-S28PSK71202/3,,(feeds),,,,,,Bulek Sps181109,3925 H,tp C8H,,,,,
3927 Vtp C8VC,DVB-S28PSK98753/4,,(feeds),,,,,,N Stanislav210918,3927 V,tp C8V,,,,,
3939 Vtp C8VC,DVB-S28PSK98753/4,,(feeds),,,,,,N Stanislav210918,3939 V,tp C8V,,,,,
3953 Vtp C8VC,DVB-S27200,,(feeds),,,,,,R Wikan150330,3953 V,tp C8V,,,,,
3975 Vtp C9VC,DVB-S28PSK72003/4,,(feeds),,,,,,Joffa210415,3975 V,tp C9V,,,,,
3984 Vtp C9VC,DVB-S28PSK72003/4,,(feeds),,,,,,Joffa210416,3984 V,tp C9V,,,,,
3992 Vtp C9VC,DVB-S28PSK72003/4,,(feeds),,,,,,Joffa210415,3992 V,tp C9V,,,,,
4013 Htp C10HC,DVB-S28PSK72003/4,,(feeds),,,,,,Joffa210425,4013 H,tp C10H,,,,,
4147 Htp C14HC,DVB-S28PSK72003/4,,(feeds),,,,,,Bulek Sps180411,4147 H,tp C14H,,,,,
4148 Vtp C12VC,DVB-S28PSK72003/4,,(feeds),,,,,,Bulek Sps180801,4148 V,tp C12V,,,,,
4156 Vtp C12VC,DVB-S28PSK71203/4,,(feeds),,,,,,Bulek Sps180924,4156 V,tp C12V,,,,,
4173 Htp C14HC,DVB-S28PSK72003/4,,(feeds),,,,,,Bulek Sps181109,4173 H,tp C14H,,,,,
4180 Vtp C12VC,DVB-S28PSK72003/4,,(feeds),,,,,,Bulek Sps180924,4180 V,tp C12V,,,,,
4185 Vtp C12VC,DVB-S28PSK72003/4,,(feeds),,,,,,Bulek Sps181109,4185 V,tp C12V,,,,,
4192 Vtp C12VC,DVB-S28PSK49363/4,,(feeds),,,,,,Anonymous200204,4192 V,tp C12V,,,,,
12377 Vtp 6South Asia,DVB-S20003/4,,(feeds),,,,,,I Perera110705,12377 V,tp 6,,,,,
12381 Vtp 6South Asia,DVB-S20003/4,,(feeds),,,,,,I Perera110705,12381 V,tp 6,,,,,
