Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL
4116 Htp 11ANCSouth America,DVB-S28PSK34505/6,,TV Sucesso (Brazil),,MPEG-4/HD,273,274 Por,,,4116 H,tp 11ANC,,,https://www.lyngsat.com/providers/br/TV-Sucesso.html,TV Sucesso (Brazil),https://www.lyngsat.com/tvchannels/br/TV-Sucesso.html
4116 Htp 11ANCSouth America,DVB-S28PSK34505/6,,TV Sucesso (Brazil),,MPEG-4/1seg,641,643 Por,,,4116 H,tp 11ANC,,,https://www.lyngsat.com/providers/br/TV-Sucesso.html,TV Sucesso (Brazil),https://www.lyngsat.com/tvchannels/br/TV-Sucesso.html
4116 Htp 11ANCSouth America,DVB-S28PSK34505/6,,TV Sucesso (Brazil),,MPEG-4/1seg,641,643 Por,,,4116 H,tp 11ANC,,,https://www.lyngsat.com/providers/br/TV-Sucesso.html,TV Sucesso (Brazil),https://www.lyngsat.com/tvchannels/br/TV-Sucesso.html
4142 Htp 12ANCSouth America,DVB-S28PSK1000,,Transamérica,,,,,FlexKey,C de Berazategui231211,4142 H,tp 12ANC,,FlexKey,https://www.lyngsat.com/providers/br/Transamerica.html,,
4142 Htp 12ANCSouth America,DVB-S28PSK1000,1,Transamérica Pop,,,,101 Por,FlexKey,,4142 H,tp 12ANC,,FlexKey,,Transamérica Pop,https://www.lyngsat.com/radiochannels/br/Transamerica-Pop.html
4142 Htp 12ANCSouth America,DVB-S28PSK1000,3,Transamérica Light,,,,301,FlexKey,,4142 H,tp 12ANC,,FlexKey,,Transamérica Light,https://www.lyngsat.com/radiochannels/br/Transamerica-Light.html
4150 Vtp 11BNCSouth America,DVB-S28PSK25003/4,,Rede Brasil,,MPEG-2/SD,473,7.9 474 Por,,Edinho fta230705,4150 V,tp 11BNC,,,,Rede Brasil,https://www.lyngsat.com/tvchannels/br/Rede-Brasil.html
4150 Vtp 11BNCSouth America,DVB-S28PSK25003/4,,Rede Brasil,,MPEG-2/SD,473,7.9 474 Por,,Edinho fta230705,4150 V,tp 11BNC,,,,Rede Brasil,https://www.lyngsat.com/tvchannels/br/Rede-Brasil.html
4150 Vtp 11BNCSouth America,DVB-S28PSK25003/4,,Rede Brasil,,MPEG-2/SD,473,7.9 474 Por,,Edinho fta230705,4150 V,tp 11BNC,,,,Rede Brasil,https://www.lyngsat.com/tvchannels/br/Rede-Brasil.html
4150 Vtp 11BNCSouth America,DVB-S28PSK25003/4,,Rede Brasil,,MPEG-2/SD,473,7.9 474 Por,,Edinho fta230705,4150 V,tp 11BNC,,,,Rede Brasil,https://www.lyngsat.com/tvchannels/br/Rede-Brasil.html
4156 Vtp 11BNCSouth America,DVB-S28PSK50005/6,,Rede Brasil,,MPEG-4/HD,473,474 Por,,,4156 V,tp 11BNC,,,,Rede Brasil,https://www.lyngsat.com/tvchannels/br/Rede-Brasil.html
4156 Vtp 11BNCSouth America,DVB-S28PSK50005/6,,Rede Brasil,,MPEG-4/HD,473,474 Por,,,4156 V,tp 11BNC,,,,Rede Brasil,https://www.lyngsat.com/tvchannels/br/Rede-Brasil.html
4156 Vtp 11BNCSouth America,DVB-S28PSK50005/6,,Rede Brasil,,MPEG-4/HD,473,474 Por,,,4156 V,tp 11BNC,,,,Rede Brasil,https://www.lyngsat.com/tvchannels/br/Rede-Brasil.html
4156 Vtp 11BNCSouth America,DVB-S28PSK50005/6,,Rede Brasil,,MPEG-4/HD,473,474 Por,,,4156 V,tp 11BNC,,,,Rede Brasil,https://www.lyngsat.com/tvchannels/br/Rede-Brasil.html
4156 Vtp 11BNCSouth America,DVB-S28PSK50005/6,,Rede Brasil,,MPEG-4/1seg,573,574 Por,,,4156 V,tp 11BNC,,,,Rede Brasil,https://www.lyngsat.com/tvchannels/br/Rede-Brasil.html
4156 Vtp 11BNCSouth America,DVB-S28PSK50005/6,,Rede Brasil,,MPEG-4/1seg,573,574 Por,,,4156 V,tp 11BNC,,,,Rede Brasil,https://www.lyngsat.com/tvchannels/br/Rede-Brasil.html
4156 Vtp 11BNCSouth America,DVB-S28PSK50005/6,,Rede Brasil,,MPEG-4/1seg,573,574 Por,,,4156 V,tp 11BNC,,,,Rede Brasil,https://www.lyngsat.com/tvchannels/br/Rede-Brasil.html
4156 Vtp 11BNCSouth America,DVB-S28PSK50005/6,,Rede Brasil,,MPEG-4/1seg,573,574 Por,,,4156 V,tp 11BNC,,,,Rede Brasil,https://www.lyngsat.com/tvchannels/br/Rede-Brasil.html
4156 Vtp 11BNCSouth America,DVB-S28PSK50005/6,,,,,,9.4,,Edinho fta230705,4156 V,tp 11BNC,,,,,
4156 Vtp 11BNCSouth America,DVB-S28PSK50005/6,,RBTV,,MPEG-4/HD,273,274 Por,,,4156 V,tp 11BNC,,,,RBTV,https://www.lyngsat.com/tvchannels/br/RBTV.html
4156 Vtp 11BNCSouth America,DVB-S28PSK50005/6,,RBTV,,MPEG-4/HD,273,274 Por,,,4156 V,tp 11BNC,,,,RBTV,https://www.lyngsat.com/tvchannels/br/RBTV.html
4156 Vtp 11BNCSouth America,DVB-S28PSK50005/6,,RBTV,,MPEG-4/1seg,373,374 Por,,,4156 V,tp 11BNC,,,,RBTV,https://www.lyngsat.com/tvchannels/br/RBTV.html
4156 Vtp 11BNCSouth America,DVB-S28PSK50005/6,,RBTV,,MPEG-4/1seg,373,374 Por,,,4156 V,tp 11BNC,,,,RBTV,https://www.lyngsat.com/tvchannels/br/RBTV.html
,,,,,,,,,,,,,,,DVB-S28PSK25003/4,
,,,,,,,,,,,,,,,DVB-S28PSK25003/4,
