Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,is_Provider,Provider
12555 HEcowas 2,DVB-S2QPSK82003/4,4.0,Praiseland TV,,MPEG-4/SD,3005.0,3004 Eng,,,,False,Nixsat
12555 HEcowas 2,DVB-S2QPSK82003/4,6.0,Rootzz Sport,,MPEG-4/SD,3011.0,3010 Eng,,,,False,Nixsat
12555 HEcowas 2,DVB-S2QPSK82003/4,8.0,MIO,,MPEG-4/SD,3015.0,3014 Eng,,,,False,Nixsat
12555 HEcowas 2,DVB-S2QPSK82003/4,9.0,Ark of Safety TV,,MPEG-4/SD,,Eng,,,,False,Nixsat
12555 HEcowas 2,DVB-S2QPSK82003/4,10.0,Dunamis TV,,MPEG-4/SD,,Eng,,,,False,Nixsat
12555 HEcowas 2,DVB-S2QPSK82003/4,11.0,Rhema TV (Nigeria),,MPEG-4/SD,,Eng,,,,False,Nixsat
12555 HEcowas 2,DVB-S2QPSK82003/4,13.0,Nixsat promo,,MPEG-4/SD,3021.0,3020 Eng,,,,False,Nixsat
12555 HEcowas 2,DVB-S2QPSK82003/4,20.0,Possibility TV,,MPEG-4/SD,,Eng,,,,False,Nixsat
12589 HEcowas 2,DVB-S2QPSK300003/4,,TSTV Africa,,,,4.0,,Anonymous230919,https://www.lyngsat.com/providers/ng/TSTV-Africa.html,True,TSTV Africa
12589 HEcowas 2,DVB-S2QPSK300003/4,4.0,MBC 3 (Saudi Arabia),,,,Ara,,,,False,TSTV Africa
12589 HEcowas 2,DVB-S2QPSK300003/4,9.0,MBC Bollywood,,,,Ara,,,,False,TSTV Africa
12589 HEcowas 2,DVB-S2QPSK300003/4,10.0,MBC Drama (Saudi Arabia),,,,Ara,,,,False,TSTV Africa
12589 HEcowas 2,DVB-S2QPSK300003/4,11.0,MBC 4,,,,Eng,,,,False,TSTV Africa
12589 HEcowas 2,DVB-S2QPSK300003/4,12.0,MBC 5,,,,Ara,,,,False,TSTV Africa
12589 HEcowas 2,DVB-S2QPSK300003/4,14.0,Alarabiya,,,,Ara,,,,False,TSTV Africa
12589 HEcowas 2,DVB-S2QPSK300003/4,18.0,MBC Action,,,,Eng,,,,False,TSTV Africa
12589 HEcowas 2,DVB-S2QPSK300003/4,19.0,MBC Max,,,,Ara,,,,False,TSTV Africa
12589 HEcowas 2,DVB-S2QPSK300003/4,8159.0,NTA Sports 24,,,,Eng,,,,False,TSTV Africa
12589 HEcowas 2,DVB-S2QPSK300003/4,8187.0,AIT National,,,,Eng,,,,False,TSTV Africa
12625 HEcowas 2,DVB-S28PSK300002/3,3401.0,TSTV Dish TV,,?-?HEVC/SD,513.0,6.6 769 Eng,,Anonymous230919,,False,TSTV Africa
12727 VEcowas 1,DVB-S2QPSK17503/4,1.0,TV Taraba,,?-?MPEG-4/SD,308.0,4.0 256,,N Stanislav230910,,False,TSTV Africa
12729 VEcowas 1,DVB-S2QPSK17003/4,1.0,DITV Network,,?-?MPEG-4/SD,257.0,4.0 258 Eng,,N Stanislav230910,,False,TSTV Africa
12733 VEcowas 1,DVB-S28PSK35003/4,1.0,Spectrum TV,,?-?MPEG-4/SD,101.0,7.9 102 Eng,,Anonymous240204,,False,TSTV Africa
