Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,is_Provider,Provider
12737 Htp 15East MENA,DVB-S28PSK50003/4,,(feeds),,,,,,N Stanislav221126,,False,
12739 Vtp 16MENA,DVB-S28PSK44403/4,,(feeds),,,,,,DX Bozóth231220,,False,
10794 Htp 3East MENA,DVB-S28PSK48005/6,1.0,Quran TV (Saudi Arabia),,65535-1MPEG-4/HD,33.0,9.4  34 Ara,,DX Bozóth210506,,False,
10924 Htp 7East MENA,DVB-S170003/4,5601.0,Quran TV (Saudi Arabia),,MPEG-2/SD,2308.0,2309 Ara,,,,False,
10800 Htp 3East MENA,DVB-S28PSK40005/6,1.0,Sunna TV (Saudi Arabia),,65535-1MPEG-4/HD,101.0,9.4 256 Ara,,HamoudKa191110,,False,
10924 Htp 7East MENA,DVB-S170003/4,5602.0,Sunna TV (Saudi Arabia),,MPEG-2/SD,2310.0,2311 Ara,,,,False,
12693 Htp 13East MENA,DVB-S28PSK20008/9,1.0,Sunna TV (Saudi Arabia),,?-?MPEG-4/HD,33.0,10.7  34 Ara,,HamoudKa191109,,False,
10824 Htp 3East MENA,DVB-S44403/4,1.0,IEN Doros TV,,65535-1MPEG-4/HD,4121.0,5.54201 Ara,,DX Bozóth200104,,False,
10830 Htp 3East MENA,DVB-S26003/4,1.0,RTD 4,,65535-65535MPEG-2/SD,528.0,5.5 784 Fre,,DX Bozóth200427,,False,
10830 Htp 3East MENA,DVB-S26003/4,2.0,Radio Djibouti 1,,,,785 Fre,,,,False,
10830 Htp 3East MENA,DVB-S26003/4,3.0,Radio Djibouti 2,,,,786 Fre,,,,False,
10830 Htp 3East MENA,DVB-S26003/4,4.0,Radio Djibouti 3,,,,787 Fre,,,,False,
10924 Htp 7East MENA,DVB-S170003/4,,Saudi Broadcasting Authority,,12289-1,,5.5,,DX Bozóth231103,https://www.lyngsat.com/providers/sa/Saudi-Broadcasting-Authority.html,True,Saudi Broadcasting Authority
10924 Htp 7East MENA,DVB-S170003/4,,Saudi Broadcasting Authority,,12289-1,,5.5,,DX Bozóth231103,https://www.lyngsat.com/providers/sa/Saudi-Broadcasting-Authority.html,True,Saudi Broadcasting Authority
12700 Htp 13East MENA,DVB-S20001/2,,Saudi Broadcasting Authority,,,,2.7,,N Stanislav231125,https://www.lyngsat.com/providers/sa/Saudi-Broadcasting-Authority.html,True,Saudi Broadcasting Authority
12700 Htp 13East MENA,DVB-S20001/2,,Saudi Broadcasting Authority,,,,2.7,,N Stanislav231125,https://www.lyngsat.com/providers/sa/Saudi-Broadcasting-Authority.html,True,Saudi Broadcasting Authority
10924 Htp 7East MENA,DVB-S170003/4,2601.0,Saudi TV,,MPEG-2/SD,512.0,612 Ara,,,,False,Saudi Broadcasting Authority
10924 Htp 7East MENA,DVB-S170003/4,2602.0,KSA Sports 2,,MPEG-2/SD,513.0,712 Ara,,,,False,Saudi Broadcasting Authority
10924 Htp 7East MENA,DVB-S170003/4,2603.0,KSA Sports 1,,MPEG-2/SD,514.0,812 Ara,,,,False,Saudi Broadcasting Authority
10924 Htp 7East MENA,DVB-S170003/4,2604.0,Ekhbariya TV,,MPEG-2/SD,515.0,912 Ara,,,,False,Saudi Broadcasting Authority
10924 Htp 7East MENA,DVB-S170003/4,2605.0,Thikrayat TV,,MPEG-2/SD,516.0,914 Ara,,,,False,Saudi Broadcasting Authority
10924 Htp 7East MENA,DVB-S170003/4,5603.0,SBC,,MPEG-2/SD,2312.0,2313 Ara,,,,False,Saudi Broadcasting Authority
10924 Htp 7East MENA,DVB-S170003/4,5604.0,KSA Sports 3,,MPEG-2/SD,2314.0,2315 Ara,,,,False,Saudi Broadcasting Authority
10924 Htp 7East MENA,DVB-S170003/4,5605.0,Saudia Alaan TV,,MPEG-2/SD,2316.0,2317 Ara,,,,False,Saudi Broadcasting Authority
10924 Htp 7East MENA,DVB-S170003/4,2620.0,Quran Radio (Saudi Arabia),,,,613 Ara,,,,False,Saudi Broadcasting Authority
10924 Htp 7East MENA,DVB-S170003/4,2621.0,Riyadh Radio,,,,713 Ara,,,,False,Saudi Broadcasting Authority
