Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,is_Provider,Provider
12250 H,DVB-S125103/4,44.0,Radio Tissemsilt,,,,614,,,,False,TDA
12250 H,DVB-S125103/4,45.0,Radio El Bayadh,,,,625,,,,False,TDA
12250 H,DVB-S125103/4,46.0,Radio Tebessa,,,,635,,,,False,TDA
12250 H,DVB-S125103/4,47.0,Radio Djelfa,,,,695,,,,False,TDA
12250 H,DVB-S125103/4,48.0,Radio Aïn Defla,,,,615,,,,False,TDA
12250 H,DVB-S125103/4,49.0,Radio Tipaza,,,,710,,,,False,TDA
12250 H,DVB-S125103/4,50.0,Radio Boumerdès,,,,711,,,,False,TDA
12250 H,DVB-S125103/4,51.0,Radio Oran,,,,712,,,,False,TDA
12250 H,DVB-S125103/4,52.0,Radio Tiaret,,,,713,,,,False,TDA
12250 H,DVB-S125103/4,53.0,Radio Mostaganem,,,,714,,,,False,TDA
12250 H,DVB-S125103/4,54.0,Radio M'Sila,,,,715,,,,False,TDA
12250 H,DVB-S125103/4,55.0,Radio Bordj Bou Arreridj,,,,716,,,,False,TDA
12250 H,DVB-S125103/4,56.0,Radio Sétif,,,,717 Fre,,,,False,TDA
12250 H,DVB-S125103/4,57.0,Radio Biskra,,,,718 Ara,,,,False,TDA
12250 H,DVB-S125103/4,58.0,Radio Constantine,,,,719,,,,False,TDA
12250 H,DVB-S125103/4,59.0,Radio Oum El Bouaghi,,,,720,,,,False,TDA
12250 H,DVB-S125103/4,60.0,Radio Chlef,,,,721,,,,False,TDA
12250 H,DVB-S125103/4,61.0,Radio Sidi Bel Abbès,,,,722,,,,False,TDA
12250 H,DVB-S125103/4,63.0,Radio Coran (Algeria),,,,801 Ara,,,,False,TDA
12250 H,DVB-S125103/4,662.0,Radio El Bahdja,,,,1501 Ara,,,,False,TDA
12250 H,DVB-S125103/4,664.0,Radio Décrochage 2,,,,1601,,,,False,TDA
12250 H,DVB-S125103/4,665.0,Jil FM,,,,1901 Fre,,,,False,TDA
12360 H,DVB-S28PSK300002/3,,Algerian mux,,65535-1,,6.6,,Zelda231101,,False,TDA
12360 H,DVB-S28PSK300002/3,2021.0,Echorouk TV News,,MPEG-4/HD,3211.0,3212 Ara,,,,False,TDA
12360 H,DVB-S28PSK300002/3,2022.0,Echorouk TV,,MPEG-4/HD,3221.0,3222 Ara,,,,False,TDA
12360 H,DVB-S28PSK300002/3,2026.0,El Hayat TV,,MPEG-4/HD,3261.0,3262 Ara,,,,False,TDA
12360 H,DVB-S28PSK300002/3,3325.0,Ennahar TV,,MPEG-4/HD,3421.0,3422 Ara,,,,False,TDA
12728 H,DVB-S251352/3,,(feeds),,,,,,Stanley_cassidy190828,,False,TDA
12737 H,DVB-S28PSK57623/5,,(feeds),,,,,,N Stanislav220702,,False,TDA
