Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider
12267 Htp NZ9LNZB,DVB-S28PSK225002/3,,Sky New Zealand,,169-9,,6.6,Videoguard,S Ellis220405,12267 H,tp NZ9L,,Videoguard,,,,False,
12295 Htp NZ9UNZB,DVB-S28PSK225003/4,,Sky New Zealand,,169-10,,7.9,Videoguard,S Ellis220405,12295 H,tp NZ9U,,Videoguard,,,,False,
12331 Htp NZ10LNZB,DVB-S28PSK225002/3,,Sky New Zealand,,169-7,,6.6,Videoguard,S Ellis220405,12331 H,tp NZ10L,,Videoguard,,,,False,
12358 Htp NZ10UNZB,DVB-S28PSK225002/3,,Sky New Zealand,,169-8,,6.6,Videoguard,S Ellis220405,12358 H,tp NZ10U,,Videoguard,,,,False,
12394 Htp NZ11LNZB,DVB-S28PSK225003/4,,Sky New Zealand,,169-13,,7.9,IrdetoVideoguard,C Sutton230315,12394 H,tp NZ11L,,"Irdeto,Videoguard",,,,False,
12421 Htp NZ11UNZB,DVB-S28PSK225003/4,,Sky New Zealand,,169-14,,7.9,Videoguard,S Ellis220405,12421 H,tp NZ11U,,Videoguard,,,,False,
12519 Htp NZ13LNZB,DVB-S28PSK225003/4,,Sky New Zealand,,169-89,,7.9,,S Ellis220405,12519 H,tp NZ13L,,,,,,False,
12546 Htp NZ13UNZB,DVB-S28PSK225002/3,,Sky New Zealand,,169-4,,6.6,Videoguard,S Ellis220405,12546 H,tp NZ13U,,Videoguard,,,,False,
12581 Htp NZ14LNZB,DVB-S28PSK225002/3,,Sky New Zealand,,169-1,,6.6,Videoguard,C Gordon 3231103,12581 H,tp NZ14L,,Videoguard,,,,False,
12608 Htp NZ14UNZB,DVB-S28PSK225002/3,,Sky New Zealand,,169-2,,6.6,Videoguard,S Ellis220405,12608 H,tp NZ14U,,Videoguard,,,,False,
12707 Htp NZ16LNZB,DVB-S28PSK225003/4,,Sky New Zealand,,169-11,,7.9,Videoguard,S Ellis220405,12707 H,tp NZ16L,,Videoguard,,,,False,
12734 Htp NZ16UNZB,DVB-S28PSK225003/4,,Sky New Zealand,,169-12,,7.9,Videoguard,S Ellis220405,12734 H,tp NZ16U,,Videoguard,,,,False,
12358 Htp NZ10UNZB,DVB-S28PSK225002/3,1011.0,TVNZ Duke,,MPEG-4/SD,1006.0,1106 Eng,,,12358 H,tp NZ10U,,,,TVNZ Duke,https://www.lyngsat.com/tvchannels/nz/TVNZ-Duke.html,False,
12358 Htp NZ10UNZB,DVB-S28PSK225002/3,1011.0,TVNZ Duke,,MPEG-4/SD,1006.0,1106 Eng,,,12358 H,tp NZ10U,,,,TVNZ Duke,https://www.lyngsat.com/tvchannels/nz/TVNZ-Duke.html,False,
12483 Htp NZ12UNZB,DVB-S225003/4,1904.0,TVNZ Duke,,MPEG-2/SD,520.0,658 Eng,,,12483 H,tp NZ12U,,,,TVNZ Duke,https://www.lyngsat.com/tvchannels/nz/TVNZ-Duke.html,False,
12483 Htp NZ12UNZB,DVB-S225003/4,1904.0,TVNZ Duke,,MPEG-2/SD,520.0,658 Eng,,,12483 H,tp NZ12U,,,,TVNZ Duke,https://www.lyngsat.com/tvchannels/nz/TVNZ-Duke.html,False,
12392 Htp 11NB,DVB-S28PSK22500,,(feeds),,,,,,C Sutton240225,12392 H,tp 11,,,,,,False,
12430 Vtp 3NANZ,DVB-S6111,,(feeds),,,,,,D Service101031,12430 V,tp 3,,,,,,False,
