Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider
3769 Vtp LM4CLandmass37.1-39.1,DVB-S28PSK36003/4,,Aastha TV,,,,7.9,,Albert I210515,3769 V,tp LM4C,37.1-39.1,,https://www.lyngsat.com/providers/in/Aastha-TV.html,,,True,Aastha TV
3777 Vtp LM4CLandmass37.1-39.1,DVB-S29403/4,,Aastha TV,,1-2,,5.5,,N Stanislav121024,3777 V,tp LM4C,37.1-39.1,,https://www.lyngsat.com/providers/in/Aastha-TV.html,,,True,Aastha TV
3777 Vtp LM4CLandmass37.1-39.1,DVB-S29403/4,,Aastha TV,,1-2,,5.5,,N Stanislav121024,3777 V,tp LM4C,37.1-39.1,,https://www.lyngsat.com/providers/in/Aastha-TV.html,,,True,Aastha TV
3769 Vtp LM4CLandmass37.1-39.1,DVB-S28PSK36003/4,1,Arihant TV,,MPEG-4/SD,702.0,703 Hin,,,3769 V,tp LM4C,37.1-39.1,,,Arihant TV,https://www.lyngsat.com/tvchannels/in/Arihant-TV.html,False,Aastha TV
3769 Vtp LM4CLandmass37.1-39.1,DVB-S28PSK36003/4,2,Aastha Tamil,,MPEG-4/SD,1002.0,1003 Tam,,,3769 V,tp LM4C,37.1-39.1,,,Aastha Tamil,https://www.lyngsat.com/tvchannels/in/Aastha-Tamil.html,False,Aastha TV
3769 Vtp LM4CLandmass37.1-39.1,DVB-S28PSK36003/4,2,Aastha Tamil,,MPEG-4/SD,1002.0,1003 Tam,,,3769 V,tp LM4C,37.1-39.1,,,Aastha Tamil,https://www.lyngsat.com/tvchannels/in/Aastha-Tamil.html,False,Aastha TV
3769 Vtp LM4CLandmass37.1-39.1,DVB-S28PSK36003/4,3,Aastha Telugu,,MPEG-4/SD,1102.0,1103 Tel,,,3769 V,tp LM4C,37.1-39.1,,,Aastha Telugu,https://www.lyngsat.com/tvchannels/in/Aastha-Telugu.html,False,Aastha TV
3769 Vtp LM4CLandmass37.1-39.1,DVB-S28PSK36003/4,4,Aastha Kannada,,MPEG-4/SD,1202.0,1203 Kan,,,3769 V,tp LM4C,37.1-39.1,,,Aastha Kannada,https://www.lyngsat.com/tvchannels/in/Aastha-Kannada.html,False,Aastha TV
3769 Vtp LM4CLandmass37.1-39.1,DVB-S28PSK36003/4,4,Aastha Kannada,,MPEG-4/SD,1202.0,1203 Kan,,,3769 V,tp LM4C,37.1-39.1,,,Aastha Kannada,https://www.lyngsat.com/tvchannels/in/Aastha-Kannada.html,False,Aastha TV
3774 Vtp LM4CLandmass37.1-39.1,DVB-S29443/4,1,Aastha India,,1-1MPEG-2/SD,308.0,5.5 256 Hin,,N Stanislav121024,3774 V,tp LM4C,37.1-39.1,,,,,False,Aastha TV
3777 Vtp LM4CLandmass37.1-39.1,DVB-S29403/4,1,Aastha Bhajan India,,MPEG-4/SD,257.0,258 Hin,,,3777 V,tp LM4C,37.1-39.1,,,Aastha Bhajan India,https://www.lyngsat.com/tvchannels/in/Aastha-Bhajan-India.html,False,Aastha TV
3777 Vtp LM4CLandmass37.1-39.1,DVB-S29403/4,1,Aastha Bhajan India,,MPEG-4/SD,257.0,258 Hin,,,3777 V,tp LM4C,37.1-39.1,,,Aastha Bhajan India,https://www.lyngsat.com/tvchannels/in/Aastha-Bhajan-India.html,False,Aastha TV
3777 Vtp LM4CLandmass37.1-39.1,DVB-S29403/4,2,Vedic,,MPEG-4/SD,514.0,515,,,3777 V,tp LM4C,37.1-39.1,,,Vedic,https://www.lyngsat.com/tvchannels/in/Vedic.html,False,Aastha TV
3777 Vtp LM4CLandmass37.1-39.1,DVB-S29403/4,2,Vedic,,MPEG-4/SD,514.0,515,,,3777 V,tp LM4C,37.1-39.1,,,Vedic,https://www.lyngsat.com/tvchannels/in/Vedic.html,False,Aastha TV
3782 Vtp LM4CLandmass37.1-39.1,DVB-S29653/4,1,CGN TV,,66535-1MPEG-2/SD,308.0,5.5 256 Kor,,Bulek Sps180601,3782 V,tp LM4C,37.1-39.1,,,,,False,Aastha TV
3788 Vtp LM4CLandmass37.1-39.1,DVB-S28PSK44002/3,1,J Movie,,1-2MPEG-4/SD,516.0,6.6 690 Tam,Irdeto,D Srinivas160929,3788 V,tp LM4C,37.1-39.1,Irdeto,,,,False,Aastha TV
3795 Vtp LM4CLandmass37.1-39.1,DVB-S28PSK55802/3,1,Arirang World,,65535-1MPEG-4/HD,308.0,6.6 256 Eng 257 Eng,,AnonymousHencha160904,3795 V,tp LM4C,37.1-39.1,,,,,False,Aastha TV
4054 Vtp LM16CLandmass37.1-39.1,DVB-S44003/4,2,Arirang World,,65535-1MPEG-2/SD,1260.0,5.51220 Eng,,P Grandicelli131117,4054 V,tp LM16C,37.1-39.1,,,,,False,Aastha TV
3805 Vtp LM4CLandmass,DVB-S28PSK72003/4,,(feeds),,,,,,Anonymous190905,3805 V,tp LM4C,,,,,,False,Aastha TV
3814 Vtp LM4CLandmass,DVB-S28PSK72003/4,,(feeds),,,,,,Anonymous191203,3814 V,tp LM4C,,,,,,False,Aastha TV
3816 Htp LM3CLandmass,DVB-S28PSK72003/4,,(feeds),,,,,,Bulek Sps171008,3816 H,tp LM3C,,,,,,False,Aastha TV
3834 Vtp LM6CLandmass,DVB-S28PSK49373/4,,(feeds),,,,,,N Stanislav211214,3834 V,tp LM6C,,,,,,False,Aastha TV
3930 Htp LM7CLandmass37.1-39.1,DVB-S28PSK250002/3,55,(feeds),,,2610.0,2600,Videoguard,,3930 H,tp LM7C,37.1-39.1,Videoguard,,,,False,Aastha TV
3940 Vtp LM8CLandmass,DVB-S28PSK71203/4,,(feeds),,,,,,Onacila210314,3940 V,tp LM8C,,,,,,False,Aastha TV
4096 Vtp LM18CLandmass,DVB-S2QPSK25005/6,,(feeds),,,,,,N Stanislav220521,4096 V,tp LM18C,,,,,,False,Aastha TV
11025 Htp 38KEU & ME & Central Asia,DVB-S28PSK12403/4,,(feeds),,,,,,N Stanislav230119,11025 H,tp 38K,,,,,,False,Aastha TV
11477 Vtp 43KEU & ME & Central Asia,DVB-S21703/4,,(feeds),,,,,,DX Bozóth140429,11477 V,tp 43K,,,,,,False,Aastha TV
11487 Vtp 43KEU & ME & Central Asia,DVB-S28PSK17403/4,,(feeds),,,,,,Onacila160906,11487 V,tp 43K,,,,,,False,Aastha TV
11490 Vtp 43KEU & ME & Central Asia,DVB-S28PSK12403/4,,(feeds),,,,,,Onacila160110,11490 V,tp 43K,,,,,,False,Aastha TV
11569 Htp 48KEU & ME & Central Asia,DVB-S28PSK12403/4,,(feeds),,,,,,Roli180319,11569 H,tp 48K,,,,,,False,Aastha TV
11571 Htp 48KEU & ME & Central Asia,DVB-S28PSK12403/4,,(feeds),,,,,,Onacila171104,11571 H,tp 48K,,,,,,False,Aastha TV
12597 Htp 30KEurope & Africa,DVB-S272003/4,,(feeds),,,,,,Stanley_cassidy200830,12597 H,tp 30K,,,,,,False,Aastha TV
12606 Htp 30KEurope & Africa,DVB-S28PSK72003/4,,(feeds),,,,,,Marcel 2190529,12606 H,tp 30K,,,,,,False,Aastha TV
12615 Htp 30KEurope & Africa,DVB-S28PSK72003/4,,(feeds),,,,,,Marcel 2190603,12615 H,tp 30K,,,,,,False,Aastha TV
12648 Vtp 31KEurope & Africa,DVB-S28PSK41663/5,,(feeds),,,,,,DX Bozóth221115,12648 V,tp 31K,,,,,,False,Aastha TV
