Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider
10956 Htp 123Wide,DVB-S28PSK48003/4,,(feeds),,,,,,Roli211230,10956 H,tp 123,,,,,,False,
10962 Htp 123Wide,DVB-S248003/4,,(feeds),,,,,,Roli211205,10962 H,tp 123,,,,,,False,
10968 Htp 123Wide,DVB-S248003/4,,(feeds),,,,,,Stanley_cassidy180519,10968 H,tp 123,,,,,,False,
10974 Htp 123Wide,DVB-S248003/4,,(feeds),,,,,,Stanley_cassidy180519,10974 H,tp 123,,,,,,False,
10985 Htp 123Wide,DVB-S28PSK25003/4,,(feeds),,,,,,Roli240329,10985 H,tp 123,,,,,,False,
10988 Htp 123Wide,DVB-S28PSK25003/4,,(feeds),,,,,,Roli240217,10988 H,tp 123,,,,,,False,
10999 Htp 125Wide,DVB-S28PSK72003/4,,(feeds),,,,,,Jamie A240106,10999 H,tp 125,,,,,,False,
11008 Htp 125Wide,DVB-S28PSK72003/4,,(feeds),,,,,,Roli240105,11008 H,tp 125,,,,,,False,
11017 Htp 125Wide,DVB-S28PSK72003/4,,(feeds),,,,,,Roli240105,11017 H,tp 125,,,,,,False,
11022 Vtp 126Wide,DVB-S28PSK88882/3,,(feeds),,,,,,Roli211009,11022 V,tp 126,,,,,,False,
11028 Htp 125Wide,DVB-S28PSK48003/4,,(feeds),,,,,,Roli230924,11028 H,tp 125,,,,,,False,
11040 Htp 127Wide,DVB-S272003/4,,(feeds),,,,,,Stanley_cassidy220402,11040 H,tp 127,,,,,,False,
11047 Vtp 126Wide,DVB-S28PSK75003/4,,(feeds),,,,,,Roli210703,11047 V,tp 126,,,,,,False,
11049 Htp 127Wide,DVB-S272003/4,,(feeds),,,,,,Stanley_cassidy220402,11049 H,tp 127,,,,,,False,
11059 Htp 127Wide,DVB-S2QPSK72003/4,,(feeds),,,,,,Roli240119,11059 H,tp 127,,,,,,False,
11068 Htp 127Wide,DVB-S28PSK72003/4,,(feeds),,,,,,Roli240104,11068 H,tp 127,,,,,,False,
11083 Htp 129Wide,DVB-S28PSK75003/4,,(feeds),,,,,,Roli230317,11083 H,tp 129,,,,,,False,
11088 Vtp 128Wide,DVB-S28PSK75005/6,,(feeds),,,,,,Roli211210,11088 V,tp 128,,,,,,False,
11091 Htp 129Wide,DVB-S28PSK72003/4,,(feeds),,,,,,Roli220905,11091 H,tp 129,,,,,,False,
11098 Htp 129Wide,DVB-S231663/4,,(feeds),,,,,,Roli220909,11098 H,tp 129,,,,,,False,
11100 Vtp 130Wide,DVB-S28PSK31662/3,,(feeds),,,,,,Roli230114,11100 V,tp 130,,,,,,False,
11103 Htp 129Wide,DVB-S28PSK31663/4,,(feeds),,,,,,Roli220919,11103 H,tp 129,,,,,,False,
11105 Vtp 130Wide,DVB-S28PSK36005/6,,(feeds),,,,,,Roli230501,11105 V,tp 130,,,,,,False,
11107 Htp 129Wide,DVB-S231663/4,,(feeds),,,,,,Roli220909,11107 H,tp 129,,,,,,False,
11111 Htp 129Wide,DVB-S231663/4,,(feeds),,,,,,Roli220909,11111 H,tp 129,,,,,,False,
11120 Vtp 130Wide,DVB-S33333/4,,(feeds),,,,,,Roli210514,11120 V,tp 130,,,,,,False,
11122 Htp 131Wide,DVB-S28PSK48003/4,,(feeds),,,,,,Roli230402,11122 H,tp 131,,,,,,False,
11128 Htp 131Wide,DVB-S28PSK44443/4,,(feeds),,,,,,Roli231015,11128 H,tp 131,,,,,,False,
11129 Vtp 130Wide,DVB-S28PSK96003/4,,(feeds),,,,,,Roli211127,11129 V,tp 130,,,,,,False,
11141 Htp 131Wide,DVB-S248003/4,,(feeds),,,,,,Roli230325,11141 H,tp 131,,,,,,False,
11148 Vtp 132Wide,DVB-S237503/4,,(feeds),,,,,,Stanley_cassidy191102,11148 V,tp 132,,,,,,False,
11149 Htp 131Wide,DVB-S296003/4,,(feeds),,,,,,Stanley_cassidy220122,11149 H,tp 131,,,,,,False,
11152 Vtp 132Wide,DVB-S28PSK48003/4,,(feeds),,,,,,Roli200704,11152 V,tp 132,,,,,,False,
11161 Vtp 132Wide,DVB-S28PSK72003/4,,(feeds),,,,,,Roli240120,11161 V,tp 132,,,,,,False,
11166 Htp 133Wide,DVB-S28PSK24002/3,,(feeds),,,,,,Jamie A230708,11166 H,tp 133,,,,,,False,
11169 Htp 133Wide,DVB-S28PSK48003/4,,(feeds),,,,,,Jamie A231015,11169 H,tp 133,,,,,,False,
11173 Vtp 132Wide,DVB-S244443/4,,(feeds),,,,,,Stanley_cassidy180501,11173 V,tp 132,,,,,,False,
11175 Htp 133Wide,DVB-S28PSK48003/4,,(feeds),,,,,,Jamie A231015,11175 H,tp 133,,,,,,False,
11179 Htp 133Wide,DVB-S28PSK96003/4,,(feeds),,,,,,Jamie A230708,11179 H,tp 133,,,,,,False,
11185 Vtp 134Wide,DVB-S28PSK49003/4,,(feeds),,,,,,Roli200201,11185 V,tp 134,,,,,,False,
11191 Vtp 134Wide,DVB-S28PSK49003/4,,(feeds),,,,,,Roli200201,11191 V,tp 134,,,,,,False,
11193 Htp 133Wide,DVB-S28PSK96003/4,,(feeds),,,,,,Jamie A230708,11193 H,tp 133,,,,,,False,
