Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider
4116 H,DVB-S213743/4,407,CGTN Documentary,,MPEG-2/SD,1760.0,1720 Eng,,,4116 H,,,,,CGTN Documentary,https://www.lyngsat.com/tvchannels/cn/CGTN-Documentary.html,False,CGTN
3780 V,DVB-S28PSK323003/4,,,,,,7.9,Tongfang,Harold240120,3780 V,,,Tongfang,,,,False,CGTN
3950 H,DVB-S114065/6,,,,1-1,,6.5,,B CristC Sutton231226,3950 H,,,,,,,False,CGTN
4020 V,DVB-S28PSK288003/4,,,,2184-51,,7.9,TongfangVideoguard,Harold240120,4020 V,,,"Tongfang,Videoguard",,,,False,CGTN
4030 H,DVB-S109203/4,,,,1-1,,5.5,,C Sutton231214,4030 H,,,,,,,False,CGTN
4075 V,,,,,,,,,Albert I240127,4075 V,,,,,,,False,CGTN
3780 V,DVB-S28PSK323003/4,3,CCTV 6,,MPEG-2/SD,769.0,770 Chi,Tongfang,,3780 V,,,Tongfang,,CCTV 6,https://www.lyngsat.com/tvchannels/cn/CCTV-6.html,False,CGTN
3780 V,DVB-S28PSK323003/4,3,CCTV 6,,MPEG-2/SD,769.0,770 Chi,Tongfang,,3780 V,,,Tongfang,,CCTV 6,https://www.lyngsat.com/tvchannels/cn/CCTV-6.html,False,CGTN
3780 V,DVB-S28PSK323003/4,3,CCTV 6,,MPEG-2/SD,769.0,770 Chi,Tongfang,,3780 V,,,Tongfang,,CCTV 6,https://www.lyngsat.com/tvchannels/cn/CCTV-6.html,False,CGTN
3780 V,DVB-S28PSK323003/4,3,CCTV 6,,MPEG-2/SD,769.0,770 Chi,Tongfang,,3780 V,,,Tongfang,,CCTV 6,https://www.lyngsat.com/tvchannels/cn/CCTV-6.html,False,CGTN
3880 H,DVB-S275003/4,503,CCTV 6,,MPEG-2/SD,514.0,670 Chi,Videoguard,,3880 H,,,Videoguard,,CCTV 6,https://www.lyngsat.com/tvchannels/cn/CCTV-6.html,False,CGTN
3880 H,DVB-S275003/4,503,CCTV 6,,MPEG-2/SD,514.0,670 Chi,Videoguard,,3880 H,,,Videoguard,,CCTV 6,https://www.lyngsat.com/tvchannels/cn/CCTV-6.html,False,CGTN
3880 H,DVB-S275003/4,503,CCTV 6,,MPEG-2/SD,514.0,670 Chi,Videoguard,,3880 H,,,Videoguard,,CCTV 6,https://www.lyngsat.com/tvchannels/cn/CCTV-6.html,False,CGTN
3880 H,DVB-S275003/4,503,CCTV 6,,MPEG-2/SD,514.0,670 Chi,Videoguard,,3880 H,,,Videoguard,,CCTV 6,https://www.lyngsat.com/tvchannels/cn/CCTV-6.html,False,CGTN
