Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider
10845 Htp K7Africa0,DVB-S28PSK300002/3,2810.0,Cinema Yoruba,,MPEG-4/SD,191.0,192 Yor,,,10845 H,tp K7,0,,,Cinema Yoruba,https://www.lyngsat.com/tvchannels/--/Cinema-Yoruba.html,False,Premium Free
10845 Htp K7Africa0,DVB-S28PSK300002/3,2811.0,Romanza+ Africa,,MPEG-4/SD,201.0,202 Eng,,,10845 H,tp K7,0,,,Romanza+ Africa,https://www.lyngsat.com/tvchannels/mx/Romanza--Africa.html,False,Premium Free
10845 Htp K7Africa0,DVB-S28PSK300002/3,2812.0,Limelight,,MPEG-4/SD,211.0,212 Eng,,,10845 H,tp K7,0,,,Limelight,https://www.lyngsat.com/tvchannels/za/Limelight.html,False,Premium Free
10845 Htp K7Africa0,DVB-S28PSK300002/3,2812.0,Limelight,,MPEG-4/SD,211.0,212 Eng,,,10845 H,tp K7,0,,,Limelight,https://www.lyngsat.com/tvchannels/za/Limelight.html,False,Premium Free
10845 Htp K7Africa0,DVB-S28PSK300002/3,2813.0,Afriwood Blockbuster,,MPEG-4/SD,221.0,222 Eng,,,10845 H,tp K7,0,,,Afriwood Blockbuster,https://www.lyngsat.com/tvchannels/za/Afriwood-Blockbuster.html,False,Premium Free
10845 Htp K7Africa0,DVB-S28PSK300002/3,2813.0,Afriwood Blockbuster,,MPEG-4/SD,221.0,222 Eng,,,10845 H,tp K7,0,,,Afriwood Blockbuster,https://www.lyngsat.com/tvchannels/za/Afriwood-Blockbuster.html,False,Premium Free
10845 Htp K7Africa0,DVB-S28PSK300002/3,2814.0,Cinema Hausa,,MPEG-4/SD,231.0,232 Hau,,,10845 H,tp K7,0,,,Cinema Hausa,https://www.lyngsat.com/tvchannels/--/Cinema-Hausa.html,False,Premium Free
10845 Htp K7Africa0,DVB-S28PSK300002/3,2815.0,Bongo TV (South Africa),,MPEG-4/SD,241.0,242 Eng,,,10845 H,tp K7,0,,,Bongo TV (South Africa),https://www.lyngsat.com/tvchannels/za/Bongo-TV.html,False,Premium Free
10845 Htp K7Africa0,DVB-S28PSK300002/3,2815.0,Bongo TV (South Africa),,MPEG-4/SD,241.0,242 Eng,,,10845 H,tp K7,0,,,Bongo TV (South Africa),https://www.lyngsat.com/tvchannels/za/Bongo-TV.html,False,Premium Free
10845 Htp K7Africa0,DVB-S28PSK300002/3,2816.0,Diva,,MPEG-4/SD,251.0,252 Eng,,,10845 H,tp K7,0,,,Diva,https://www.lyngsat.com/tvchannels/--/Diva.html,False,Premium Free
10845 Htp K7Africa0,DVB-S28PSK300002/3,2817.0,Mindset Liberty Learn,,MPEG-2/SD,261.0,262 Eng,,,10845 H,tp K7,0,,,Mindset Liberty Learn,https://www.lyngsat.com/tvchannels/za/Mindset-Liberty-Learn.html,False,Premium Free
10845 Htp K7Africa0,DVB-S28PSK300002/3,2818.0,RPM,,MPEG-4/SD,271.0,272 Eng,,,10845 H,tp K7,0,,,RPM,https://www.lyngsat.com/tvchannels/--/RPM.html,False,Premium Free
10845 Htp K7Africa0,DVB-S28PSK300002/3,2819.0,Crime & Evidence,,MPEG-4/SD,281.0,282 Eng,,,10845 H,tp K7,0,,,Crime & Evidence,https://www.lyngsat.com/tvchannels/--/Crime-and-Evidence.html,False,Premium Free
10887 Htp K9Africa0,DVB-S28PSK300002/3,2160.0,Nyota TV (Kenya),,MPEG-4/SD,1601.0,1602 Swa,,,10887 H,tp K9,0,,,Nyota TV (Kenya),https://www.lyngsat.com/tvchannels/ke/Nyota-TV.html,False,Premium Free
10887 Htp K9Africa0,DVB-S28PSK300002/3,2166.0,GEB,,MPEG-4/SD,1661.0,1662 Eng,,,10887 H,tp K9,0,,,GEB,https://www.lyngsat.com/tvchannels/us/GEB.html,False,Premium Free
10887 Htp K9Africa0,DVB-S28PSK300002/3,2166.0,GEB,,MPEG-4/SD,1661.0,1662 Eng,,,10887 H,tp K9,0,,,GEB,https://www.lyngsat.com/tvchannels/us/GEB.html,False,Premium Free
10887 Htp K9Africa0,DVB-S28PSK300002/3,2150.0,Hope FM,,,,1502 Eng,,,10887 H,tp K9,0,,,Hope FM,https://www.lyngsat.com/radiochannels/ke/Hope-FM.html,False,Premium Free
10887 Htp K9Africa0,DVB-S28PSK300002/3,2150.0,Hope FM,,,,1502 Eng,,,10887 H,tp K9,0,,,Hope FM,https://www.lyngsat.com/radiochannels/ke/Hope-FM.html,False,Premium Free
10887 Htp K9Africa0,DVB-S28PSK300002/3,2151.0,Radio Miraya,,,,1512 Ara,,,10887 H,tp K9,0,,,Radio Miraya,https://www.lyngsat.com/radiochannels/ss/Radio-Miraya.html,False,Premium Free
10887 Htp K9Africa0,DVB-S28PSK300002/3,2152.0,Biblia Husema Broadcasting,,,,1522 Eng,,,10887 H,tp K9,0,,,Biblia Husema Broadcasting,https://www.lyngsat.com/radiochannels/ke/Biblia-Husema-Broadcasting.html,False,Premium Free
10887 Htp K9Africa0,DVB-S28PSK300002/3,2152.0,Biblia Husema Broadcasting,,,,1522 Eng,,,10887 H,tp K9,0,,,Biblia Husema Broadcasting,https://www.lyngsat.com/radiochannels/ke/Biblia-Husema-Broadcasting.html,False,Premium Free
