Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider
11387 Vtp F10Fixed 20,DVB-S28PSK300003/4,883.0,8 Kanal,,MPEG-4/SD,283.0,383 Rus,,,11387 V,tp F10,0,,,8 Kanal,https://www.lyngsat.com/tvchannels/ru/8-Kanal.html,False,Arktik Telekom
11387 Vtp F10Fixed 20,DVB-S28PSK300003/4,895.0,TNT Music,,MPEG-4/SD,295.0,395 Rus,,,11387 V,tp F10,0,,,TNT Music,https://www.lyngsat.com/tvchannels/ru/TNT-Music.html,False,Arktik Telekom
11387 Vtp F10Fixed 20,DVB-S28PSK300003/4,895.0,TNT Music,,MPEG-4/SD,295.0,395 Rus,,,11387 V,tp F10,0,,,TNT Music,https://www.lyngsat.com/tvchannels/ru/TNT-Music.html,False,Arktik Telekom
11432 Htp F11Fixed 20,DVB-S2XACM28500.,,@ StarBlazer,,,,,,M Shestakov201221,11432 H,tp F11,0,,,,,False,Arktik Telekom
11530 Htp D3Fixed 10,DVB-S28PSK222502/3,803.0,Soyuz,,MPEG-4/SD,203.0,303 Rus,,,11530 H,tp D3,0,,,Soyuz,https://www.lyngsat.com/tvchannels/ru/Soyuz.html,False,Arktik Telekom
11530 Htp D3Fixed 10,DVB-S28PSK222502/3,803.0,Soyuz,,MPEG-4/SD,203.0,303 Rus,,,11530 H,tp D3,0,,,Soyuz,https://www.lyngsat.com/tvchannels/ru/Soyuz.html,False,Arktik Telekom
11530 Htp D3Fixed 10,DVB-S28PSK222502/3,805.0,Juvelirochka,,MPEG-4/SD,205.0,305 Rus,,,11530 H,tp D3,0,,,Juvelirochka,https://www.lyngsat.com/tvchannels/ru/Juvelirochka.html,False,Arktik Telekom
11530 Htp D3Fixed 10,DVB-S28PSK222502/3,805.0,Juvelirochka,,MPEG-4/SD,205.0,305 Rus,,,11530 H,tp D3,0,,,Juvelirochka,https://www.lyngsat.com/tvchannels/ru/Juvelirochka.html,False,Arktik Telekom
11530 Htp D3Fixed 10,DVB-S28PSK222502/3,805.0,Juvelirochka,,MPEG-4/SD,205.0,305 Rus,,,11530 H,tp D3,0,,,Juvelirochka,https://www.lyngsat.com/tvchannels/ru/Juvelirochka.html,False,Arktik Telekom
11530 Htp D3Fixed 10,DVB-S28PSK222502/3,805.0,Juvelirochka,,MPEG-4/SD,205.0,305 Rus,,,11530 H,tp D3,0,,,Juvelirochka,https://www.lyngsat.com/tvchannels/ru/Juvelirochka.html,False,Arktik Telekom
11665 Vtp D8Fixed 10,DVB-S384005/6,738.0,Juvelirochka,,MPEG-2/SD,838.0,938 Rus,,,11665 V,tp D8,0,,,Juvelirochka,https://www.lyngsat.com/tvchannels/ru/Juvelirochka.html,False,Arktik Telekom
11665 Vtp D8Fixed 10,DVB-S384005/6,738.0,Juvelirochka,,MPEG-2/SD,838.0,938 Rus,,,11665 V,tp D8,0,,,Juvelirochka,https://www.lyngsat.com/tvchannels/ru/Juvelirochka.html,False,Arktik Telekom
