Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL
12470 VNE Asia0,DVB-S28PSK300002/3,401,AFN Fans,,,,1720 Eng,PowerVuVerimatrix,,
12470 VNE Asia0,12520 HNE Asia,DVB-S28PSK55003/4,,(SBS feeds),,,,,,T Kameda180829
12470 VNE Asia0,12527 HNE Asia,DVB-S28PSK55003/4,,(SBS feeds),,,,,,T Kameda180829
12470 VNE Asia0,12536 HNE Asia0,DVB-S216APSK81815/6,166,SkyGuide,,?-?HEVC/HD,481,482 Kor,,T Kameda200828
12470 VNE Asia0,12554 HNE Asia0,DVB-S37207/8,2,NHTV (Mon-Fri 08:45-17:15),,0-1HEVC/HD,1000,7.21001 Kor,,T Kameda210201
12577 HNE Asia0,DVB-S28PSK88005/6,,MediaCan,,,,9.4,,T Kameda230217,https://www.lyngsat.com/providers/kr/MediaCan.html
12577 HNE Asia0,DVB-S28PSK88005/6,5,OUN,,MPEG-2/SD,185,186 Kor 187 Kor,,,
12577 HNE Asia0,DVB-S28PSK88005/6,6,National Assembly TV,,MPEG-2/SD,195,196 Kor,,,
12577 HNE Asia0,DVB-S28PSK88005/6,8,EBS Plus 1,,MPEG-2/SD,225,226 Kor 227 Kor,,,
12577 HNE Asia0,DVB-S28PSK88005/6,9,EBS Plus 2,,MPEG-2/SD,230,231 Kor 232 Kor,,,
12577 HNE Asia0,DVB-S28PSK88005/6,10,EBS English,,MPEG-2/SD,235,236 Kor 237 Kor,,,
12590 VNE Asia0,DVB-S28PSK300002/3,,American Forces Network,,18-101,,6.6,PowerVuVerimatrix,T Kameda210130,https://www.lyngsat.com/providers/us/American-Forces-Network.html
12590 VNE Asia0,DVB-S28PSK300002/3,2,AFN Prime Atlantic,,MPEG-4/HD,1260,1220 Eng,PowerVuVerimatrix,,
12590 VNE Asia0,DVB-S28PSK300002/3,3,AFN News,,MPEG-4/HD,1560,1520 Eng,PowerVuVerimatrix,,
12590 VNE Asia0,DVB-S28PSK300002/3,4,AFN Sports,,MPEG-4/HD,1160,1120 Eng,PowerVuVerimatrix,,
12590 VNE Asia0,DVB-S28PSK300002/3,5,AFN Prime Pacific,,MPEG-4/HD,1460,1422 Eng,PowerVuVerimatrix,,
12590 VNE Asia0,DVB-S28PSK300002/3,6,AFN Spectrum,,MPEG-4/HD,1360,1320 Eng,PowerVuVerimatrix,,
12590 VNE Asia0,DVB-S28PSK300002/3,7,AFN Sports 2,,MPEG-4/HD,1660,1622 Eng,PowerVuVerimatrix,,
