Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL
4095 Rtp G19CGlobal,DVB-S2QPSK300003/4,106,BBC News,,MPEG-4/SD,5409,5410 Eng,PowerVu,,
4095 Rtp G19CGlobal,DVB-S2QPSK300003/4,107,Prime Journey,,MPEG-4/SD,5665,5666 Eng,PowerVu,,
4095 Rtp G19CGlobal,DVB-S2QPSK300003/4,108,Sky Sports News UK,,MPEG-4/SD,5921,5922 Eng,PowerVu,,
4095 Rtp G19CGlobal,DVB-S2QPSK300003/4,109,Sport 24,,MPEG-4/HD,6433,6434 Eng,PowerVu,,
4095 Rtp G19CGlobal,DVB-S2QPSK300003/4,110,Prime One,,MPEG-4/SD,6945,6946 Eng,PowerVu,,
4095 Rtp G19CGlobal,DVB-S2QPSK300003/4,111,Sport 24 Extra,,MPEG-4/SD,7201,7202,PowerVu,,
4095 Rtp G19CGlobal,DVB-S2QPSK300003/4,112,RTL Deutschland,,MPEG-4/SD,6689,6690 Ger,PowerVu,,
4095 Rtp G19CGlobal,DVB-S2QPSK300003/4,113,Sky News Australia,,MPEG-4/SD,7457,7458 Eng,PowerVu,,
4095 Rtp G19CGlobal,DVB-S2QPSK300003/4,115,TFC Middle East,,MPEG-4/SD,7969,7970,PowerVu,,
4095 Rtp G19CGlobal,DVB-S2QPSK300003/4,116,Prime Favorites,,MPEG-4/SD,4145,4146,PowerVu,,
4095 Rtp G19CGlobal,DVB-S2QPSK300003/4,117,BBC HD,,MPEG-4/HD,4657,4658 Eng,PowerVu,,
4095 Rtp G19CGlobal,DVB-S2QPSK300003/4,118,TVE Internacional Europa,,MPEG-4/SD,4913,4914 Spa,PowerVu,,
4095 Rtp G19CGlobal,DVB-S2QPSK300003/4,119,Canal 24 Horas,,MPEG-4/SD,5169,5170 Spa,PowerVu,,
4095 Rtp G19CGlobal,DVB-S2QPSK300003/4,120,Australian Comedy & Drama Channel,,MPEG-4/SD,5425,5426 Eng,PowerVu,,
4095 Rtp G19CGlobal,DVB-S2QPSK300003/4,121,ABC News (Australia),,MPEG-4/SD,5681,5682 Eng,PowerVu,,
4095 Rtp G19CGlobal,DVB-S2QPSK300003/4,124,Food Network East,,MPEG-4/SD,6961,6962 Eng,PowerVu,,
4095 Rtp G19CGlobal,DVB-S2QPSK300003/4,125,HGTV East,,MPEG-4/SD,6705,6706 Eng,PowerVu,,
4095 Rtp G19CGlobal,DVB-S2QPSK300003/4,126,Travel Channel East,,MPEG-4/SD,5937,5938 Eng,PowerVu,,
4095 Rtp G19CGlobal,DVB-S2QPSK300003/4,131,France 24 Français,,MPEG-4/SD,4161,4162 Fre,PowerVu,,
4095 Rtp G19CGlobal,DVB-S2QPSK300003/4,132,Mediaset Italia,,MPEG-4/SD,4417,4418 Ita,PowerVu,,
4095 Rtp G19CGlobal,DVB-S2QPSK300003/4,140,Hunan TV,,MPEG-4/SD,6465,6466 Chi,PowerVu,,
4095 Rtp G19CGlobal,DVB-S2QPSK300003/4,143,CCTV 6,,MPEG-4/SD,6449,6450 Chi,PowerVu,,
4095 Rtp G19CGlobal,DVB-S2QPSK300003/4,144,CCTV Entertainment,,MPEG-4/SD,6193,6194 Chi,PowerVu,,
4095 Rtp G19CGlobal,DVB-S2QPSK300003/4,145,CCTV 4 America,,MPEG-4/SD,7729,7730 Chi,PowerVu,,
4095 Rtp G19CGlobal,DVB-S2QPSK300003/4,161,National Geographic UK,,MPEG-4/SD,5649,5650 Eng,PowerVu,,
4095 Rtp G19CGlobal,DVB-S2QPSK300003/4,200,MTN Special Events,,MPEG-4/SD,4401,.402 Eng,PowerVu,,
4095 Rtp G19CGlobal,4095 Ltp G20CGlobal,DVB-S230000,,@ SpeedCast,,,,,,S Holzt120206
4095 Rtp G19CGlobal,10986 Htp SP2KSouth Pacific H,DVB-S2QPSK450008/9,,Canal + Calédonie,,,,6.2,MediaguardNagravision,C Sutton230425
4095 Rtp G19CGlobal,11066 Htp SP4KSouth Pacific H,DVB-S2QPSK450008/9,,Canal + Calédonie,,1-7969,,6.2,MediaguardNagravision,C Sutton230425
4095 Rtp G19CGlobal,11075 Vtp FP3KFrench Polynesia & US0,DVB-S28PSK450003/4,,Vini,,167-7212,,7.9,Viaccess,D Shimoni230125
