Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL
11966 Htp 14Ku0,11987 Vtp 15Ku0,DVB-S3977,,,,,,,,J Newark 2230701
11966 Htp 14Ku0,11993 Htp 16Ku,DVB-S132353/4,,(Texas Lottery feeds),,,,,,ML240301
12028 Htp 18Ku0,DVB-S28PSK220003/4,,STN,,20480-600,,7.9,,Cyberham240306,https://www.lyngsat.com/providers/si/STN.html
12028 Htp 18Ku0,DVB-S28PSK220003/4,7790,TRT Türk,,MPEG-2/SD,7200,7300 Tur,,,
12028 Htp 18Ku0,DVB-S28PSK220003/4,7791,Supreme Master TV,,MPEG-2/SD,7201,7301 Eng,,,
12028 Htp 18Ku0,DVB-S28PSK220003/4,7792,Bayyinat TV,,MPEG-2/SD,7202,7302 Ara,,,
12028 Htp 18Ku0,DVB-S28PSK220003/4,7793,BogBlag TV,,MPEG-2/SD,7203,7303 Rus,,,
12028 Htp 18Ku0,DVB-S28PSK220003/4,7794,Victory Channel (USA),,MPEG-2/SD,7204,7304 Eng,,,
12028 Htp 18Ku0,DVB-S28PSK220003/4,7796,Silk Way,,MPEG-2/SD,7206,7306 Kaz,,,
12028 Htp 18Ku0,DVB-S28PSK220003/4,7797,Kentron TV International,,MPEG-2/SD,7207,7307 Arm,,,
12028 Htp 18Ku0,DVB-S28PSK220003/4,7801,TV TRWAM,,MPEG-4/HD,7841,7861 Pol,,,
12028 Htp 18Ku0,DVB-S28PSK220003/4,7806,Angel TV America,,MPEG-4/HD,7846,7866 Tam,,,
12028 Htp 18Ku0,DVB-S28PSK220003/4,7807,AssyriaSat,,MPEG-2/SD,7847,7867 Syr,,,
12028 Htp 18Ku0,DVB-S28PSK220003/4,7810,Rûdaw,,MPEG-2/SD,7850,7870 Kur,,,
12028 Htp 18Ku0,DVB-S28PSK220003/4,7813,CTN (USA),,MPEG-4/HD,7853,7873 Eng,,,
12028 Htp 18Ku0,DVB-S28PSK220003/4,7818,3ABN English,,MPEG-4/HD,7858,7878 Eng,,,
12028 Htp 18Ku0,DVB-S28PSK220003/4,7819,Amazing Facts TV,,MPEG-2/SD,7859,7879 Eng,,,
12028 Htp 18Ku0,DVB-S28PSK220003/4,7820,Amazing Discoveries TV,,MPEG-2/SD,7860,7880 Eng,,,
12028 Htp 18Ku0,DVB-S28PSK220003/4,7821,Firstlight,,MPEG-2/SD,7891,7901,,,
12028 Htp 18Ku0,DVB-S28PSK220003/4,7798,CJTL Radio,,,,7308 Eng,,,
12028 Htp 18Ku0,DVB-S28PSK220003/4,7799,Faith Radio,,,,7309 Eng,,,
12028 Htp 18Ku0,DVB-S28PSK220003/4,7814,3ABN Radio Music Channel,,,,7874 Eng,,,
12028 Htp 18Ku0,DVB-S28PSK220003/4,7815,3ABN Radio Network,,,,7875 Eng,,,
12028 Htp 18Ku0,DVB-S28PSK220003/4,7816,Radio 74 Internationale,,,,7876 Eng,,,
12028 Htp 18Ku0,DVB-S28PSK220003/4,7817,3ABN Radio Latino,,,,7877 Spa,,,
12028 Htp 18Ku0,DVB-S28PSK220003/4,7901,Radio Maryja,,,,7961 Pol,,,
12053 Vtp 19Ku0,DVB-S220003/4,,Globecast,,?-7,,5.5,,Cyberham240306,https://www.lyngsat.com/providers/fr/Globecast.html
12053 Vtp 19Ku0,DVB-S220003/4,4,Global Mall TV,,MPEG-2/SD,516,515 Vie,,,
12053 Vtp 19Ku0,DVB-S220003/4,15,IBC TV,,MPEG-2/SD,1090,1091 Vie,,,
12053 Vtp 19Ku0,DVB-S220003/4,318,TBN USA,,MPEG-2/SD,33,34 Eng,,,
12053 Vtp 19Ku0,DVB-S220003/4,319,TBN Inspire USA,,MPEG-2/SD,47,48 Eng,,,
12053 Vtp 19Ku0,DVB-S220003/4,321,Smile TV,,MPEG-2/SD,4130,4131 Eng,,,
12053 Vtp 19Ku0,DVB-S220003/4,322,Positiv,,MPEG-2/SD,113,114 Eng,,,
12053 Vtp 19Ku0,DVB-S220003/4,380,Al Maghribia,,MPEG-2/SD,4023,4033 Ara,,,
12053 Vtp 19Ku0,DVB-S220003/4,381,2M Monde,,MPEG-2/SD,272,273 Ara,,,
12053 Vtp 19Ku0,DVB-S220003/4,524,Tele Congo,,MPEG-2/SD,180,181 Fre,,,
12053 Vtp 19Ku0,DVB-S220003/4,527,Armenia 1 TV Satellite,,MPEG-2/SD,592,593 Arm,,,
12053 Vtp 19Ku0,DVB-S220003/4,382,WWCR,,,,761 Eng,,,
12053 Vtp 19Ku0,DVB-S220003/4,525,Radio Congo,,,,182 Fre,,,
12053 Vtp 19Ku0,12060 Htp 20Ku0,,,,,,,,,ML240103
12084 Vtp 21Ku0,DVB-S207603/4,,CCTV,,,,5.5,,Mike 4220305,https://www.lyngsat.com/providers/cn/CCTV.html
12084 Vtp 21Ku0,DVB-S207603/4,1,CCTV 4 America,,MPEG-2/SD,512,65. Chi,,,
12084 Vtp 21Ku0,DVB-S207603/4,2,CGTN,,MPEG-2/SD,513,660 Eng,,,
12084 Vtp 21Ku0,DVB-S207603/4,3,CGTN Français,,MPEG-2/SD,514,670 Fre,,,
12084 Vtp 21Ku0,DVB-S207603/4,7,CGTN Español,,MPEG-2/SD,518,.10 Spa,,,
12084 Vtp 21Ku0,DVB-S207603/4,8,CGTN Documentary,,MPEG-2/SD,519,720 Eng,,,
12146 Vtp 25Ku0,DVB-S220003/4,,Globecast,,?-10,,5.5,,Cyberham240306,https://www.lyngsat.com/providers/fr/Globecast.html
12146 Vtp 25Ku0,DVB-S220003/4,801,Palestine TV,,MPEG-2/SD,2021,2031 Ara,,,
12146 Vtp 25Ku0,DVB-S220003/4,802,Oman TV,,MPEG-4/SD,2022,2032 Ara,,,
12146 Vtp 25Ku0,DVB-S220003/4,803,Sudan TV,,MPEG-2/SD,2023,2033 Ara,,,
12146 Vtp 25Ku0,DVB-S220003/4,805,Ekhbariya TV,,MPEG-2/SD,2025,2035 Ara,,,
12146 Vtp 25Ku0,DVB-S220003/4,807,Sharjah TV,,MPEG-2/SD,2027,2037 Ara,,,
12146 Vtp 25Ku0,DVB-S220003/4,808,Canal Algérie 2,,MPEG-2/SD,2028,2038 Ara,,,
12146 Vtp 25Ku0,DVB-S220003/4,812,Jordan TV,,MPEG-2/SD,2073,2083 Ara,,,
12146 Vtp 25Ku0,DVB-S220003/4,814,SSBC TV,,MPEG-2/SD,2029,2039 Ara,,,
12146 Vtp 25Ku0,DVB-S220003/4,815,KTV 1,,MPEG-4/HD,2074,2084 Ara,,new,
12146 Vtp 25Ku0,DVB-S220003/4,816,KTV Al Qurain,,MPEG-4/HD,2075,2085 Ara,,new,
12146 Vtp 25Ku0,DVB-S220003/4,824,Riyadh Radio,,,,1324 Ara,,,
12146 Vtp 25Ku0,DVB-S220003/4,825,Quran Radio (Saudi Arabia),,,,2105 Ara,,,
12146 Vtp 25Ku0,DVB-S220003/4,831,SSBC Radio,,,,2217 Ara,,,
12146 Vtp 25Ku0,DVB-S220003/4,834,Sharjah Radio,,,,1322 Ara,,,
12152 Htp 26Ku0,DVB-S200003/4,,Globecast,,1-5,,5.5,,Cyberham240306,https://www.lyngsat.com/providers/fr/Globecast.html
12152 Htp 26Ku0,DVB-S200003/4,7,Alwatania TV,,MPEG-2/SD,700,701 Ara,,,
12152 Htp 26Ku0,DVB-S200003/4,8,Quran TV (Saudi Arabia),,MPEG-2/SD,1024,1034 Ara,,,
12152 Htp 26Ku0,DVB-S200003/4,9,Sunna TV (Saudi Arabia),,MPEG-2/SD,1025,1035 Ara,,,
12152 Htp 26Ku0,DVB-S200003/4,10,Saudi TV,,MPEG-4/HD,1021,1031 Ara,,,
12152 Htp 26Ku0,DVB-S200003/4,608,RTP Internacional América,,MPEG-2/SD,800,801 Por,,,
12152 Htp 26Ku0,DVB-S200003/4,604,Jeddah Radio,,,,4523 Ara,,,
12152 Htp 26Ku0,DVB-S200003/4,605,Saudia Radio,,,,3140,,,
12152 Htp 26Ku0,DVB-S200003/4,609,RDP Internacional,,,,901 Por,,,
12177 Vtp 27Ku0,DVB-S230003/4,,Globecast,,0-1,,5.5,,ML240119,https://www.lyngsat.com/providers/fr/Globecast.html
12177 Vtp 27Ku0,DVB-S230003/4,1,Hwazan Satellite TV,,MPEG-2/SD,308,256 Chi,,,
12177 Vtp 27Ku0,DVB-S230003/4,3,RTS 1 (Senegal),,MPEG-2/SD,300,301 Fre,,,
12177 Vtp 27Ku0,DVB-S230003/4,7,Al Mayadeen TV,,MPEG-2/SD,33,34 Ara,,,
12177 Vtp 27Ku0,DVB-S230003/4,8,Muslim Network TV,,MPEG-4/SD,800,801 Eng,,,
12177 Vtp 27Ku0,DVB-S230003/4,9,Yemen TV,,MPEG-2/SD,4896,680 Ara,,,
12177 Vtp 27Ku0,DVB-S230003/4,10,Guide US TV,,MPEG-2/SD,66,67 Eng,,,
12177 Vtp 27Ku0,DVB-S230003/4,11,EEE Network,,MPEG-2/SD,69,70 Spa,,,
12177 Vtp 27Ku0,DVB-S230003/4,12,Good Idea TV,,MPEG-2/SD,56,57 Tha,,,
12177 Vtp 27Ku0,DVB-S230003/4,16,Iran e Aryaee TV,,MPEG-2/SD,6432,6433 Per,,,
12177 Vtp 27Ku0,DVB-S230003/4,17,NAT TV,,MPEG-2/SD,4130,4133 Tha,,,
12177 Vtp 27Ku0,DVB-S230003/4,20,Impact TV Network (USA),,MPEG-2/SD,2000,2001 Rus,,,
12177 Vtp 27Ku0,DVB-S230003/4,21,Parole di Vita,,MPEG-4/HD,501,502 Ita,,,
12177 Vtp 27Ku0,DVB-S230003/4,26,Al-Sirat TV,,MPEG-2/SD,113,114 Ara,,,
12177 Vtp 27Ku0,DVB-S230003/4,27,Bethel TV (Peru),,MPEG-2/SD,5664,5665 Spa,,,
12177 Vtp 27Ku0,DVB-S230003/4,4,Global Star 3,,,,63 Spa,,,
12177 Vtp 27Ku0,DVB-S230003/4,6,Radio Sana'a,,,,681 Ara,,,
12177 Vtp 27Ku0,DVB-S230003/4,13,WRN English North America,,,,49 Eng,,,
12177 Vtp 27Ku0,DVB-S230003/4,15,Radio Mega,,,,45 Fre,,,
12177 Vtp 27Ku0,DVB-S230003/4,23,Republic Broadcasting Network,,,,35 Eng,,,
12184 Htp 28Ku0,DVB-S28PSK225002/3,,Intelsat,,,,6.6,,Cyberham240306,https://www.lyngsat.com/providers/lu/Intelsat.html
12184 Htp 28Ku0,DVB-S28PSK225002/3,1,Al Kass Two,,/HD,100,101 Ara,,,
12184 Htp 28Ku0,DVB-S28PSK225002/3,3,Qatar TV,,/HD,48,49 Ara,,,
12184 Htp 28Ku0,DVB-S28PSK225002/3,4,MTA 8 America,,MPEG-4/HD,300,401 Eng,,,
12184 Htp 28Ku0,DVB-S28PSK225002/3,5,MTA 8 America +3,,MPEG-4/HD,500,601 Eng,,,
12184 Htp 28Ku0,DVB-S28PSK225002/3,6,MTA 3 Al-Arabia,,MPEG-4/HD,301,411 Ara,,,
12184 Htp 28Ku0,DVB-S28PSK225002/3,1001,Wedo Big Stories,,MPEG-4/HD,1000,1001 Eng,,,
