SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Provider_Country
,(feeds),,,4036 H,tp 17,,,,False,,3/4,7500,DVB-S2,,
,(feeds),,,4046 V,tp 18,,,,False,,500,8,DVB-S2,,
,(feeds),,,4055 V,tp 18,,,,False,,500,8,DVB-S2,,
,(feeds),,,4064 V,tp 18,,,,False,,500,8,DVB-S2,,
,(feeds),,,4066 H,tp 19,,,,False,,500,8,DVB-S2,,
,(feeds),,,4073 V,tp 18,,,,False,,500,8,DVB-S2,,
,(feeds),,,4075 H,tp 19,,,,False,,500,8,DVB-S2,,
,(feeds),,,4084 H,tp 19,,,,False,,500,8,DVB-S2,,
,(feeds),,,4086 V,tp 20,,,,False,,500,8,DVB-S2,,
,(feeds),,,4095 V,tp 20,,,,False,,500,8,DVB-S2,,
,(feeds),,,4104 V,tp 20,,,,False,,500,8,DVB-S2,,
,(feeds),,,4114 V,tp 20,,,,False,,3/4,7500,DVB-S2,,
,(feeds),,,4125 V,tp 22,,,,False,,500,8,DVB-S2,,
,(feeds),,,4134 V,tp 22,,,,False,,500,8,DVB-S2,,
,(Texas Lottery feeds),,,4151 H,tp 23,,,,False,,3/4,13235,DVB-S1,,
