SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Channel_Country,Provider_Country
10505.0,TRT Belgesel,MPEG-2/SD,1505.0,11958 V,tp 3,46-50,,,TRT Belgesel,https://www.lyngsat.com/tvchannels/tr/TRT-Belgesel.html,False,TRT,5/6,27500.0,DVB-S2,Tur Eng,tr,
10505.0,TRT Belgesel,MPEG-2/SD,1505.0,11958 V,tp 3,46-50,,,TRT Belgesel,https://www.lyngsat.com/tvchannels/tr/TRT-Belgesel.html,False,TRT,5/6,27500.0,DVB-S2,Tur Eng,tr,
10505.0,TRT Belgesel,MPEG-2/SD,1505.0,11958 V,tp 3,46-50,,,TRT Belgesel,https://www.lyngsat.com/tvchannels/tr/TRT-Belgesel.html,False,TRT,5/6,27500.0,DVB-S2,Tur Eng,tr,
10505.0,TRT Belgesel,MPEG-2/SD,1505.0,11958 V,tp 3,46-50,,,TRT Belgesel,https://www.lyngsat.com/tvchannels/tr/TRT-Belgesel.html,False,TRT,5/6,27500.0,DVB-S2,Tur Eng,tr,
10608.0,TRT Müzik,MPEG-4/HD,1608.0,11794 V,tp 31,46-50,,,TRT Müzik,https://www.lyngsat.com/tvchannels/tr/TRT-Muzik.html,False,TRT,3/4,30000.0,DVB-S2,Tur,tr,
10608.0,TRT Müzik,MPEG-4/HD,1608.0,11794 V,tp 31,46-50,,,TRT Müzik,https://www.lyngsat.com/tvchannels/tr/TRT-Muzik.html,False,TRT,3/4,30000.0,DVB-S2,Tur,tr,
10608.0,TRT Müzik,MPEG-4/HD,1608.0,11794 V,tp 31,46-50,,,TRT Müzik,https://www.lyngsat.com/tvchannels/tr/TRT-Muzik.html,False,TRT,3/4,30000.0,DVB-S2,Tur,tr,
10608.0,TRT Müzik,MPEG-4/HD,1608.0,11794 V,tp 31,46-50,,,TRT Müzik,https://www.lyngsat.com/tvchannels/tr/TRT-Muzik.html,False,TRT,3/4,30000.0,DVB-S2,Tur,tr,
10507.0,TRT Müzik,MPEG-2/SD,1507.0,11958 V,tp 3,46-50,,,TRT Müzik,https://www.lyngsat.com/tvchannels/tr/TRT-Muzik.html,False,TRT,5/6,27500.0,DVB-S2,Tur,tr,
10507.0,TRT Müzik,MPEG-2/SD,1507.0,11958 V,tp 3,46-50,,,TRT Müzik,https://www.lyngsat.com/tvchannels/tr/TRT-Muzik.html,False,TRT,5/6,27500.0,DVB-S2,Tur,tr,
10507.0,TRT Müzik,MPEG-2/SD,1507.0,11958 V,tp 3,46-50,,,TRT Müzik,https://www.lyngsat.com/tvchannels/tr/TRT-Muzik.html,False,TRT,5/6,27500.0,DVB-S2,Tur,tr,
10507.0,TRT Müzik,MPEG-2/SD,1507.0,11958 V,tp 3,46-50,,,TRT Müzik,https://www.lyngsat.com/tvchannels/tr/TRT-Muzik.html,False,TRT,5/6,27500.0,DVB-S2,Tur,tr,
10630.0,TRT Diyanet Çocuk,MPEG-4/HD,1630.0,11794 V,tp 31,46-50,,,TRT Diyanet Çocuk,https://www.lyngsat.com/tvchannels/tr/TRT-Diyanet-Cocuk.html,False,TRT,3/4,30000.0,DVB-S2,Tur,tr,
10630.0,TRT Diyanet Çocuk,MPEG-4/HD,1630.0,11794 V,tp 31,46-50,,,TRT Diyanet Çocuk,https://www.lyngsat.com/tvchannels/tr/TRT-Diyanet-Cocuk.html,False,TRT,3/4,30000.0,DVB-S2,Tur,tr,
,Türksat,1070-43301,,11837 V,tp 33,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html,,,True,Türksat,2/3,30000.0,DVB-S2,,,tr
,Türksat,1070-43301,,11837 V,tp 33,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html,,,True,Türksat,2/3,30000.0,DVB-S2,,,tr
,Türksat,1070-43301,,11837 V,tp 33,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html,,,True,Türksat,2/3,30000.0,DVB-S2,,,tr
,Türksat,1070-43301,,11837 V,tp 33,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html,,,True,Türksat,2/3,30000.0,DVB-S2,,,tr
,Türksat,1070-43301,,11837 V,tp 33,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html,,,True,Türksat,2/3,30000.0,DVB-S2,,,tr
,Türksat,1070-43301,,11837 V,tp 33,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html,,,True,Türksat,2/3,30000.0,DVB-S2,,,tr
,Türksat,1070-43301,,11837 V,tp 33,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html,,,True,Türksat,2/3,30000.0,DVB-S2,,,tr
,Türksat,1070-43301,,11837 V,tp 33,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html,,,True,Türksat,2/3,30000.0,DVB-S2,,,tr
,Türksat,1070-43301,,11837 V,tp 33,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html,,,True,Türksat,2/3,30000.0,DVB-S2,,,tr
,Türksat,1070-40101,,11916 V,tp 1,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html,,,True,Türksat,3/4,30000.0,DVB-S3,,,tr
,Türksat,1070-40101,,11916 V,tp 1,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html,,,True,Türksat,3/4,30000.0,DVB-S3,,,tr
,Türksat,1070-40101,,11916 V,tp 1,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html,,,True,Türksat,3/4,30000.0,DVB-S3,,,tr
,Türksat,1070-40101,,11916 V,tp 1,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html,,,True,Türksat,3/4,30000.0,DVB-S3,,,tr
,Türksat,1070-40101,,11916 V,tp 1,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html,,,True,Türksat,3/4,30000.0,DVB-S3,,,tr
,Türksat,1070-40101,,11916 V,tp 1,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html,,,True,Türksat,3/4,30000.0,DVB-S3,,,tr
,Türksat,1070-40101,,11916 V,tp 1,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html,,,True,Türksat,3/4,30000.0,DVB-S3,,,tr
,Türksat,1070-40101,,11916 V,tp 1,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html,,,True,Türksat,3/4,30000.0,DVB-S3,,,tr
,Türksat,1070-40101,,11916 V,tp 1,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html,,,True,Türksat,3/4,30000.0,DVB-S3,,,tr
,Türksat,1070-41901,,12344 V,tp 19L,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html,,,True,Türksat,3/4,30000.0,DVB-S3,,,tr
,Türksat,1070-41901,,12344 V,tp 19L,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html,,,True,Türksat,3/4,30000.0,DVB-S3,,,tr
,Türksat,1070-41901,,12344 V,tp 19L,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html,,,True,Türksat,3/4,30000.0,DVB-S3,,,tr
,Türksat,1070-41901,,12344 V,tp 19L,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html,,,True,Türksat,3/4,30000.0,DVB-S3,,,tr
,Türksat,1070-41901,,12344 V,tp 19L,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html,,,True,Türksat,3/4,30000.0,DVB-S3,,,tr
,Türksat,1070-41901,,12344 V,tp 19L,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html,,,True,Türksat,3/4,30000.0,DVB-S3,,,tr
,Türksat,1070-41901,,12344 V,tp 19L,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html,,,True,Türksat,3/4,30000.0,DVB-S3,,,tr
,Türksat,1070-41901,,12344 V,tp 19L,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html,,,True,Türksat,3/4,30000.0,DVB-S3,,,tr
,Türksat,1070-41901,,12344 V,tp 19L,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html,,,True,Türksat,3/4,30000.0,DVB-S3,,,tr
,Türksat,1070-41902,,12380 V,tp 19U,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html,,,True,Türksat,3/4,27500.0,DVB-S2,,,tr
,Türksat,1070-41902,,12380 V,tp 19U,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html,,,True,Türksat,3/4,27500.0,DVB-S2,,,tr
,Türksat,1070-41902,,12380 V,tp 19U,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html,,,True,Türksat,3/4,27500.0,DVB-S2,,,tr
,Türksat,1070-41902,,12380 V,tp 19U,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html,,,True,Türksat,3/4,27500.0,DVB-S2,,,tr
,Türksat,1070-41902,,12380 V,tp 19U,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html,,,True,Türksat,3/4,27500.0,DVB-S2,,,tr
,Türksat,1070-41902,,12380 V,tp 19U,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html,,,True,Türksat,3/4,27500.0,DVB-S2,,,tr
,Türksat,1070-41902,,12380 V,tp 19U,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html,,,True,Türksat,3/4,27500.0,DVB-S2,,,tr
,Türksat,1070-41902,,12380 V,tp 19U,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html,,,True,Türksat,3/4,27500.0,DVB-S2,,,tr
,Türksat,1070-41902,,12380 V,tp 19U,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html,,,True,Türksat,3/4,27500.0,DVB-S2,,,tr
,Türksat,1070-42101,,12422 V,tp 21L,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html,,,True,Türksat,3/4,27500.0,DVB-S2,,,tr
,Türksat,1070-42101,,12422 V,tp 21L,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html,,,True,Türksat,3/4,27500.0,DVB-S2,,,tr
,Türksat,1070-42101,,12422 V,tp 21L,46-50,,https://www.lyngsat.com/providers/tr/Turksat.html,,,True,Türksat,3/4,27500.0,DVB-S2,,,tr
