SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Channel_Country,Provider_Country
6190.0,@ Astra Connect,,,12032 H,tp 217,,Nagravision,,,,False,SES,/10,75009.0,DVB-S2,,,
,M7 Group,3-3218,,12051 V,tp 218,,"Conax,Cryptoworks,Irdeto,Mediaguard,Nagravision,Viaccess",https://www.lyngsat.com/providers/lu/M7-Group.html,,,True,M7 Group,2/3,29900.0,DVB-S2,,,lu
7010.0,DreamWorks TV Netherlands,MPEG-4/HD,510.0,12051 V,tp 218,,"Nagravision,Viaccess",,DreamWorks TV Netherlands,https://www.lyngsat.com/tvchannels/us/DreamWorks-TV-Netherlands.html,False,M7 Group,2/3,29900.0,DVB-S2,Dut,us,
7020.0,RTL 4,MPEG-4/HD,514.0,12051 V,tp 218,,"Mediaguard,Nagravision,Viaccess",,RTL 4,https://www.lyngsat.com/tvchannels/nl/RTL-4.html,False,M7 Group,2/3,29900.0,DVB-S2,Dut,nl,
7023.0,RTL 5,MPEG-4/HD,523.0,12051 V,tp 218,,"Mediaguard,Nagravision,Viaccess",,RTL 5,https://www.lyngsat.com/tvchannels/nl/RTL-5.html,False,M7 Group,2/3,29900.0,DVB-S2,Dut,nl,
7027.0,RTL 7,MPEG-4/HD,527.0,12051 V,tp 218,,"Mediaguard,Nagravision,Viaccess",,RTL 7,https://www.lyngsat.com/tvchannels/nl/RTL-7.html,False,M7 Group,2/3,29900.0,DVB-S2,Dut,nl,
7030.0,VTM,MPEG-4/HD,516.0,12051 V,tp 218,,"Mediaguard,Nagravision,Viaccess",,VTM,https://www.lyngsat.com/tvchannels/be/VTM.html,False,M7 Group,2/3,29900.0,DVB-S2,Dut,be,
7036.0,RTL 8,MPEG-4/HD,518.0,12051 V,tp 218,,"Mediaguard,Nagravision,Viaccess",,RTL 8,https://www.lyngsat.com/tvchannels/nl/RTL-8.html,False,M7 Group,2/3,29900.0,DVB-S2,Dut,nl,
7056.0,VTM 2,MPEG-4/HD,556.0,12051 V,tp 218,,"Mediaguard,Nagravision,Viaccess",,VTM 2,https://www.lyngsat.com/tvchannels/be/VTM-2.html,False,M7 Group,2/3,29900.0,DVB-S2,Dut,be,
7057.0,Play 4,MPEG-4/HD,557.0,12051 V,tp 218,,"Mediaguard,Nagravision,Viaccess",,Play 4,https://www.lyngsat.com/tvchannels/be/Play-4.html,False,M7 Group,2/3,29900.0,DVB-S2,Dut,be,
7058.0,RTL Z,MPEG-4/SD,558.0,12051 V,tp 218,,"Mediaguard,Nagravision,Viaccess",,RTL Z,https://www.lyngsat.com/tvchannels/nl/RTL-Z.html,False,M7 Group,2/3,29900.0,DVB-S2,Dut,nl,
7061.0,Play 6,MPEG-4/SD,561.0,12051 V,tp 218,,"Mediaguard,Nagravision,Viaccess",,Play 6,https://www.lyngsat.com/tvchannels/be/Play-6.html,False,M7 Group,2/3,29900.0,DVB-S2,Dut,be,
7063.0,Crime + Investigation Nederland,MPEG-4/SD,563.0,12051 V,tp 218,,"Nagravision,Viaccess",,Crime + Investigation Nederland,https://www.lyngsat.com/tvchannels/us/Crime---Investigation-Nederland.html,False,M7 Group,2/3,29900.0,DVB-S2,Dut,us,
7164.0,ESPN 2 Nederland,MPEG-4/HD,564.0,12051 V,tp 218,,"Mediaguard,Nagravision,Viaccess",,ESPN 2 Nederland,https://www.lyngsat.com/tvchannels/us/ESPN-2-Nederland.html,False,M7 Group,2/3,29900.0,DVB-S2,Dut,us,
7165.0,Nautical Channel,MPEG-4/HD,585.0,12051 V,tp 218,,"Conax,Cryptoworks,Irdeto,Mediaguard,Nagravision,Viaccess",,Nautical Channel,https://www.lyngsat.com/tvchannels/it/Nautical-Channel.html,False,M7 Group,2/3,29900.0,DVB-S2,Eng Fre,it,
7170.0,Doma,MPEG-4/HD,590.0,12051 V,tp 218,,"Conax,Cryptoworks,Irdeto,Nagravision,Viaccess",,Doma,https://www.lyngsat.com/tvchannels/sk/Doma.html,False,M7 Group,2/3,29900.0,DVB-S2,Slo Qaa,sk,
