SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Channel_Country,Provider_Country
,DD Girnar,,,3970 H,tp 7,,,https://www.lyngsat.com/providers/in/DD-Girnar.html,DD Girnar,https://www.lyngsat.com/tvchannels/in/DD-Girnar.html,True,DD Girnar,3/4,6250.0,DVB-S6,,in,in
5.0,DD Girnar,MPEG-2/SD,4450.0,3970 H,tp 7,,,https://www.lyngsat.com/providers/in/DD-Girnar.html,DD Girnar,https://www.lyngsat.com/tvchannels/in/DD-Girnar.html,True,DD Girnar,3/4,6250.0,DVB-S6,Guj,in,in
51.0,(DD Girnar feeds),,4451.0,3970 H,tp 7,,,,,,False,DD Girnar,3/4,6250.0,DVB-S6,,,
1.0,DD Chandana,?-?MPEG-2/SD,4410.0,3976 H,tp 7,,,,,,False,DD Girnar,3/4,3330.0,DVB-S3,Kan,,
,(DD Chandana feeds),,,3981 H,tp 7,,,,,,False,DD Girnar,3/4,2900.0,DVB-S2,,,
,DD Odia,,,3992 H,tp 8,,,https://www.lyngsat.com/providers/in/DD-Odia.html,DD Odia,https://www.lyngsat.com/tvchannels/in/DD-Odia.html,True,DD Odia,3/4,6250.0,DVB-S6,,in,in
6.0,DD Odia,MPEG-2/SD,4460.0,3992 H,tp 8,,,https://www.lyngsat.com/providers/in/DD-Odia.html,DD Odia,https://www.lyngsat.com/tvchannels/in/DD-Odia.html,True,DD Odia,3/4,6250.0,DVB-S6,Ori,in,in
55.0,(DD Odia feeds),,513.0,3992 H,tp 8,,,,,,False,DD Odia,3/4,6250.0,DVB-S6,,,
1.0,DD Kashir,?-?MPEG-2/SD,4741.0,4000 H,tp 8,,,,,,False,DD Odia,3/4,3330.0,DVB-S3,,,
10.0,DD Sahyadri,?-?MPEG-2/SD,257.0,4008 H,tp 8,,,,,,False,DD Odia,3/4,3330.0,DVB-S3,Mar,,
,DD Jalpaiguri,MPEG-2/SD,308.0,4020 H,tp 8,,,,,,False,DD Odia,3/4,4250.0,DVB-S4,,,
103.0,(DD Malayalam feeds),,513.0,4032 H,tp 9,,,,,,False,DD Odia,3/4,6250.0,DVB-S6,,,
51.0,DD Puducherry,MPEG-2/SD,513.0,4051 H,tp 9,,,,DD Puducherry,https://www.lyngsat.com/tvchannels/in/DD-Puducherry.html,False,DD Odia,3/4,8600.0,DVB-S8,Tam,in,
52.0,(DD Tamil feeds),,514.0,4051 H,tp 9,,,,,,False,DD Odia,3/4,8600.0,DVB-S8,,,
1.0,DD Saptagiri,?-?MPEG-2/SD,308.0,4060 H,tp 9,,,,,,False,DD Odia,3/4,4250.0,DVB-S4,Tel,,
,DD Himachal Pradesh,,,4072 H,tp 10,,,https://www.lyngsat.com/providers/in/DD-Himachal-Pradesh.html,DD Himachal Pradesh,https://www.lyngsat.com/tvchannels/in/DD-Himachal-Pradesh.html,True,DD Himachal Pradesh,3/4,6250.0,DVB-S6,,in,in
182.0,DD Himachal Pradesh,MPEG-2/SD,4520.0,4072 H,tp 10,,,https://www.lyngsat.com/providers/in/DD-Himachal-Pradesh.html,DD Himachal Pradesh,https://www.lyngsat.com/tvchannels/in/DD-Himachal-Pradesh.html,True,DD Himachal Pradesh,3/4,6250.0,DVB-S6,,in,in
181.0,(DD Himachal Pradesh feeds),,4521.0,4072 H,tp 10,,,,,,False,DD Himachal Pradesh,3/4,6250.0,DVB-S6,,,
,ITV Network,,,4074 V,,,,https://www.lyngsat.com/providers/in/ITV-Network.html,,,True,ITV Network,8/9,12500.0,DVB-S2,,,in
1.0,India News Haryana,MPEG-4/SD,611.0,4074 V,,,,,India News Haryana,https://www.lyngsat.com/tvchannels/in/India-News-Haryana.html,False,ITV Network,8/9,12500.0,DVB-S2,Hin,in,
2.0,India News Rajasthan,MPEG-4/SD,711.0,4074 V,,,,,India News Rajasthan,https://www.lyngsat.com/tvchannels/in/India-News-Rajasthan.html,False,ITV Network,8/9,12500.0,DVB-S2,,in,
3.0,India News,MPEG-4/SD,811.0,4074 V,,,,,India News,https://www.lyngsat.com/tvchannels/in/India-News.html,False,ITV Network,8/9,12500.0,DVB-S2,,in,
6.0,India News Uttar Pradesh,MPEG-4/SD,1011.0,4074 V,,,,,India News Uttar Pradesh,https://www.lyngsat.com/tvchannels/in/India-News-Uttar-Pradesh.html,False,ITV Network,8/9,12500.0,DVB-S2,Hin,in,
7.0,India News Madhya Pradesh/Chhattisgarh,MPEG-4/SD,1111.0,4074 V,,,,,India News Madhya Pradesh/Chhattisgarh,https://www.lyngsat.com/tvchannels/in/India-News-Madhya-Pradesh-Chhattisgarh.html,False,ITV Network,8/9,12500.0,DVB-S2,Hin,in,
