SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Provider_Country
,DirecTV USA,,,18327 L,tp 1,,Videoguard,,False,,2/3,30000,DVB-S2,,
,DirecTV USA,,,18327 R,tp 2,,Videoguard,,False,,2/3,30000,DVB-S2,,
,DirecTV USA,,,18367 L,tp 3,,Videoguard,,False,,2/3,30000,DVB-S2,,
,DirecTV USA,,,18367 R,tp 4,,Videoguard,,False,,2/3,30000,DVB-S2,,
,DirecTV USA,,,18407 L,tp 5,,Videoguard,,False,,2/3,30000,DVB-S2,,
,DirecTV USA,,,18407 R,tp 6,,Videoguard,,False,,2/3,30000,DVB-S2,,
,DirecTV USA,,,18447 L,tp 7,,Videoguard,,False,,2/3,30000,DVB-S2,,
,DirecTV USA,,,18447 R,tp 8,,Videoguard,,False,,2/3,30000,DVB-S2,,
,DirecTV USA,,,18487 L,tp 9,,Videoguard,,False,,2/3,30000,DVB-S2,,
,DirecTV USA,,,18487 R,tp 10,,Videoguard,,False,,2/3,30000,DVB-S2,,
,DirecTV USA,,,18527 L,tp 11,,Videoguard,,False,,2/3,30000,DVB-S2,,
,DirecTV USA,,,18527 R,tp 12,,Videoguard,,False,,2/3,30000,DVB-S2,,
,DirecTV USA,,,18567 L,tp 13,,Videoguard,,False,,2/3,30000,DVB-S2,,
,DirecTV USA,,,18567 R,tp 14,,Videoguard,,False,,2/3,30000,DVB-S2,,
,DirecTV USA,,,18607 L,tp 15,,Videoguard,,False,,2/3,30000,DVB-S2,,
,DirecTV USA,,,18607 R,tp 16,,Videoguard,,False,,2/3,30000,DVB-S2,,
,DirecTV USA,,,18648 R,tp 18,,Videoguard,,False,,2/3,30000,DVB-S2,,
