SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Provider_Country
1.0,Türksat promo,65281-1MPEG-2/SD,1001.0,10960 H,,,,,False,,1/2,2220,DVB-S2,,
,(feeds),,,10995 H,,,,,False,,5/6,22500,DVB-S2,,
,(feeds),,,11000 H,,,,,False,,5/6,2500,DVB-S2,,
,(feeds),,,11004 H,,,,,False,,5/6,2490,DVB-S2,,
,(feeds),,,11014 H,,,,,False,,5/6,2480,DVB-S2,,
,(feeds),,,11026 H,,,,,False,,5/6,2480,DVB-S2,,
,(feeds),,,11029 H,,,,,False,,5/6,2500,DVB-S2,,
1.0,Türksat promo,65281-1MPEG-2/SD,1001.0,11196 V,,,,,False,,1/2,2220,DVB-S2,,
