SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Channel_Country
25.0,Rádio Mais,,,10975 H,tp 2K,,,,Rádio Mais,https://www.lyngsat.com/radiochannels/ao/Radio-Mais.html,False,UAU!TV,/10,9,DVB-S2,Por,ao
25.0,Rádio Mais,,,10975 H,tp 2K,,,,Rádio Mais,https://www.lyngsat.com/radiochannels/ao/Radio-Mais.html,False,UAU!TV,/10,9,DVB-S2,Por,ao
26.0,Rádio Luanda,,,10975 H,tp 2K,,,,Rádio Luanda,https://www.lyngsat.com/radiochannels/ao/Radio-Luanda.html,False,UAU!TV,/10,9,DVB-S2,Por,ao
26.0,Rádio Luanda,,,10975 H,tp 2K,,,,Rádio Luanda,https://www.lyngsat.com/radiochannels/ao/Radio-Luanda.html,False,UAU!TV,/10,9,DVB-S2,Por,ao
27.0,Ngola Yetu,,,10975 H,tp 2K,,,,Ngola Yetu,https://www.lyngsat.com/radiochannels/ao/Ngola-Yetu.html,False,UAU!TV,/10,9,DVB-S2,Por,ao
27.0,Ngola Yetu,,,10975 H,tp 2K,,,,Ngola Yetu,https://www.lyngsat.com/radiochannels/ao/Ngola-Yetu.html,False,UAU!TV,/10,9,DVB-S2,Por,ao
28.0,Rádio Viana,,,10975 H,tp 2K,,,,Rádio Viana,https://www.lyngsat.com/radiochannels/ao/Radio-Viana.html,False,UAU!TV,/10,9,DVB-S2,Por,ao
28.0,Rádio Viana,,,10975 H,tp 2K,,,,Rádio Viana,https://www.lyngsat.com/radiochannels/ao/Radio-Viana.html,False,UAU!TV,/10,9,DVB-S2,Por,ao
29.0,Rádio Cazenga,,,10975 H,tp 2K,,,,Rádio Cazenga,https://www.lyngsat.com/radiochannels/ao/Radio-Cazenga.html,False,UAU!TV,/10,9,DVB-S2,Por,ao
29.0,Rádio Cazenga,,,10975 H,tp 2K,,,,Rádio Cazenga,https://www.lyngsat.com/radiochannels/ao/Radio-Cazenga.html,False,UAU!TV,/10,9,DVB-S2,Por,ao
