SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages
27007.0,Trikolor Infokanal,MPEG-4/HD,2771.0,12226 L,tp 27,0,,,False,STV,3/4,27500,DVB-S2,Rus
26900.0,[Telepoisk info card],MPEG-4/SD,1201.0,12265 L,tp 29,0,,,False,STV,3/4,27500,DVB-S2,Rus
,RSCC,112-2,,12284 R,tp 30,0,,https://www.lyngsat.com/providers/ru/RSCC.html,True,RSCC,3/4,27500,DVB-S2,
1.0,Krik TV,MPEG-4/SD,500.0,12284 R,tp 30,0,,,False,RSCC,3/4,27500,DVB-S2,Rus
3.0,Oblastnoe TV,MPEG-4/SD,502.0,12284 R,tp 30,0,,,False,RSCC,3/4,27500,DVB-S2,Rus
5.0,Taina Telekanal,MPEG-4/SD,503.0,12284 R,tp 30,0,,,False,RSCC,3/4,27500,DVB-S2,Rus
2.0,Serebryany Dozhd,,,12284 R,tp 30,0,,,False,RSCC,3/4,27500,DVB-S2,Rus
30.0,NRJ Russia,,,12284 R,tp 30,0,,,False,RSCC,3/4,27500,DVB-S2,Rus
,NRJ Russia,,,12399 R,tp 36,0,,,False,RSCC,3/4,27500,DVB-S2,Rus
32.0,Avtoradio,,,12284 R,tp 30,0,,,False,RSCC,3/4,27500,DVB-S2,Rus
,Avtoradio,,,12399 R,tp 36,0,,,False,RSCC,3/4,27500,DVB-S2,Rus
57.0,Humor FM,,,12284 R,tp 30,0,,,False,RSCC,3/4,27500,DVB-S2,Rus
,Humor FM,,,12399 R,tp 36,0,,,False,RSCC,3/4,27500,DVB-S2,Rus
56718.0,TNT 4 (+4h),MPEG-4/SD,218.0,12399 R,tp 36,0,,,False,RSCC,3/4,27500,DVB-S2,Rus
56729.0,Subbota! (+4h),MPEG-4/SD,229.0,12399 R,tp 36,0,,,False,RSCC,3/4,27500,DVB-S2,Rus
56730.0,Telekanal 2x2,MPEG-4/SD,230.0,12399 R,tp 36,0,,,False,RSCC,3/4,27500,DVB-S2,Rus
,Radio Romantika,,,12399 R,tp 36,0,,,False,RSCC,3/4,27500,DVB-S2,Rus
,Radio Vanya,,,12399 R,tp 36,0,,,False,RSCC,3/4,27500,DVB-S2,Rus
,DFM,,,12399 R,tp 36,0,,,False,RSCC,3/4,27500,DVB-S2,Rus
,Russkoe Radio,,,12399 R,tp 36,0,,,False,RSCC,3/4,27500,DVB-S2,Rus
,Hit FM (Russia),,,12399 R,tp 36,0,,,False,RSCC,3/4,27500,DVB-S2,Rus
,Maximum 103.7 FM,,,12399 R,tp 36,0,,,False,RSCC,3/4,27500,DVB-S2,Rus
,Business FM,,,12399 R,tp 36,0,,,False,RSCC,3/4,27500,DVB-S2,Rus
,Militseyskaya Volna,,,12399 R,tp 36,0,,,False,RSCC,3/4,27500,DVB-S2,Rus
,Comedy Radio,,,12399 R,tp 36,0,,,False,RSCC,3/4,27500,DVB-S2,Rus
,Radio Komsomolskaya Pravda,,,12399 R,tp 36,0,,,False,RSCC,3/4,27500,DVB-S2,Rus
,Relax FM,,,12399 R,tp 36,0,,,False,RSCC,3/4,27500,DVB-S2,Rus
,Radio Mir (0h),,,12399 R,tp 36,0,,,False,RSCC,3/4,27500,DVB-S2,Rus
,Detskoe Radio Moskva,,,12399 R,tp 36,0,,,False,RSCC,3/4,27500,DVB-S2,Rus
,Radio Sibir,,,12399 R,tp 36,0,,,False,RSCC,3/4,27500,DVB-S2,Rus
