Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider
10773 Htp 45UK0,DVB-S28PSK230003/4,6383.0,BBC Radio Cymru 2,,,,6010 Wel,,,10773 H,tp 45,0,,,False,Freesat
10773 Htp 45UK0,DVB-S28PSK230003/4,6389.0,BBC Radio London,,,,6013 Eng,,,10773 H,tp 45,0,,,False,Freesat
10788 Vtp 46UK0,DVB-S28PSK230003/4,10310.0,BBC One Channel Islands,,MPEG-4/HD,5300.0,5301 Eng,,,10788 V,tp 46,0,,,False,Freesat
10788 Vtp 46UK0,DVB-S28PSK230003/4,10329.0,BBC Red Button 1,,MPEG-4/HD,5400.0,5401 Eng,,,10788 V,tp 46,0,,,False,Freesat
10788 Vtp 46UK0,DVB-S28PSK230003/4,10331.0,BBC One West,,MPEG-4/HD,5100.0,5101 Eng,,,10788 V,tp 46,0,,,False,Freesat
10788 Vtp 46UK0,DVB-S28PSK230003/4,10335.0,BBC Scotland,,MPEG-4/HD,5000.0,5001 Eng,,,10788 V,tp 46,0,,,False,Freesat
10788 Vtp 46UK0,DVB-S28PSK230003/4,10341.0,BBC One South West,,MPEG-4/HD,5200.0,5201 Eng,,,10788 V,tp 46,0,,,False,Freesat
10788 Vtp 46UK0,DVB-S28PSK230003/4,10332.0,BBC Radio Cymru,,,,6017 Wel,,,10788 V,tp 46,0,,,False,Freesat
10788 Vtp 46UK0,DVB-S28PSK230003/4,10336.0,BBC Radio 6 Music,,,,6016 Eng,,,10788 V,tp 46,0,,,False,Freesat
10788 Vtp 46UK0,DVB-S28PSK230003/4,10339.0,BBC Radio 4 Extra,,,,6014 Eng,,,10788 V,tp 46,0,,,False,Freesat
10788 Vtp 46UK0,DVB-S28PSK230003/4,10340.0,BBC World Service UK,,,,6015 Eng,,,10788 V,tp 46,0,,,False,Freesat
10803 Htp 47UK0,,,,,,,,,J Robinson240330,10803 H,tp 47,0,,,False,Freesat
10906 Vtp 54UK0,,,,,,,,,J Robinson240131,10906 V,tp 54,0,,,False,Freesat
10818 Vtp 48UK0,DVB-S28PSK230003/4,10363.0,BBC One London,,MPEG-4/HD,5000.0,5001 Eng,,,10818 V,tp 48,0,,,False,Freesat
10818 Vtp 48UK0,DVB-S28PSK230003/4,10364.0,BBC Two Wales,,MPEG-4/HD,5200.0,5201 Eng,,,10818 V,tp 48,0,,,False,Freesat
10818 Vtp 48UK0,DVB-S28PSK230003/4,10365.0,BBC Four (19-04),,MPEG-4/HD,5300.0,5301 Eng,,,10818 V,tp 48,0,,,False,Freesat
10818 Vtp 48UK0,DVB-S28PSK230003/4,10366.0,CBeebies UK (06-19),,MPEG-4/HD,5300.0,5301 Eng,,,10818 V,tp 48,0,,,False,Freesat
10818 Vtp 48UK0,DVB-S28PSK230003/4,10373.0,BBC One East,,MPEG-4/HD,5500.0,5501 Eng,,,10818 V,tp 48,0,,,False,Freesat
10818 Vtp 48UK0,DVB-S28PSK230003/4,10374.0,BBC One East Midlands,,MPEG-4/HD,5600.0,5601 Eng,,,10818 V,tp 48,0,,,False,Freesat
10818 Vtp 48UK0,DVB-S28PSK230003/4,10367.0,BBC Radio Ulster,,,,6018 Eng,,,10818 V,tp 48,0,,,False,Freesat
10818 Vtp 48UK0,DVB-S28PSK230003/4,10368.0,BBC Radio Foyle,,,,6019 Eng,,,10818 V,tp 48,0,,,False,Freesat
10818 Vtp 48UK0,DVB-S28PSK230003/4,10377.0,BBC Radio 4 LW,,,,6020 Eng,,,10818 V,tp 48,0,,,False,Freesat
10847 Vtp 50UK0,DVB-S28PSK230003/4,6911.0,BBC One Yorkshire & Lincolnshire,,MPEG-4/HD,5800.0,5801 Eng,,,10847 V,tp 50,0,,,False,Freesat
10847 Vtp 50UK0,DVB-S28PSK230003/4,6931.0,BBC One South East,,MPEG-4/HD,5400.0,5401 Eng,,,10847 V,tp 50,0,,,False,Freesat
10847 Vtp 50UK0,DVB-S28PSK230003/4,6940.0,BBC Two England,,MPEG-4/HD,5500.0,5501 Eng5502 Eng,,,10847 V,tp 50,0,,,False,Freesat
10847 Vtp 50UK0,DVB-S28PSK230003/4,6943.0,BBC One Northern Ireland,,MPEG-4/HD,5300.0,5301 Eng,,,10847 V,tp 50,0,,,False,Freesat
10847 Vtp 50UK0,DVB-S28PSK230003/4,6951.0,BBC Three (19-04),,MPEG-4/HD,5600.0,5601 Eng5602 Eng,,,10847 V,tp 50,0,,,False,Freesat
10847 Vtp 50UK0,DVB-S28PSK230003/4,6952.0,CBBC (07-19),,MPEG-4/HD,5600.0,5601 Eng5602 Eng,,,10847 V,tp 50,0,,,False,Freesat
10847 Vtp 50UK0,DVB-S28PSK230003/4,6985.0,BBC Radio Scotland,,,,6007 Eng,,,10847 V,tp 50,0,,,False,Freesat
