Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider
11918 VWest & Central Africa0,DVB-S2QPSK30000,,ViewMedia,,,,,,P Laschan220609,11918 V,,0.0,,https://www.lyngsat.com/providers/uk/ViewMedia.html,True,ViewMedia
11717 VWest & Central Africa0,DVB-S2QPSK300003/4,,Jesus-Revient TV,,MPEG-4/SD,800.0,1056 Fre,,,11717 V,,0.0,,,False,ViewMedia
11881 VWest & Central Africa0,DVB-S2QPSK300002/3,,Jesus-Revient TV,,MPEG-4/HD,4231.0,4332 Fre,,,11881 V,,0.0,,,False,ViewMedia
12050 VWest & Central Africa0,DVB-S28PSK30000,,Jesus-Revient TV,,MPEG-4/HD,4231.0,4332 Fre,,,12050 V,,0.0,,,False,ViewMedia
11717 VWest & Central Africa0,DVB-S2QPSK300003/4,,Property TV (Ghana),,MPEG-4/SD,801.0,1057 Eng,,,11717 V,,0.0,,,False,ViewMedia
11717 VWest & Central Africa0,DVB-S2QPSK300003/4,,Nazareth TV,,MPEG-4/SD,802.0,1058 Ewe,,,11717 V,,0.0,,,False,ViewMedia
11717 VWest & Central Africa0,DVB-S2QPSK300003/4,,Faith TV (Ivory Coast),,MPEG-4/SD,803.0,1059 Fre,,,11717 V,,0.0,,,False,ViewMedia
11717 VWest & Central Africa0,DVB-S2QPSK300003/4,,Dove TV Africa,,MPEG-4/SD,804.0,1060 Eng,,,11717 V,,0.0,,,False,ViewMedia
11717 VWest & Central Africa0,DVB-S2QPSK300003/4,,Mahanaïm TV,,MPEG-4/SD,805.0,1061 Fre,,,11717 V,,0.0,,,False,ViewMedia
11717 VWest & Central Africa0,DVB-S2QPSK300003/4,,Ambazonia Freedom TV,,MPEG-4/SD,806.0,1062 Eng,,,11717 V,,0.0,,,False,ViewMedia
11717 VWest & Central Africa0,DVB-S2QPSK300003/4,,Mics TV,,MPEG-4/SD,807.0,1063 Fre,,,11717 V,,0.0,,,False,ViewMedia
11717 VWest & Central Africa0,DVB-S2QPSK300003/4,,TF TV,,MPEG-4/SD,808.0,1064 Fre,,,11717 V,,0.0,,,False,ViewMedia
11717 VWest & Central Africa0,DVB-S2QPSK300003/4,,Hijrah TV (Nigeria),,MPEG-4/SD,816.0,1072 Eng,,,11717 V,,0.0,,,False,ViewMedia
11717 VWest & Central Africa0,DVB-S2QPSK300003/4,,Alfaidah Attijaniyya TV,,MPEG-4/SD,818.0,1074,,,11717 V,,0.0,,,False,ViewMedia
11717 VWest & Central Africa0,DVB-S2QPSK300003/4,,Farin Wata TV,,MPEG-4/SD,819.0,1075 Hau,,,11717 V,,0.0,,,False,ViewMedia
11717 VWest & Central Africa0,DVB-S2QPSK300003/4,,Vases d'Honneur TV,,MPEG-4/SD,820.0,1076 Fre,,,11717 V,,0.0,,,False,ViewMedia
11717 VWest & Central Africa0,DVB-S2QPSK300003/4,,CE TV,,MPEG-4/SD,821.0,1077 Fre,,,11717 V,,0.0,,,False,ViewMedia
