Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider
11052 VSSB0,DVB-S2QPSK300003/4,985,Shwe FM,,,,2377 Bur,,,11052 V,,0.0,,,False,STAR TV
11052 VSSB0,DVB-S2QPSK300003/4,990,Shwe FM,,,,2393 Bur,,,11052 V,,0.0,,,False,STAR TV
11052 VSSB0,DVB-S2QPSK300003/4,995,Myanmar International Radio,,,,2409 Bur,,,11052 V,,0.0,,,False,STAR TV
12543 HMENA,,,,,,,,,N Stanislav240317,12543 H,,,,,False,STAR TV
12561 VChina0,DVB-S2QPSK124003/4,,TAS,,,,4.0,,T Kameda210126,12561 V,,0.0,,https://www.lyngsat.com/providers/tw/TAS.html,True,TAS
12561 VChina0,DVB-S2QPSK124003/4,6010,Beautiful Life TV,,MPEG-4/SD,6010.0,6011 Chi,,,12561 V,,0.0,,,False,TAS
12561 VChina0,DVB-S2QPSK124003/4,6020,Life TV (Taiwan),,MPEG-4/SD,6020.0,6021 Chi,,,12561 V,,0.0,,,False,TAS
12561 VChina0,DVB-S2QPSK124003/4,6030,Hwazan Satellite TV,,MPEG-4/HD,6030.0,6031 Chi,,,12561 V,,0.0,,,False,TAS
12561 VChina0,DVB-S2QPSK124003/4,6040,Wei Xin TV,,MPEG-4/HD,6040.0,6041 Chi,,,12561 V,,0.0,,,False,TAS
12561 VChina0,DVB-S2QPSK124003/4,6060,World TV,,MPEG-4/SD,6060.0,6061 Chi,,,12561 V,,0.0,,,False,TAS
12561 VChina0,DVB-S2QPSK124003/4,7010,Da Ai TV,,MPEG-4/HD,7010.0,7011 Chi,,,12561 V,,0.0,,,False,TAS
12575 VChina0,DVB-S2QPSK16002/3,130,Supreme Master TV,,?-?MPEG-2/SD,1301.0,3.11302 Eng,,T Kameda200419,12575 V,,0.0,,,False,TAS
