Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider
12111 Vtp IT1Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 1,3003.0,Arte Italia 125,,MPEG-4/SD,3031.0,3032 Ita,,,12111 V,tp IT1,0,,,False,Cairo Communication
12111 Vtp IT1Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 1,3004.0,Italia 126,,MPEG-4/SD,3041.0,3042 Ita,,,12111 V,tp IT1,0,,,False,Cairo Communication
12111 Vtp IT1Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 1,3005.0,Italia 127,,MPEG-4/SD,3051.0,3052 Ita,,,12111 V,tp IT1,0,,,False,Cairo Communication
12111 Vtp IT1Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 1,3006.0,Italia 135,,MPEG-4/SD,3061.0,3062 Ita,,,12111 V,tp IT1,0,,,False,Cairo Communication
12111 Vtp IT1Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 1,3007.0,Italia 134,,MPEG-4/SD,3071.0,3072 Ita,,,12111 V,tp IT1,0,,,False,Cairo Communication
12111 Vtp IT1Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 1,4002.0,Donna TV,,MPEG-4/SD,412.0,413 Ita,,,12111 V,tp IT1,0,,,False,Cairo Communication
12111 Vtp IT1Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 1,4003.0,Alma TV,,MPEG-4/SD,422.0,423 Ita,,,12111 V,tp IT1,0,,,False,Cairo Communication
12111 Vtp IT1Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 1,4004.0,TeleCampione,,MPEG-4/SD,432.0,433 Ita,,,12111 V,tp IT1,0,,,False,Cairo Communication
12111 Vtp IT1Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 1,4010.0,Parole di Vita,,MPEG-4/SD,492.0,493 Ita,,,12111 V,tp IT1,0,,,False,Cairo Communication
12111 Vtp IT1Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 3,7169.0,Bom Channel,,MPEG-4/SD,212.0,213 Ita,,,12111 V,tp IT1,0,,,False,Cairo Communication
12111 Vtp IT1Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 3,7170.0,Príma Free,,MPEG-4/SD,1018.0,2018 Ita,,,12111 V,tp IT1,0,,,False,Cairo Communication
12111 Vtp IT1Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 3,7172.0,Fascino TV,,MPEG-4/SD,1019.0,2019 Ita,,,12111 V,tp IT1,0,,,False,Cairo Communication
12111 Vtp IT1Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 3,7173.0,Primaset 149,,MPEG-4/SD,1100.0,1101 Ita,,,12111 V,tp IT1,0,,,False,Cairo Communication
12111 Vtp IT1Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 3,7174.0,Canale 165,,MPEG-4/SD,1020.0,2020 Ita,,,12111 V,tp IT1,0,,,False,Cairo Communication
12111 Vtp IT1Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 3,7175.0,Tesory Channel,,MPEG-4/SD,490.0,491 Ita,,,12111 V,tp IT1,0,,,False,Cairo Communication
12111 Vtp IT1Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 3,7176.0,María+Visión Italia,,MPEG-4/SD,1030.0,2030 Ita,,,12111 V,tp IT1,0,,,False,Cairo Communication
12111 Vtp IT1Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 3,7179.0,Genius 240,,MPEG-4/SD,630.0,631 Ita,,,12111 V,tp IT1,0,,,False,Cairo Communication
12111 Vtp IT1Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 3,7181.0,Canale 168,,MPEG-4/SD,2930.0,2931 Ita,,,12111 V,tp IT1,0,,,False,Cairo Communication
12111 Vtp IT1Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 3,7182.0,Canale 169,,MPEG-4/SD,2910.0,2911 Ita,,,12111 V,tp IT1,0,,,False,Cairo Communication
12111 Vtp IT1Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 3,7183.0,Orler TV,,MPEG-4/SD,1040.0,1041 Ita,,,12111 V,tp IT1,0,,,False,Cairo Communication
12111 Vtp IT1Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 3,7184.0,Linea Gem,,MPEG-4/SD,1050.0,1051 Ita,,,12111 V,tp IT1,0,,,False,Cairo Communication
12341 Vtp IT7Italy0,DVB-S28PSK314005/6PLSGold 0MultistreamStream 36,82.0,Linea Gem,,MPEG-4/SD,821.0,822 Ita,,,12341 V,tp IT7,0,,,False,Cairo Communication
12111 Vtp IT1Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 3,7185.0,Deluxe 139,,MPEG-4/SD,410.0,411 Ita,,,12111 V,tp IT1,0,,,False,Cairo Communication
12111 Vtp IT1Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 3,7186.0,Arte Investimenti,,MPEG-4/SD,420.0,421 Ita,,,12111 V,tp IT1,0,,,False,Cairo Communication
12111 Vtp IT1Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 3,7187.0,Cusano News 7,,MPEG-4/HD,1490.0,1491 Ita,,,12111 V,tp IT1,0,,,False,Cairo Communication
12111 Vtp IT1Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 3,7188.0,Equ TV,,MPEG-4/SD,512.0,513 Ita,,,12111 V,tp IT1,0,,,False,Cairo Communication
12111 Vtp IT1Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 3,7189.0,ByoBlu,,MPEG-4/SD,1060.0,1061 Ita,,,12111 V,tp IT1,0,,,False,Cairo Communication
