Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider
3628 Rtp 3C44-45,DVB-S28PSK51203/4T2-MIPLP 1,1090.0,OTR,,MPEG-4/SD,1091.0,1092 Rus,,,3628 R,tp 3,44-45,,,False,RTRS Yamal
3643 Rtp 3C44-45,DVB-S28PSK152843/4T2-MIPLP 1,1090.0,OTR,,MPEG-4/SD,1091.0,1092 Rus,,,3643 R,tp 3,44-45,,,False,RTRS Yamal
3695 Rtp 4C44-45,DVB-S28PSK51203/4T2-MIPLP 1,1090.0,OTR,,MPEG-4/SD,1091.0,1092 Rus,,,3695 R,tp 4,44-45,,,False,RTRS Yamal
3704 Rtp 4C44-45,DVB-S28PSK51303/4T2-MIPLP 1,1090.0,OTR,,MPEG-4/SD,1091.0,1092 Rus,,,3704 R,tp 4,44-45,,,False,RTRS Yamal
3704 Ltp 4AC44-45,DVB-S28PSK152843/4T2-MIPLP 1,1090.0,OTR,,MPEG-4/SD,1091.0,1092 Rus,,,3704 L,tp 4A,44-45,,,False,RTRS Yamal
3803 Ltp 5AC44-45,DVB-S28PSK51303/4T2-MIPLP 1,1090.0,OTR,,MPEG-4/SD,1091.0,1092 Rus,,,3803 L,tp 5A,44-45,,,False,RTRS Yamal
3822 Ltp 5AC44-45,DVB-S28PSK51303/4T2-MIPLP 1,1090.0,OTR,,MPEG-4/SD,1091.0,1092 Rus,,,3822 L,tp 5A,44-45,,,False,RTRS Yamal
3857 Rtp 6C44-45,DVB-S28PSK51303/4T2-MIPLP 1,1090.0,OTR,,MPEG-4/SD,1091.0,1092 Rus,,,3857 R,tp 6,44-45,,,False,RTRS Yamal
3858 Ltp 6AC44-45,DVB-S28PSK51203/4T2-MIPLP 1,1090.0,OTR,,MPEG-4/SD,1091.0,1092 Rus,,,3858 L,tp 6A,44-45,,,False,RTRS Yamal
3864 Rtp 6C44-45,DVB-S28PSK51303/4T2-MIPLP 1,1090.0,OTR,,MPEG-4/SD,1091.0,1092 Rus,,,3864 R,tp 6,44-45,,,False,RTRS Yamal
3881 Rtp 6C44-45,DVB-S28PSK51303/4T2-MIPLP 1,1090.0,OTR,,MPEG-4/SD,1091.0,1092 Rus,,,3881 R,tp 6,44-45,,,False,RTRS Yamal
3921 Rtp 6C44-45,DVB-S28PSK51303/4T2-MIPLP 1,1090.0,OTR,,MPEG-4/SD,1091.0,1092 Rus,,,3921 R,tp 6,44-45,,,False,RTRS Yamal
3964 Ltp 7AC44-45,DVB-S28PSK51203/4T2-MIPLP 1,1090.0,OTR,,MPEG-4/SD,1091.0,1092 Rus,,,3964 L,tp 7A,44-45,,,False,RTRS Yamal
3977 Ltp 7AC44-45,DVB-S28PSK152843/4T2-MIPLP 1,1090.0,OTR,,MPEG-4/SD,1091.0,1092 Rus,,,3977 L,tp 7A,44-45,,,False,RTRS Yamal
4018 Ltp 8AC44-45,DVB-S28PSK51203/4T2-MIPLP 1,1090.0,OTR,,MPEG-4/SD,1091.0,1092 Rus,,,4018 L,tp 8A,44-45,,,False,RTRS Yamal
