Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider
11747 Vtp 2Middle East48,DVB-S275005/6,106.0,Al Ahly TV,,MPEG-4/HD,1006.0,1206 Ara,,,11747 V,tp 2,48,,,False,ERTU
11747 Vtp 2Middle East48,DVB-S275005/6,113.0,Al Ahly TV,,MPEG-2/SD,1029.0,1030 Ara,,,11747 V,tp 2,48,,,False,ERTU
11747 Vtp 2Middle East48,DVB-S275005/6,107.0,Alarabiya,,MPEG-2/SD,1007.0,1207 Ara,,,11747 V,tp 2,48,,,False,ERTU
11747 Vtp 2Middle East48,DVB-S275005/6,108.0,Al Hadath,,MPEG-2/SD,1008.0,1208 Ara,,,11747 V,tp 2,48,,,False,ERTU
11747 Vtp 2Middle East48,DVB-S275005/6,109.0,Mdeeh,,MPEG-2/SD,1009.0,1209 Ara,,,11747 V,tp 2,48,,,False,ERTU
11747 Vtp 2Middle East48,DVB-S275005/6,110.0,[Al-Nahar Cinema test card],,MPEG-2/SD,1010.0,1011,,,11747 V,tp 2,48,,,False,ERTU
11747 Vtp 2Middle East48,DVB-S275005/6,111.0,Yemen Today TV,,MPEG-2/SD,1111.0,1311 Ara,,,11747 V,tp 2,48,,,False,ERTU
11747 Vtp 2Middle East48,DVB-S275005/6,120.0,Alforat TV,,MPEG-2/SD,1016.0,1017 Ara,,,11747 V,tp 2,48,,,False,ERTU
11766 Htp 3Middle East48,DVB-S275005/6,,Nilesat,,2048-5,,6.5,,M Al-Taie240117,11766 H,tp 3,48,,https://www.lyngsat.com/providers/eg/Nilesat.html,True,Nilesat
11766 Htp 3Middle East48,DVB-S275005/6,,Nilesat,,2048-5,,6.5,,M Al-Taie240117,11766 H,tp 3,48,,https://www.lyngsat.com/providers/eg/Nilesat.html,True,Nilesat
11766 Htp 3Middle East48,DVB-S275005/6,,Nilesat,,2048-5,,6.5,,M Al-Taie240117,11766 H,tp 3,48,,https://www.lyngsat.com/providers/eg/Nilesat.html,True,Nilesat
11766 Htp 3Middle East48,DVB-S275005/6,,Nilesat,,2048-5,,6.5,,M Al-Taie240117,11766 H,tp 3,48,,https://www.lyngsat.com/providers/eg/Nilesat.html,True,Nilesat
11766 Htp 3Middle East48,DVB-S275005/6,,Nilesat,,2048-5,,6.5,,M Al-Taie240117,11766 H,tp 3,48,,https://www.lyngsat.com/providers/eg/Nilesat.html,True,Nilesat
11766 Htp 3Middle East48,DVB-S275005/6,,Nilesat,,2048-5,,6.5,,M Al-Taie240117,11766 H,tp 3,48,,https://www.lyngsat.com/providers/eg/Nilesat.html,True,Nilesat
11766 Htp 3Middle East48,DVB-S275005/6,,Nilesat,,2048-5,,6.5,,M Al-Taie240117,11766 H,tp 3,48,,https://www.lyngsat.com/providers/eg/Nilesat.html,True,Nilesat
11766 Htp 3Middle East48,DVB-S275005/6,,Nilesat,,2048-5,,6.5,,M Al-Taie240117,11766 H,tp 3,48,,https://www.lyngsat.com/providers/eg/Nilesat.html,True,Nilesat
11785 Vtp 4Middle East48,DVB-S275005/6,,Nilesat,,2048-18,,6.5,,R Cervi230825,11785 V,tp 4,48,,https://www.lyngsat.com/providers/eg/Nilesat.html,True,Nilesat
