Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider
10960 Vtp 2KCentral Asia,DVB-S28PSK75005/6,,(feeds),,,,,,Roli231203,10960 V,tp 2K,,,,False,
10998 Vtp 4KEurope,DVB-S28PSK29625/6,,(feeds),,,,,,Roli200301,10998 V,tp 4K,,,,False,
11007 Vtp 4KEurope,DVB-S28PSK100005/6,,(feeds),,,,,,Roli191204,11007 V,tp 4K,,,,False,
11017 Htp 3KEurope,DVB-S28PSK58323/4,,(feeds),,,,,,Stanley_cassidyRoli240317,11017 H,tp 3K,,,,False,
11024 Htp 3KEurope,DVB-S2QPSK58323/4,,(feeds),,,,,,Stanley_cassidyRoli240317,11024 H,tp 3K,,,,False,
11030 Htp 3KEurope,DVB-S251853/4,,(feeds),,,,,,Stanley_cassidy240317,11030 H,tp 3K,,,,False,
11037 Vtp 6KCentral Asia,DVB-S225005/6,,(feeds),,,,,,Stanley_cassidy211014,11037 V,tp 6K,,,,False,
11042 Htp 5KEurope,DVB-S28PSK33335/6,,(feeds),,,,,,Roli180826,11042 H,tp 5K,,,,False,
11042 Vtp 6KCentral Asia,DVB-S28PSK25005/6,,(feeds),,,,,,Roli220715,11042 V,tp 6K,,,,False,
11046 Htp 5KEurope,DVB-S28PSK25005/6,,(feeds),,,,,,Jamie A180622,11046 H,tp 5K,,,,False,
11048 Vtp 6KCentral Asia,DVB-S28PSK24805/6,,(feeds),,,,,,Roli220715,11048 V,tp 6K,,,,False,
11049 Htp 5KEurope,DVB-S28PSK33335/6,,(feeds),,,,,,Roli180418,11049 H,tp 5K,,,,False,
11058 Htp 5KEurope,DVB-S28PSK75005/6,,(feeds),,,,,,Roli240119,11058 H,tp 5K,,,,False,
11060 Vtp 6KCentral Asia,DVB-S28PSK50005/6,,(feeds),,,,,,N Stanislav220514,11060 V,tp 6K,,,,False,
11071 Htp 5KEurope,DVB-S28PSK33333/4,,(feeds),,,,,,Roli240305,11071 H,tp 5K,,,,False,
11071 Vtp 6KCentral Asia,DVB-S28PSK33305/6,,(feeds),,,,,,Roli220612,11071 V,tp 6K,,,,False,
11077 Vtp 8KCentral Asia,DVB-S28PSK22225/6,,(feeds),,,,,,N Stanislav210721,11077 V,tp 8K,,,,False,
11088 Vtp 8KCentral Asia,DVB-S275003/4,,(feeds),,,,,,Stanley_cassidy200719,11088 V,tp 8K,,,,False,
11119 Vtp 10KEurope,DVB-S28PSK50003/4,,(feeds),,,,,,Roli230215,11119 V,tp 10K,,,,False,
11126 Vtp 10KEurope,DVB-S28PSK75003/4,,(feeds),,,,,,Roli220828,11126 V,tp 10K,,,,False,
11132 Vtp 10KEurope,DVB-S28PSK25005/6,,(feeds),,,,,,Roli230430,11132 V,tp 10K,,,,False,
11135 Vtp 10KEurope,DVB-S28PSK25005/6,,(feeds),,,,,,Roli230430,11135 V,tp 10K,,,,False,
11143 Vtp 10KEurope,DVB-S2QPSK58003/4,,(feeds),,,,,,Roli230513,11143 V,tp 10K,,,,False,
11147 Vtp 10KEurope,DVB-S21003/4,,(feeds),,,,,,N Stanislav220514,11147 V,tp 10K,,,,False,
11150 Vtp 10KEurope,DVB-S28PSK33305/6,,(feeds),,,,,,Roli230310,11150 V,tp 10K,,,,False,
11162 Vtp 12KEurope,DVB-S272003/4,,(feeds),,,,,,Stanley_cassidy220627,11162 V,tp 12K,,,,False,
11174 Vtp 12KEurope,DVB-S232005/6,,(feeds),,,,,,Onacila181028,11174 V,tp 12K,,,,False,
11184 Vtp 12KEurope,DVB-S216APSK20604/5,,(feeds),,,,,,N Stanislav220702,11184 V,tp 12K,,,,False,
11187 Vtp 12KEurope,DVB-S225005/6,,(feeds),,,,,,Stanley_cassidy201023,11187 V,tp 12K,,,,False,
3922 Vtp 6CAfrica & Europe,DVB-S28PSK25005/6,2.0,Wasafi TV,,?-?MPEG-4/SD,515.0,9.4 517,,DX Bozóth230719,3922 V,tp 6C,,,,False,
3922 Vtp 6CAfrica & Europe,DVB-S28PSK25005/6,1.0,Wasafi FM,,,,4117,,,3922 V,tp 6C,,,,False,
3993 Vtp 8CAfrica & Europe,DVB-S2QPSK16665/6,1.0,Plus TV Africa,,?-?MPEG-4/SD,512.0,5.24112 Eng,,DX Bozóth230709,3993 V,tp 8C,,,,False,
4003 Vtp 8CAfrica & Europe,DVB-S28PSK22043/5,1.0,Hi-Impact TV,,?-?MPEG-4/HD,258.0,5.5 257 Eng,,DX Bozóth240305,4003 V,tp 8C,,,,False,
4003 Vtp 8CAfrica & Europe,DVB-S28PSK22043/5,2.0,Hi-Impact Radio,,,,530 Eng,,,4003 V,tp 8C,,,,False,
4005 Vtp 8CAfrica & Europe,DVB-S2QPSK16005/6,1.0,Salvation Ministries,,?-?MPEG-4/SD,512.0,5.24112 Eng,,DX Bozóth230811,4005 V,tp 8C,,,,False,
4112 Vtp 11CAfrica & Europe,DVB-S28PSK24323/4,2.0,Channel Ten,,1-1MPEG-4/SD,49.0,7.9  50 Eng,,DX Bozóth230711,4112 V,tp 11C,,,,False,
4112 Vtp 11CAfrica & Europe,DVB-S28PSK24323/4,1.0,Magic FM (Tanzania),,,,258 Eng,,,4112 V,tp 11C,,,,False,
4112 Vtp 11CAfrica & Europe,DVB-S28PSK24323/4,3.0,Classic FM (Tanzania),,,,35 Eng,,,4112 V,tp 11C,,,,False,
4115 Vtp 11CAfrica & Europe,DVB-S2QPSK11908/9,1.0,TV Imaan,,?-?MPEG-4/SD,512.0,6.24112,,N Stanislav230604,4115 V,tp 11C,,,,False,
4115 Vtp 11CAfrica & Europe,DVB-S2QPSK11908/9,2.0,Radio Imaan FM,,,,4114 Eng,,,4115 V,tp 11C,,,,False,
4117 Vtp 11CAfrica & Europe,DVB-S28PSK11663/4,257.0,Mwangaza TV,,?-?MPEG-4/SD,257.0,7.9 258,,N Stanislav230604,4117 V,tp 11C,,,,False,
4119 Vtp 11CAfrica & Europe,DVB-S28PSK12003/5,257.0,Celebration TV,,?-?MPEG-4/SD,257.0,5.5 258 Eng,,N Stanislav230604,4119 V,tp 11C,,,,False,
4125 Vtp 11CAfrica & Europe,DVB-S28PSK10573/4,257.0,Celebration TV,,?-?MPEG-4/SD,257.0,7.9 258 Eng,,DX Bozóth230109,4125 V,tp 11C,,,,False,
4121 Vtp 11CAfrica & Europe,DVB-S28PSK11903/4,1.0,Lagos TV,,?-?MPEG-4/SD,103.0,7.9 104 Eng,,DX Bozóth230109,4121 V,tp 11C,,,,False,
4123 Vtp 11CAfrica & Europe,DVB-S2QPSK23813/4,1.0,Star TV (Tanzania),,?-?MPEG-2/SD,4194.0,4.04195 Swa,,DX Bozóth180819,4123 V,tp 11C,,,,False,
4127 Vtp 11CAfrica & Europe,DVB-S2QPSK23805/6,3.0,TV Sapientia,,?-?MPEG-4/HD,481.0,5.2 482 Eng,,Zelda230702,4127 V,tp 11C,,,,False,
4130 Vtp 11CAfrica & Europe,DVB-S28PSK20003/4,1.0,TV E,,?-?MPEG-4/HD,260.0,7.9 259 Eng,,DX Bozóth190907,4130 V,tp 11C,,,,False,
4130 Vtp 11CAfrica & Europe,DVB-S28PSK20003/4,2.0,EFM,,,,514 Swa,,,4130 V,tp 11C,,,,False,
4132 Vtp 11CAfrica & Europe,DVB-S2QPSK18435/6,1.0,Clouds TV,,8192-4096MPEG-4/SD,512.0,5.24112 Eng,,Zelda230518,4132 V,tp 11C,,,,False,
