Freq/beam,SID,Provider/Channel,Compression,VPID,Encryption,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Freq
12169 VArgentina,,(feeds),,,,,False,,200,23,DVB-S2,,12169 V
12175 VArgentina,,(feeds),,,,,False,,800,22,DVB-S2,,12175 V
12181 VArgentina,,(feeds),,,,,False,,800,24,DVB-S2,,12181 V
11590 VArgentina0,,Arsat,1-20,,,https://www.lyngsat.com/providers/ar/Arsat.html,True,Arsat,5/6,30000,DVB-S2,,11590 V
11590 VArgentina0,53.0,[Presidencia Argentina info card],MPEG-4/HD,37.0,,,False,Arsat,5/6,30000,DVB-S2,Spa,11590 V
11590 VArgentina0,54.0,Cine.ar,MPEG-4/HD,33.0,,,False,Arsat,5/6,30000,DVB-S2,Spa Qaa,11590 V
11590 VArgentina0,133.0,Cine.ar,MPEG-4/HD,2091.0,,,False,Arsat,5/6,30000,DVB-S2,Spa,11590 V
11670 VArgentina0,9.0,Cine.ar,MPEG-4/HD,400.0,,,False,Arsat,5/6,30000,DVB-S2,Spa,11670 V
11590 VArgentina0,121.0,Lapacho Canal 11,MPEG-4/SD,2001.0,,,False,Arsat,5/6,30000,DVB-S2,Spa,11590 V
12112 VArgentina0,1.0,Lapacho Canal 11,1-1MPEG-4/HD,512.0,,,False,Arsat,3/4,4800,DVB-S2,Spa,12112 V
11590 VArgentina0,122.0,Canal 7 Chubut,MPEG-4/SD,2011.0,,,False,Arsat,5/6,30000,DVB-S2,Spa,11590 V
12062 VArgentina0,2.0,Canal 7 Chubut,?-?,33.0,,,False,Arsat,170,24,DVB-S2,Spa,12062 V
11590 VArgentina0,123.0,Doce TV,MPEG-4/SD,2021.0,,,False,Arsat,5/6,30000,DVB-S2,Spa,11590 V
12086 VArgentina0,1.0,Doce TV,?-?MPEG-2/SD,1160.0,,,False,Arsat,2/3,4170,DVB-S4,Spa,12086 V
11590 VArgentina0,124.0,Canal 2,MPEG-4/SD,2031.0,,,False,Arsat,5/6,30000,DVB-S2,Spa,11590 V
11590 VArgentina0,125.0,Diputados TV,MPEG-4/HD,2041.0,,,False,Arsat,5/6,30000,DVB-S2,Spa,11590 V
11590 VArgentina0,126.0,Canal Nueve Santa Cruz,MPEG-4/SD,2051.0,,,False,Arsat,5/6,30000,DVB-S2,Spa,11590 V
12055 HArgentina0,1.0,Canal Nueve Santa Cruz,?-?MPEG-4/HD,66.0,,,False,Arsat,963,22,DVB-S2,Spa,12055 H
12058 HArgentina0,1.0,Canal Nueve Santa Cruz,MPEG-2/SD,66.0,,,False,Arsat,170,4,DVB-S4,Spa,12058 H
11590 VArgentina0,127.0,TV Pública Fueguina,MPEG-4/SD,2061.0,,,False,Arsat,5/6,30000,DVB-S2,Spa,11590 V
12136 VArgentina0,1.0,TV Pública Fueguina,?-?/HD,544.0,,,False,Arsat,750,23,DVB-S2,Spa,12136 V
11590 VArgentina0,128.0,El Destape TV,MPEG-4/HD,2071.0,,,False,Arsat,5/6,30000,DVB-S2,Spa,11590 V
11670 VArgentina0,8.0,El Destape TV,MPEG-4/HD,384.0,,,False,Arsat,5/6,30000,DVB-S2,Spa,11670 V
11590 VArgentina0,129.0,Extra!,MPEG-4/HD,2081.0,,,False,Arsat,5/6,30000,DVB-S2,Spa,11590 V
11590 VArgentina0,126.0,LU14 Radio Provincia,,,,,False,Arsat,5/6,30000,DVB-S2,Spa,11590 V
12055 HArgentina0,1.0,LU14 Radio Provincia,,,,,False,Arsat,963,22,DVB-S2,Spa,12055 H
