Freq/beam,SID,Provider/Channel,Compression,VPID,Encryption,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Freq
12380 Ltp ER35Fixed 10,,Trikolor,,,ExsetDRECryptDREGuard,,False,,3/4,27500,DVB-S2,,12380 L
12399 Htp EA36Fixed 20,,DSTV Africa,878-65426,,Irdeto,,False,,3/4,27500,DVB-S2,,12399 H
12399 Rtp ER36Fixed 10,,NTV Plus,112-12,,CompunicateViaccess,,False,,3/4,27500,DVB-S2,,12399 R
12418 Vtp EA37Fixed 20,,GoTV Africa,,,Irdeto,,False,,P 1,,DVB-S2,,12418 V
12418 Vtp EA37Fixed 20,4.0,GoTV Guide,MPEG-4/SD,2004.0,,,False,,P 1,,DVB-S2,Eng,12418 V
12418 Vtp EA37Fixed 20,198.0,Ghana Learning TV,MPEG-4/SD,2198.0,,,False,,P 1,,DVB-S2,Eng,12418 V
12418 Vtp EA37Fixed 20,214.0,Ghana TV,MPEG-4/SD,2214.0,,,False,,P 1,,DVB-S2,Eng,12418 V
12418 Vtp EA37Fixed 20,282.0,ZNBC TV 1,MPEG-4/SD,2282.0,,,False,,P 1,,DVB-S2,Eng,12418 V
12418 Vtp EA37Fixed 20,283.0,ZNBC TV 2,MPEG-4/SD,2283.0,,,False,,P 1,,DVB-S2,Eng,12418 V
12418 Vtp EA37Fixed 20,290.0,ENews Channel Africa,MPEG-4/SD,2290.0,,,False,,P 1,,DVB-S2,Eng,12418 V
12418 Ltp ER37Fixed 10,,Trikolor,253-37,,ExsetDRECryptDREGuard,,False,,3/4,27500,DVB-S2,,12418 L
12437 Rtp ER38Fixed 10,,NTV Plus,112-4,,CompunicateViaccess,,False,,3/4,27500,DVB-S2,,12437 R
12440 Htp EA38Fixed 20,,DSTV Africa,878-65503,,Irdeto,,False,,3/4,27500,DVB-S2,,12440 H
12456 Ltp ER39Fixed 10,,Trikolor,253-39,,ExsetDRECryptDREGuard,,False,,3/4,27500,DVB-S2,,12456 L
12476 Htp EA40Fixed 20,,DSTV Africa,878-65501,,Irdeto,,False,,3/4,27500,DVB-S2,,12476 H
12476 Rtp ER40Fixed 10,,Trikolor,253-40,,ExsetDRECryptDREGuard,,False,,3/4,27500,DVB-S2,,12476 R
