Freq/beam,SID,Provider/Channel,Compression,VPID,Encryption,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Freq
12470 VNE Asia0,21.0,AFN The Voice,,,PowerVuVerimatrix,,False,American Forces Network,2/3,30000,DVB-S2,Eng,12470 V
12590 VNE Asia0,21.0,AFN The Voice,,,PowerVuVerimatrix,,False,American Forces Network,2/3,30000,DVB-S2,Eng,12590 V
12470 VNE Asia0,22.0,AFN PowerTalk,,,PowerVuVerimatrix,,False,American Forces Network,2/3,30000,DVB-S2,Eng,12470 V
12590 VNE Asia0,22.0,AFN PowerTalk,,,PowerVuVerimatrix,,False,American Forces Network,2/3,30000,DVB-S2,Eng,12590 V
12470 VNE Asia0,23.0,AFN Clutch,,,PowerVuVerimatrix,,False,American Forces Network,2/3,30000,DVB-S2,Eng,12470 V
12590 VNE Asia0,23.0,AFN Clutch,,,PowerVuVerimatrix,,False,American Forces Network,2/3,30000,DVB-S2,Eng,12590 V
12470 VNE Asia0,24.0,AFN Fans,,,PowerVuVerimatrix,,False,American Forces Network,2/3,30000,DVB-S2,Eng,12470 V
12470 VNE Asia0,401.0,AFN Fans,,,PowerVuVerimatrix,,False,American Forces Network,2/3,30000,DVB-S2,Eng,12470 V
12590 VNE Asia0,24.0,AFN Fans,,,PowerVuVerimatrix,,False,American Forces Network,2/3,30000,DVB-S2,Eng,12590 V
12590 VNE Asia0,401.0,AFN Fans,,,PowerVuVerimatrix,,False,American Forces Network,2/3,30000,DVB-S2,Eng,12590 V
12470 VNE Asia0,25.0,AFN The Blend,,,PowerVuVerimatrix,,False,American Forces Network,2/3,30000,DVB-S2,Eng,12470 V
12590 VNE Asia0,25.0,AFN The Blend,,,PowerVuVerimatrix,,False,American Forces Network,2/3,30000,DVB-S2,Eng,12590 V
12470 VNE Asia0,26.0,AFN Legacy,,,PowerVuVerimatrix,,False,American Forces Network,2/3,30000,DVB-S2,Eng,12470 V
12590 VNE Asia0,26.0,AFN Legacy,,,PowerVuVerimatrix,,False,American Forces Network,2/3,30000,DVB-S2,Eng,12590 V
