Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL
11618 Vtp DW8Western0,DVB-S28PSK275003/4MultistreamStream 16,2,2M National,,MPEG-2/SD,121,122 Ara,,,11618 V,tp DW8,0,,
11618 Vtp DW8Western0,DVB-S28PSK275003/4MultistreamStream 16,4,Athaqafia,,MPEG-2/SD,141,142 Ara,,,11618 V,tp DW8,0,,
11618 Vtp DW8Western0,DVB-S28PSK275003/4MultistreamStream 16,5,Al Maghribia,,MPEG-2/SD,151,152 Ara,,,11618 V,tp DW8,0,,
11618 Vtp DW8Western0,DVB-S28PSK275003/4MultistreamStream 16,6,Assadissa,,MPEG-2/SD,161,162 Ara,,,11618 V,tp DW8,0,,
11618 Vtp DW8Western0,DVB-S28PSK275003/4MultistreamStream 32,16,Assadissa,,MPEG-4/HD,1601,1602 Ara,,,11618 V,tp DW8,0,,
11618 Vtp DW8Western0,DVB-S28PSK275003/4MultistreamStream 16,11,Medi 1 TV Maghreb,,MPEG-2/SD,1101,1102 Fre,,,11618 V,tp DW8,0,,
11618 Vtp DW8Western0,DVB-S28PSK275003/4MultistreamStream 32,7,Aflam TV (Morocco),,MPEG-4/HD,171,172 Ara,,,11618 V,tp DW8,0,,
11618 Vtp DW8Western0,DVB-S28PSK275003/4MultistreamStream 32,8,Tamazight,,MPEG-2/SD,181,256 Ara,,,11618 V,tp DW8,0,,
11618 Vtp DW8Western0,DVB-S28PSK275003/4MultistreamStream 32,9,Laayoune TV,,MPEG-2/SD,91,92 Ara,,,11618 V,tp DW8,0,,
11618 Vtp DW8Western0,DVB-S28PSK275003/4MultistreamStream 48,11,Idaa al Watania,,,,256 Ara,,,11618 V,tp DW8,0,,
11618 Vtp DW8Western0,DVB-S28PSK275003/4MultistreamStream 48,20,Radio Tanger,,,,295,,,11618 V,tp DW8,0,,
11618 Vtp DW8Western0,DVB-S28PSK275003/4MultistreamStream 48,21,Chaîne Inter,,,,257,,,11618 V,tp DW8,0,,
11618 Vtp DW8Western0,DVB-S28PSK275003/4MultistreamStream 48,30,Radio Fes,,,,293,,,11618 V,tp DW8,0,,
11618 Vtp DW8Western0,DVB-S28PSK275003/4MultistreamStream 48,31,Idaa al Amazighia,,,,258 Ara,,,11618 V,tp DW8,0,,
11618 Vtp DW8Western0,DVB-S28PSK275003/4MultistreamStream 48,40,Radio Marrakech,,,,294,,,11618 V,tp DW8,0,,
11618 Vtp DW8Western0,DVB-S28PSK275003/4MultistreamStream 48,41,Idaa Mohammed Assadiss,,,,259 Ara,,,11618 V,tp DW8,0,,
11618 Vtp DW8Western0,DVB-S28PSK275003/4MultistreamStream 48,50,Radio Agadir,,,,501,,,11618 V,tp DW8,0,,
11618 Vtp DW8Western0,DVB-S28PSK275003/4MultistreamStream 48,54,Radio Casablanca,,,,541,,,11618 V,tp DW8,0,,
11618 Vtp DW8Western0,DVB-S28PSK275003/4MultistreamStream 48,70,Radio Tétouan,,,,701,,,11618 V,tp DW8,0,,
11618 Vtp DW8Western0,DVB-S28PSK275003/4MultistreamStream 48,80,Radio Meknes,,,,801,,,11618 V,tp DW8,0,,
11618 Vtp DW8Western0,DVB-S28PSK275003/4MultistreamStream 48,572,Radio Houceima,,,,601,,,11618 V,tp DW8,0,,
11622 Htp DM9Wide47,DVB-S28PSK12503/4,1,Al-Iman TV (Lebanon),,65535-1MPEG-4/SD,308,7.9 256 Ara,,N Stanislav231009,11622 H,tp DM9,47,,
11622 Htp DM9Wide47,DVB-S28PSK12503/4,1,Radio Albachaer,,,,257 Ara,,,11622 H,tp DM9,47,,
11627 Vtp DE8Eastern,DVB-S28PSK144003/5T2-MIPLP 0,,Oman TV,,1-1,,5.5,,EnoSat221127,11627 V,tp DE8,,,https://www.lyngsat.com/providers/--/Oman-TV.html
11627 Vtp DE8Eastern,DVB-S28PSK144003/5T2-MIPLP 0,1100,Oman TV,,HEVC/HD,1110,1120 Ara,,,11627 V,tp DE8,,,https://www.lyngsat.com/providers/--/Oman-TV.html
11627 Vtp DE8Eastern,DVB-S28PSK144003/5T2-MIPLP 0,1200,Oman TV Sport,,HEVC/HD,1210,1220 Ara,,,11627 V,tp DE8,,,
11627 Vtp DE8Eastern,DVB-S28PSK144003/5T2-MIPLP 0,1300,Oman TV Mubashir,,HEVC/HD,1310,1320 Ara,,,11627 V,tp DE8,,,
11627 Vtp DE8Eastern,DVB-S28PSK144003/5T2-MIPLP 0,1700,Radio Oman,,,,1720,,,11627 V,tp DE8,,,
11627 Vtp DE8Eastern,DVB-S28PSK144003/5T2-MIPLP 0,1800,Al-Shabab,,,,1820 Ara,,,11627 V,tp DE8,,,
11627 Vtp DE8Eastern,DVB-S28PSK144003/5T2-MIPLP 0,1900,Radio Oman FM,,,,1920 Eng,,,11627 V,tp DE8,,,
