Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL
11747 Rtp ER2Fixed 10,DVB-S28PSK275003/4,,Trikolor,,253-2,,7.9,ExsetDRECryptDREGuard,N Stanislav231013,11747 R,tp ER2,0,"Exset,DRECrypt,DREGuard",
12073 Ltp ER19Fixed 10,DVB-S28PSK275003/4,,Trikolor,,253-19,,7.9,ExsetDRECryptDREGuard,N Stanislav240212,12073 L,tp ER19,0,"Exset,DRECrypt,DREGuard",
12092 Htp EA20Fixed 20,DVB-S28PSK275002/3,,DSTV Africa,,878-65432,,6.6,Irdeto,Anonymous240118,12092 H,tp EA20,0,Irdeto,
12111 Vtp EA21Fixed 20,DVB-S28PSK275002/3,,DSTV Africa,,878-65440,,6.6,Irdeto,Anonymous231128,12111 V,tp EA21,0,Irdeto,
12111 Ltp ER21Fixed 10,DVB-S28PSK275003/4,,Trikolor,,253-21,,7.9,ExsetDRECryptDREGuard,N Stanislav231204,12111 L,tp ER21,0,"Exset,DRECrypt,DREGuard",
12130 Htp EA22Fixed 20,DVB-S275003/4,,DSTV Africa,,878-65428,,5.5,Irdeto,Anonymous240221,12130 H,tp EA22,0,Irdeto,
12149 Vtp EA23Fixed 20,DVB-S275003/4,,DSTV Africa,,878-65441,,5.5,Irdeto,Anonymous240210,12149 V,tp EA23,0,Irdeto,
12169 Htp EA24Fixed 20,DVB-S28PSK275002/3,,DSTV Africa,,878-65429,,6.6,Irdeto,Anonymous240221,12169 H,tp EA24,0,Irdeto,
12174 Ltp ER25Fixed 10,DVB-S43403/4,1,TNV Tatarstan,,1-1MPEG-2/SD,320,5.5 401 Rus,,V KopertehovD Shimoni160210,12174 L,tp ER25,0,,
12174 Ltp ER25Fixed 10,DVB-S43403/4,1,Bolgar Radiosi,,,,402 Rus,,,12174 L,tp ER25,0,,
12188 Vtp EA25Fixed 20,DVB-S275003/4,,DSTV Africa,,878-65442,,5.5,Irdeto,Anonymous240114,12188 V,tp EA25,0,Irdeto,
12190 Ltp ER25Fixed 10,DVB-S28PSK225003/4,,Trikolor,,253-25,,7.9,ExsetDRECryptDREGuard,N Stanislav240109,12190 L,tp ER25,0,"Exset,DRECrypt,DREGuard",
12190 Ltp ER25Fixed 10,DVB-S28PSK225003/4,40,Radio 1 (Russia),,,,321 Rus,,,12190 L,tp ER25,0,,
