Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL
12570 Vtp 92Wide,DVB-S22223/4,,(feeds),,,,,,Roli220428,12570 V,tp 92,,,
12581 Htp 93Wide,DVB-S28PSK75003/4,,(feeds),,,,,,Roli231104,12581 H,tp 93,,,
12588 Vtp 94Wide,DVB-S28PSK88883/4,,(feeds),,,,,,Roli230616,12588 V,tp 94,,,
12590 Htp 93Wide,DVB-S28PSK72003/4,,(feeds),,,,,,Roli231104,12590 H,tp 93,,,
12599 Vtp 94Wide,DVB-S28PSK72003/4,,(feeds),,,,,,Roli221112,12599 V,tp 94,,,
12603 Htp 95Wide,DVB-S296003/4,,(feeds),,,,,,Stanley_cassidy220122,12603 H,tp 95,,,
12605 Vtp 94Wide,DVB-S37503/4,,(feeds),,,,,,Stanley_cassidy180501,12605 V,tp 94,,,
12622 Vtp 96Wide,DVB-S28PSK75005/6,,(feeds),,,,,,Roli190526,12622 V,tp 96,,,
12628 Htp 95Wide,DVB-S275003/4,,(feeds),,,,,,Stanley_cassidy191102,12628 H,tp 95,,,
12661 Vtp 98Wide,DVB-S28PSK96003/4,,(feeds),,,,,,Roli211016,12661 V,tp 98,,,
12662 Htp 97Wide,DVB-S28PSK144003/4,,(feeds),,,,,,Roli210509,12662 H,tp 97,,,
12672 Vtp 98Wide,DVB-S28PSK100003/4,,(feeds),,,,,,Roli210912,12672 V,tp 98,,,
12678 Htp 99Wide,DVB-S272003/4,,(feeds),,,,,,Stanley_cassidyRoli210223,12678 H,tp 99,,,
12688 Htp 99Wide,DVB-S28PSK96003/4,,(feeds),,,,,,Roli210206,12688 H,tp 99,,,
12693 Htp 99Wide,DVB-S28PSK50003/4,,(feeds),,,,,,RoliStanley_cassidy201219,12693 H,tp 99,,,
12717 Htp 101Wide,DVB-S28PSK96003/4,,(feeds),,,,,,RoliJamie A231015,12717 H,tp 101,,,
12726 Htp 101Wide,DVB-S272003/4,,(feeds),,,,,,Stanley_cassidy210522,12726 H,tp 101,,,
12745 Htp 101Wide,DVB-S28PSK48003/4,,(feeds),,,,,,Roli211107,12745 H,tp 101,,,
11167 Vtp 132Wide,DVB-S28PSK44443/4,,(Polsat feeds),,,,,,Marcel 2180329,11167 V,tp 132,,,
11444 Htp 13Wide,DVB-S28PSK175003/4T2-MIPLP 0,,Vidi TV,,2046-400,,7.9,,N Stanislav240316,11444 H,tp 13,,,https://www.lyngsat.com/providers/ba/Vidi-TV.html
11444 Htp 13Wide,DVB-S28PSK175003/4T2-MIPLP 0,4001,O Kanal,,MPEG-4/HD,4273,4275 Bos,,,11444 H,tp 13,,,
11444 Htp 13Wide,DVB-S28PSK175003/4T2-MIPLP 0,4002,Una TV,,MPEG-4/HD,4193,4195,,,11444 H,tp 13,,,
11444 Htp 13Wide,DVB-S28PSK175003/4T2-MIPLP 0,4003,Nova BH,,MPEG-4/HD,4177,4179 Srp,,,11444 H,tp 13,,,
11444 Htp 13Wide,DVB-S28PSK175003/4T2-MIPLP 0,4004,BN,,MPEG-4/HD,4145,4147 Srp,,,11444 H,tp 13,,,
11444 Htp 13Wide,DVB-S28PSK175003/4T2-MIPLP 0,4005,O Kanal Music,,MPEG-4/SD,4161,4163 Bos,,,11444 H,tp 13,,,
11444 Htp 13Wide,DVB-S28PSK175003/4T2-MIPLP 0,4006,OBN (Bosnia and Herzegovina),,MPEG-4/SD,4097,4099 Bos,,,11444 H,tp 13,,,
11444 Htp 13Wide,DVB-S28PSK175003/4T2-MIPLP 0,4007,N1 Bosna i Hercegovina,,MPEG-4/SD,4305,4307 Bos,,,11444 H,tp 13,,,
11444 Htp 13Wide,DVB-S28PSK175003/4T2-MIPLP 0,4008,TV Sarajevo,,MPEG-4/SD,4225,4227 Bos,,,11444 H,tp 13,,,
11444 Htp 13Wide,DVB-S28PSK175003/4T2-MIPLP 0,4009,RTV TK,,MPEG-4/SD,4337,4339 Bos,,,11444 H,tp 13,,,
11444 Htp 13Wide,DVB-S28PSK175003/4T2-MIPLP 0,4010,Hit TV (Bosnia and Herzegovina),,MPEG-4/SD,4209,4211,,,11444 H,tp 13,,,
11444 Htp 13Wide,DVB-S28PSK175003/4T2-MIPLP 0,4013,TV USK,,MPEG-4/HD,4289,4291 Bos,,,11444 H,tp 13,,,
11444 Htp 13Wide,DVB-S28PSK175003/4T2-MIPLP 0,4014,TV BPK,,MPEG-4/SD,4113,4115 Bos,,,11444 H,tp 13,,,
11444 Htp 13Wide,DVB-S28PSK175003/4T2-MIPLP 0,4015,Herceg TV,,MPEG-4/HD,4129,4131 Srp,,,11444 H,tp 13,,,
11444 Htp 13Wide,DVB-S28PSK175003/4T2-MIPLP 0,4016,Pro TV,,MPEG-4/SD,4321,4323,,,11444 H,tp 13,,,
11444 Htp 13Wide,DVB-S28PSK175003/4T2-MIPLP 0,4017,NTV Arena,,MPEG-4/SD,4353,4355,,new,11444 H,tp 13,,,
11444 Htp 13Wide,DVB-S28PSK175003/4T2-MIPLP 0,4019,RTVIS,,MPEG-4/SD,4241,4243 Srp,,,11444 H,tp 13,,,
11444 Htp 13Wide,DVB-S28PSK175003/4T2-MIPLP 0,4020,TV K3,,MPEG-4/SD,4257,4259 Srp,,,11444 H,tp 13,,,
12646 Htp 97Wide,DVB-S2QPSK139103/4PLSGold 210115MultistreamStream 3,,Vivacom DTT,,8292-5300,,4.0,,D Lita240225,12646 H,tp 97,,,https://www.lyngsat.com/providers/bg/Vivacom-DTT.html
12646 Htp 97Wide,DVB-S2QPSK139103/4PLSGold 210115MultistreamStream 3,2,BTV (Bulgaria),,MPEG-4/SD,5152,5153 Bul,,,12646 H,tp 97,,,
12646 Htp 97Wide,DVB-S2QPSK139103/4PLSGold 210115MultistreamStream 3,3,Nova TV (Bulgaria),,MPEG-4/SD,5162,5163 Bul,,,12646 H,tp 97,,,
12646 Htp 97Wide,DVB-S2QPSK139103/4PLSGold 210115MultistreamStream 3,4,BNT 1,,MPEG-4/SD,5172,5173 Bul,,,12646 H,tp 97,,,
12646 Htp 97Wide,DVB-S2QPSK139103/4PLSGold 210115MultistreamStream 3,5,BNT 2,,MPEG-4/SD,5182,5183 Bul,,,12646 H,tp 97,,,
12646 Htp 97Wide,DVB-S2QPSK139103/4PLSGold 210115MultistreamStream 3,6,BNT 3,,MPEG-4/SD,5342,5343 Bul,,,12646 H,tp 97,,,
12646 Htp 97Wide,DVB-S2QPSK139103/4PLSGold 210115MultistreamStream 3,8,[test card],,MPEG-4/SD,5332,5333,,,12646 H,tp 97,,,
