Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL
3793 Vtp 4C,DVB-S270301/2,,(feeds),,,,,,Abbie100910,3793 V,tp 4,,,
3980 Vtp 14C,DVB-S264705/6,,(feeds),,,,,,Abbie100910,3980 V,tp 14,,,
4091 Vtp 20C,DVB-S132353/4,,(feeds),,,,,,EnoSat240210,4091 V,tp 20,,,
4194 Vtp 24C,DVB-S28PSK75003/4,,(feeds),,,,,,EnoSat240210,4194 V,tp 24,,,
3855 Vtp 8C0,DVB-S28PSK16675/6,1,CV Shopping,,65535-1MPEG-4/SD,33,9.4  34 Spa,,Mike 4230325,3855 V,tp 8,0,,
3866 Vtp 8C0,DVB-S216APSK171405/6,,,,,,,PowerVu,ML240123,3866 V,tp 8,0,PowerVu,
3940 Vtp 12C0,DVB-S216APSK342865/6,,,,,,,Director,NOS482220827,3940 V,tp 12,0,Director,
3866 Vtp 8C0,DVB-S216APSK171405/6,1,Las Estrellas México,,HEVC/HD,2001,4011 Spa,PowerVu,,3866 V,tp 8,0,PowerVu,
3940 Vtp 12C0,DVB-S216APSK342865/6,1,Las Estrellas México,,HEVC/HD,2001,4011 Spa,Director,,3940 V,tp 12,0,Director,
3866 Vtp 8C0,DVB-S216APSK171405/6,2,Canal 5 (Mexico City),,HEVC/HD,2002,4021 Spa,PowerVu,,3866 V,tp 8,0,PowerVu,
3940 Vtp 12C0,DVB-S216APSK342865/6,2,Canal 5 (Mexico City),,HEVC/HD,2002,4021 Spa,Director,,3940 V,tp 12,0,Director,
3866 Vtp 8C0,DVB-S216APSK171405/6,3,Nu9ve,,HEVC/HD,2003,4031 Spa,PowerVu,,3866 V,tp 8,0,PowerVu,
3940 Vtp 12C0,DVB-S216APSK342865/6,3,Nu9ve,,HEVC/HD,2003,4031 Spa,Director,,3940 V,tp 12,0,Director,
3866 Vtp 8C0,DVB-S216APSK171405/6,4,Foro TV (Mexico),,HEVC/HD,2004,4041 Spa,PowerVu,,3866 V,tp 8,0,PowerVu,
3940 Vtp 12C0,DVB-S216APSK342865/6,10,Foro TV (Mexico),,HEVC/HD,2010,4102 Spa,Director,,3940 V,tp 12,0,Director,
3928 Htp 11C,DVB-S31257/8,,(Televisa feeds),,,,,,Voyager101005,3928 H,tp 11,,,
3940 Vtp 12C0,DVB-S216APSK342865/6,4,Las Estrellas México +1,,HEVC/HD,2004,4041 Spa,Director,,3940 V,tp 12,0,Director,
3940 Vtp 12C0,DVB-S216APSK342865/6,5,Las Estrellas México +2,,HEVC/HD,2005,4051 Spa,Director,,3940 V,tp 12,0,Director,
