Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL
3876 Vtp 4BNCSouth America0,DVB-S28PSK25003/4,50144,Parecis FM 99,,,,268 Por,,,3876 V,tp 4BNC,0,,
3883 Htp 5ANCSouth America0,DVB-S258333/4,,TV Gazeta São Paulo,,,,,,Wilkherdasilva190404,3883 H,tp 5ANC,0,,https://www.lyngsat.com/providers/br/TV-Gazeta-Sao-Paulo.html
3883 Htp 5ANCSouth America0,DVB-S258333/4,,TV Gazeta São Paulo,,/1seg,768,512 Por,,,3883 H,tp 5ANC,0,,https://www.lyngsat.com/providers/br/TV-Gazeta-Sao-Paulo.html
3883 Htp 5ANCSouth America0,DVB-S258333/4,,TV Gazeta São Paulo,,/HD,770,514 Por,,,3883 H,tp 5ANC,0,,https://www.lyngsat.com/providers/br/TV-Gazeta-Sao-Paulo.html
3887 Htp 5ANCSouth America0,DVB-S7403/4,,Fundação Cultural Riograndense,,,,5.5,,F Alves150318,3887 H,tp 5ANC,0,,https://www.lyngsat.com/providers/br/Fundacao-Cultural-Riograndense.html
3887 Htp 5ANCSouth America0,DVB-S7403/4,,Maisnova FM,,,,257 Por,,,3887 H,tp 5ANC,0,,
3887 Htp 5ANCSouth America0,DVB-S7403/4,,Tua Rádio,,,,267 Por,,,3887 H,tp 5ANC,0,,
3894 Htp 5ANCSouth America0,DVB-S250003/4,,SBT Rio,,,,,BISS,Edinho fta220615,3894 H,tp 5ANC,0,BISS,https://www.lyngsat.com/providers/br/SBT-Rio.html
3894 Htp 5ANCSouth America0,DVB-S250003/4,48544,SBT Rio,,MPEG-4/HD,356,312 Por,BISS,,3894 H,tp 5ANC,0,BISS,https://www.lyngsat.com/providers/br/SBT-Rio.html
3894 Htp 5ANCSouth America0,DVB-S250003/4,48568,SBT Rio,,/1seg,256,512 Por,,,3894 H,tp 5ANC,0,,https://www.lyngsat.com/providers/br/SBT-Rio.html
