Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL
12051 Vtp 82Pan Europe0,DVB-S275003/4,20010,Sat. 1 Rheinland-Pfalz/Hessen (Mon-Fri 17.30-17.55),,MPEG-2/SD,2559,2560 Ger2563 Ger,,,12051 V,tp 82,0,,
12148 Htp 87Pan Europe0,DVB-S275003/4,,SES,,133-7,,5.5,,T Viererbe230715,12148 H,tp 87,0,,https://www.lyngsat.com/providers/lu/SES.html
12148 Htp 87Pan Europe0,DVB-S275003/4,,SES,,133-7,,5.5,,T Viererbe230715,12148 H,tp 87,0,,https://www.lyngsat.com/providers/lu/SES.html
12148 Htp 87Pan Europe0,DVB-S275003/4,,SES,,133-7,,5.5,,T Viererbe230715,12148 H,tp 87,0,,https://www.lyngsat.com/providers/lu/SES.html
12552 Vtp 108Pan Europe0,DVB-S220005/6,,SES,,1-1108,,6.5,,M Al-Taie220430,12552 V,tp 108,0,,https://www.lyngsat.com/providers/lu/SES.html
12552 Vtp 108Pan Europe0,DVB-S220005/6,,SES,,1-1108,,6.5,,M Al-Taie220430,12552 V,tp 108,0,,https://www.lyngsat.com/providers/lu/SES.html
12552 Vtp 108Pan Europe0,DVB-S220005/6,,SES,,1-1108,,6.5,,M Al-Taie220430,12552 V,tp 108,0,,https://www.lyngsat.com/providers/lu/SES.html
12604 Htp 111Pan Europe0,DVB-S220005/6,,SES,,1-1111,,6.5,,T Viererbe220603,12604 H,tp 111,0,,https://www.lyngsat.com/providers/lu/SES.html
12604 Htp 111Pan Europe0,DVB-S220005/6,,SES,,1-1111,,6.5,,T Viererbe220603,12604 H,tp 111,0,,https://www.lyngsat.com/providers/lu/SES.html
12604 Htp 111Pan Europe0,DVB-S220005/6,,SES,,1-1111,,6.5,,T Viererbe220603,12604 H,tp 111,0,,https://www.lyngsat.com/providers/lu/SES.html
12148 Htp 87Pan Europe0,DVB-S275003/4,54,Genius Exklusiv,,MPEG-4/SD,3071,3072 Ger,,,12148 H,tp 87,0,,
12148 Htp 87Pan Europe0,DVB-S275003/4,61,Nickelodeon Austria,,MPEG-2/SD,1791,1792 Ger1793 Eng,,,12148 H,tp 87,0,,
12148 Htp 87Pan Europe0,DVB-S275003/4,65,Deluxe Music,,MPEG-2/SD,3327,3328 Ger,,,12148 H,tp 87,0,,
12148 Htp 87Pan Europe0,DVB-S275003/4,71,TLC Austria,,MPEG-2/SD,511,512 Ger,,,12148 H,tp 87,0,,
12148 Htp 87Pan Europe0,DVB-S275003/4,73,DMAX Austria,,MPEG-2/SD,3583,3584 Ger,,,12148 H,tp 87,0,,
12148 Htp 87Pan Europe0,DVB-S275003/4,514,MediaShop Immer etwas Neues TV,,MPEG-2/SD,2303,2304 Ger,,,12148 H,tp 87,0,,
12148 Htp 87Pan Europe0,DVB-S275003/4,765,Pearl TV,,MPEG-2/SD,2047,2048 Ger,,,12148 H,tp 87,0,,
12148 Htp 87Pan Europe0,DVB-S275003/4,769,Channel 21,,MPEG-2/SD,1023,1024 Ger,,,12148 H,tp 87,0,,
12148 Htp 87Pan Europe0,DVB-S275003/4,774,Folx Music TV,,MPEG-4/SD,768,767 Ger,,,12148 H,tp 87,0,,
12148 Htp 87Pan Europe0,DVB-S275003/4,775,MediaShop Meine Einkaufswelt,,MPEG-2/SD,1279,1280 Ger,,,12148 H,tp 87,0,,
12148 Htp 87Pan Europe0,DVB-S275003/4,160,Rock Antenne,,,,304 Ger,,,12148 H,tp 87,0,,
12148 Htp 87Pan Europe0,DVB-S275003/4,169,Sunshine Live,,,,336 Ger,,,12148 H,tp 87,0,,
12148 Htp 87Pan Europe0,DVB-S275003/4,170,Antenne Bayern,,,,352 Ger,,,12148 H,tp 87,0,,
12168 Vtp 88Pan Europe0,DVB-S28PSK297002/3,,Canal + France,,1-1088,,6.6,MediaguardNagravisionViaccess,D ShimoniM Al-Taie230829,12168 V,tp 88,0,"Mediaguard,Nagravision,Viaccess",
12207 Vtp 90Pan Europe0,DVB-S28PSK297002/3,,Canal + France,,1-1090,,6.6,MediaguardNagravisionViaccess,D Shimoni231031,12207 V,tp 90,0,"Mediaguard,Nagravision,Viaccess",
12285 Vtp 94Pan Europe0,DVB-S28PSK297002/3,,Canal + France,,1-1094,,6.6,MediaguardNagravisionViaccess,F Dibba230408,12285 V,tp 94,0,"Mediaguard,Nagravision,Viaccess",
12324 Vtp 96Pan Europe0,DVB-S28PSK297002/3,,Canal + France,,1-1096,,6.6,MediaguardNagravisionViaccess,M Al-Taie231010,12324 V,tp 96,0,"Mediaguard,Nagravision,Viaccess",
12363 Vtp 98Pan Europe0,DVB-S275003/4,,Canal + France,,1-1098,,5.5,Nagravision,M Al-Taie240202,12363 V,tp 98,0,Nagravision,
12402 Vtp 100Pan Europe0,DVB-S28PSK297002/3,,Canal + France,,1-1100,,6.6,MediaguardNagravisionViaccess,D ShimoniM Al-Taie230829,12402 V,tp 100,0,"Mediaguard,Nagravision,Viaccess",
12168 Vtp 88Pan Europe0,DVB-S28PSK297002/3,9308,Public Sénat,,MPEG-4/HD,810,821 Fre,,,12168 V,tp 88,0,,
12168 Vtp 88Pan Europe0,DVB-S28PSK297002/3,9308,LCP Assemblée Nationale,,MPEG-4/HD,810,821 Fre,,,12168 V,tp 88,0,,
12168 Vtp 88Pan Europe0,DVB-S28PSK297002/3,9311,Canal + promo,,MPEG-4/SD,1110,1121 Fre,,,12168 V,tp 88,0,,
12207 Vtp 90Pan Europe0,DVB-S28PSK297002/3,9014,C News,,MPEG-4/HD,1410,1421 Fre,,,12207 V,tp 90,0,,
12285 Vtp 94Pan Europe0,DVB-S28PSK297002/3,9109,Sud Radio,,,,1914 Fre,,,12285 V,tp 94,0,,
12285 Vtp 94Pan Europe0,DVB-S28PSK297002/3,9140,Fun Radio (France),,,,1964 Fre,,,12285 V,tp 94,0,,
12285 Vtp 94Pan Europe0,DVB-S28PSK297002/3,9142,BBC World Service English Europe,,,,1951 Eng,,,12285 V,tp 94,0,,
12285 Vtp 94Pan Europe0,DVB-S28PSK297002/3,9144,Melody Vintage Radio,,,,1965 Fre,,,12285 V,tp 94,0,,
12285 Vtp 94Pan Europe0,DVB-S28PSK297002/3,9153,Mouv',,,,1902 Fre,,,12285 V,tp 94,0,,
12285 Vtp 94Pan Europe0,DVB-S28PSK297002/3,9154,France Musique,,,,1901 Fre,,,12285 V,tp 94,0,,
12285 Vtp 94Pan Europe0,DVB-S28PSK297002/3,9155,FIP,,,,1903 Fre,,,12285 V,tp 94,0,,
12285 Vtp 94Pan Europe0,DVB-S28PSK297002/3,9156,Franceinfo:,,,,1904 Fre,,,12285 V,tp 94,0,,
12285 Vtp 94Pan Europe0,DVB-S28PSK297002/3,9157,France Inter,,,,1905 Fre,,,12285 V,tp 94,0,,
12285 Vtp 94Pan Europe0,DVB-S28PSK297002/3,9158,France Culture,,,,1906 Fre,,,12285 V,tp 94,0,,
12285 Vtp 94Pan Europe0,DVB-S28PSK297002/3,9159,France Bleu Paris,,,,1907 Fre,,,12285 V,tp 94,0,,
12285 Vtp 94Pan Europe0,DVB-S28PSK297002/3,9163,Radio France Internationale,,,,1908 Fre,,,12285 V,tp 94,0,,
12285 Vtp 94Pan Europe0,DVB-S28PSK297002/3,9164,Radio Classique,,,,1909 Fre,,,12285 V,tp 94,0,,
12285 Vtp 94Pan Europe0,DVB-S28PSK297002/3,9165,RTL,,,,1910 Fre,,,12285 V,tp 94,0,,
12285 Vtp 94Pan Europe0,DVB-S28PSK297002/3,9166,Europe 1,,,,1911 Fre,,,12285 V,tp 94,0,,
12285 Vtp 94Pan Europe0,DVB-S28PSK297002/3,9168,Rire & Chansons,,,,1913 Fre,,,12285 V,tp 94,0,,
12285 Vtp 94Pan Europe0,DVB-S28PSK297002/3,9175,TSF Jazz,,,,1916 Fre,,,12285 V,tp 94,0,,
12285 Vtp 94Pan Europe0,DVB-S28PSK297002/3,9176,Oüi FM,,,,1976 Fre,,,12285 V,tp 94,0,,
