Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL
3984 VGlobal,DVB-S28PSK33332/3,5,90.7 Love Radio,,,,1538 Tgl,,,3984 V,,,,
3984 VGlobal,DVB-S28PSK33332/3,6,Yes! FM Manila,,,,1794 Tgl,,,3984 V,,,,
3984 VGlobal,DVB-S28PSK33332/3,7,DZRH,,,,2050 Tgl,,,3984 V,,,,
4006 VGlobal,DVB-S2QPSK41663/4,1,TVK (Cambodia),,?-?MPEG-4/HD,308,4.0 256 Khm,,C SuttonDX Bozóth240130,4006 V,,,,
4006 VGlobal,DVB-S2QPSK41663/4,2,RNK AM,,,,257 Khm,,,4006 V,,,,
4006 VGlobal,DVB-S2QPSK41663/4,3,RNK FM,,,,258 Khm,,,4006 V,,,,
4120 Vtp 12CGlobal,DVB-S28PSK297005/6,,Globecast,,,,9.4,IrdetoPowerVu,C Sutton240221,4120 V,tp 12C,,"Irdeto,PowerVu",https://www.lyngsat.com/providers/fr/Globecast.html
4120 Vtp 12CGlobal,DVB-S28PSK297005/6,4,VoA TV Global,,MPEG-4/HD,400,401 Eng,,,4120 V,tp 12C,,,
4120 Vtp 12CGlobal,DVB-S28PSK297005/6,5,VoA TV Asia,,MPEG-4/HD,300,301 Eng,,,4120 V,tp 12C,,,
4120 Vtp 12CGlobal,DVB-S28PSK297005/6,21*,BBC Earth Asia,,MPEG-4/HD,2130,2131 Eng2132 Tha2133 Vie2134 Chi,PowerVu,,4120 V,tp 12C,,PowerVu,
4120 Vtp 12CGlobal,DVB-S28PSK297005/6,31*,BBC Lifestyle Asia,,MPEG-4/HD,3131,3132 Eng,PowerVu,,4120 V,tp 12C,,PowerVu,
4120 Vtp 12CGlobal,DVB-S28PSK297005/6,33,CBeebies Asia,,MPEG-4/HD,3300,3301 Eng3302 Ind3303 May3304 Vie3305 Chi,PowerVu,,4120 V,tp 12C,,PowerVu,
4120 Vtp 12CGlobal,DVB-S28PSK297005/6,34,CBeebies Asia,,MPEG-4/SD,3400,3401 Eng,PowerVu,,4120 V,tp 12C,,PowerVu,
4120 Vtp 12CGlobal,DVB-S28PSK297005/6,301,Da Vinci Asia,,MPEG-4/HD,6130,6131 Eng6133 Ind,Irdeto,,4120 V,tp 12C,,Irdeto,
4120 Vtp 12CGlobal,DVB-S28PSK297005/6,303,Tech Storm,,MPEG-4/HD,49,410 Eng 411 Chi,Irdeto,,4120 V,tp 12C,,Irdeto,
4120 Vtp 12CGlobal,DVB-S28PSK297005/6,1807,BeIn Sports 2 Southeast Asia,,MPEG-4/HD,1871,1872 Eng,Irdeto,,4120 V,tp 12C,,Irdeto,
4120 Vtp 12CGlobal,DVB-S28PSK297005/6,1907,BeIn Sports 1 Indonesia,,MPEG-4/HD,1971,1972 Ind1973 Eng,Irdeto,,4120 V,tp 12C,,Irdeto,
4120 Vtp 12CGlobal,DVB-S28PSK297005/6,1908,BeIn Sports 3 Indonesia,,MPEG-4/HD,1981,1982 Ind1983 Eng,Irdeto,,4120 V,tp 12C,,Irdeto,
4120 Vtp 12CGlobal,DVB-S28PSK297005/6,6,VoA East Timor,,,,1222,,,4120 V,tp 12C,,,
4120 Vtp 12CGlobal,DVB-S28PSK297005/6,6,Voice of America,,,,1222,,,4120 V,tp 12C,,,
4120 Vtp 12CGlobal,DVB-S28PSK297005/6,7,VoA Mongolia,,,,1320,,,4120 V,tp 12C,,,
4120 Vtp 12CGlobal,DVB-S28PSK297005/6,7,Deewa Radio,,,,1320,,,4120 V,tp 12C,,,
4120 Vtp 12CGlobal,DVB-S28PSK297005/6,8,VoA Dari,,,,1830 Prs,,,4120 V,tp 12C,,,
4120 Vtp 12CGlobal,DVB-S28PSK297005/6,8,VoA Indonesia,,,,1830,,,4120 V,tp 12C,,,
4160 VGlobal,DVB-S28PSK297005/6,,KC Global Media Entertainment,,,,9.4,PowerVu,DX Bozóth230329,4160 V,,,PowerVu,https://www.lyngsat.com/providers/us/KC-Global-Media-Entertainment.html
4160 VGlobal,DVB-S28PSK297005/6,10*,AXN Taiwan,,MPEG-4/HD,1050,1051 Eng1052 Chi,PowerVu,,4160 V,,,PowerVu,
4160 VGlobal,DVB-S28PSK297005/6,30,AXN Philippines,,MPEG-4/HD,310,301 Eng,PowerVu,,4160 V,,,PowerVu,
4160 VGlobal,DVB-S28PSK297005/6,130,AXN Philippines,,MPEG-4/SD,2360,2320 Eng,PowerVu,,4160 V,,,PowerVu,
4160 VGlobal,DVB-S28PSK297005/6,50*,Animax Asia,,MPEG-4/HD,550,551 Jpn 552 Chi 553 Eng,PowerVu,,4160 V,,,PowerVu,
4160 VGlobal,DVB-S28PSK297005/6,140*,Gem,,MPEG-4/HD,2600,2601 Chi,PowerVu,,4160 V,,,PowerVu,
4160 VGlobal,DVB-S28PSK297005/6,160,Gem,,MPEG-4/SD,1610,1600 Eng,PowerVu,,4160 V,,,PowerVu,
4160 VGlobal,DVB-S28PSK297005/6,146*,One (USA),,MPEG-4/HD,2510,2500 Kor2502 May2504 Chi,PowerVu,,4160 V,,,PowerVu,
4160 VGlobal,DVB-S28PSK297005/6,152,Animax Taiwan,,MPEG-4/HD,1520,1521 Jpn1522 Chi,PowerVu,,4160 V,,,PowerVu,
4160 VGlobal,DVB-S28PSK297005/6,190,Animax Philippines,,MPEG-4/SD,2920,2922 Eng,PowerVu,,4160 V,,,PowerVu,
10982 Vtp A1Malaysia0,DVB-S28PSK300005/6,,Astro,,2176-201,,9.4,Videoguard,Josh221007,10982 V,tp A1,0,Videoguard,
11022 Vtp A2Malaysia0,DVB-S28PSK300005/6,,Astro,,2176-102,,9.4,Videoguard,Josh231108,11022 V,tp A2,0,Videoguard,
11062 Vtp A3Malaysia0,DVB-S300007/8,,Astro,,2176-103,,7.2,Videoguard,Josh230904,11062 V,tp A3,0,Videoguard,
11102 Vtp A4Malaysia0,DVB-S28PSK300003/4,,Astro,,2176-104,,7.9,Videoguard,Josh240109,11102 V,tp A4,0,Videoguard,
11142 Vtp A5Malaysia0,DVB-S28PSK300005/6,,Astro,,2176-203,,9.4,Videoguard,Josh240109,11142 V,tp A5,0,Videoguard,
11182 Vtp A6Malaysia0,DVB-S28PSK300005/6,,Astro,,2176-106,,9.4,Videoguard,Josh230715,11182 V,tp A6,0,Videoguard,
11232 Vtp C1Malaysia0,DVB-S28PSK300003/5,,Astro,,2176-101,,5.5,Videoguard,Josh231108,11232 V,tp C1,0,Videoguard,
11272 Vtp C2Malaysia0,DVB-S28PSK300003/5,,Astro,,2176-202,,5.5,Videoguard,Josh240109,11272 V,tp C2,0,Videoguard,
11312 Vtp C3Malaysia0,DVB-S28PSK300003/5,,Astro,,2176-105,,5.5,Videoguard,Josh231108,11312 V,tp C3,0,Videoguard,
11352 Vtp C4Malaysia0,DVB-S28PSK300003/5,,Astro,,2176-204,,5.5,Videoguard,Josh231002,11352 V,tp C4,0,Videoguard,
11392 Vtp C5Malaysia0,DVB-S28PSK300003/5,,Astro,,2176-205,,5.5,Videoguard,Josh221216,11392 V,tp C5,0,Videoguard,
11432 Vtp C6Malaysia0,DVB-S28PSK300003/5,,Astro,,2176-206,,5.5,Videoguard,Josh231012,11432 V,tp C6,0,Videoguard,
11062 Vtp A3Malaysia0,DVB-S300007/8,140,Era,,,,176 May,,,11062 V,tp A3,0,,
11062 Vtp A3Malaysia0,DVB-S300007/8,141,My,,,,177 Chi,,,11062 V,tp A3,0,,
11062 Vtp A3Malaysia0,DVB-S300007/8,142,Opus,,,,178 Eng,,,11062 V,tp A3,0,,
11062 Vtp A3Malaysia0,DVB-S300007/8,143,Hitz,,,,179 Eng,,,11062 V,tp A3,0,,
11062 Vtp A3Malaysia0,DVB-S300007/8,144,Mix,,,,180 Eng,,,11062 V,tp A3,0,,
